bioguide_id,name,docs,n_ocr,n_quiver,delta,verdict
K000389,Rohit Khanna,12,2891,2442,449,ocr>=quiver
M001157,Michael T. McCaul,11,2379,2251,128,ocr>=quiver
R000582,David P. Roe,11,1682,0,1682,quiver_sans_donnee
R000607,Francis Rooney,12,184,0,184,quiver_sans_donnee
M001158,Kenny Marchant,3,151,0,151,quiver_sans_donnee
S001180,Kurt Schrader,10,125,0,125,quiver_sans_donnee
U000031,Fred Upton,10,79,0,79,quiver_sans_donnee
F000459,"Charles J. ""Chuck"" Fleischmann",5,71,0,71,quiver_sans_donnee
L000564,Doug Lamborn,4,45,0,45,quiver_sans_donnee
H001074,Trey Hollingsworth,7,37,0,37,quiver_sans_donnee
Y000065,Ted S. Yoho,2,25,0,25,quiver_sans_donnee
R000395,Harold Dallas Rogers,6,22,0,22,quiver_sans_donnee
H001065,George Holding,4,20,0,20,quiver_sans_donnee
L000576,Billy Long,2,15,0,15,quiver_sans_donnee
C001108,James Comer,2,9,5,4,ocr>=quiver
K000376,Mike Kelly,5,6,0,6,quiver_sans_donnee
W000812,Ann Wagner,3,5,0,5,quiver_sans_donnee
K000392,David Kustoff,1,4,0,4,quiver_sans_donnee
B001257,Gus M. Bilirakis,2,4,0,4,quiver_sans_donnee
K000379,Joseph P. Kennedy,3,3,0,3,quiver_sans_donnee
C001049,Wm. Lacy Clay,1,2,0,2,quiver_sans_donnee
S001150,Adam B. Schiff,2,2,0,2,quiver_sans_donnee
S001189,Austin Scott,1,2,23,-21,ocr_souscompte
H001088,James Hagedorn,1,1,0,1,quiver_sans_donnee
