bioguide,categorie,quadrant,n_photos,a_flux,a_photo_entree,dans_cohorte_Ca,dans_cohorte_papier,premiere_photo,derniere_photo
E000291,reconstructible partiel,déjà-là partis,2,False,False,False,False,2015-05-15,2016-05-16
E000292,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-01-15,2015-01-15
E000293,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-06-15,2019-05-01
E000294,reconstructible partiel,arrivés restés,11,True,False,False,False,2014-05-16,2026-04-29
E000297,reconstructible partiel,arrivés restés,10,False,False,False,False,2017-06-15,2026-07-01
E000298,reconstructible partiel,arrivés restés,9,True,False,False,False,2017-03-09,2025-08-11
E000299,reconstructible partiel,arrivés restés,10,False,False,False,False,2017-09-14,2026-05-10
E000300,reconstructible partiel,arrivés restés,4,False,False,False,False,2023-09-23,2026-05-15
E000301,reconstructible partiel,arrivés restés,1,False,False,False,False,2025-06-13,2025-06-13
F000010,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-02-24,2015-02-24
F000030,reconstructible partiel,déjà-là partis,3,True,False,False,False,2015-05-14,2017-05-26
F000043,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-15,2016-08-24
F000372,reconstructible partiel,déjà-là partis,5,True,False,False,False,2015-05-14,2019-02-19
F000445,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-08-12,2017-01-26
F000446,reconstructible partiel,arrivés restés,7,False,True,False,False,2019-05-15,2025-08-12
F000448,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2024-06-15
F000449,reconstructible partiel,déjà-là partis,8,True,False,False,False,2015-05-15,2022-07-31
F000450,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-15
F000451,reconstructible partiel,déjà-là partis,3,True,False,False,False,2015-06-15,2017-01-31
F000454,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-14,2026-04-18
F000455,reconstructible partiel,déjà-là partis,6,False,False,False,False,2015-05-11,2020-07-31
F000456,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-14,2017-01-30
F000458,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-06-22,2017-01-31
F000459,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-12
F000460,reconstructible partiel,déjà-là partis,4,False,False,False,False,2015-08-11,2018-08-06
F000461,reconstructible partiel,déjà-là partis,7,True,False,False,False,2015-08-03,2021-05-04
F000462,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-12
F000466,reconstructible partiel,arrivés restés,11,False,True,False,False,2016-03-25,2026-05-15
F000467,reconstructible partiel,cycle complet,5,False,False,False,False,2017-08-31,2021-01-29
F000470,reconstructible partiel,arrivés restés,8,False,False,False,False,2019-10-02,2026-06-05
F000471,reconstructible partiel,arrivés restés,7,False,False,False,False,2019-10-16,2026-05-17
F000473,reconstructible partiel,cycle complet,5,False,False,False,False,2022-05-14,2025-11-12
F000474,reconstructible partiel,arrivés restés,4,True,False,False,False,2022-04-09,2025-08-11
F000475,reconstructible partiel,arrivés restés,5,False,False,False,False,2022-05-13,2026-05-13
F000477,reconstructible partiel,arrivés restés,6,False,False,False,False,2022-03-12,2026-05-13
F000478,reconstructible partiel,arrivés restés,5,False,True,False,False,2022-05-24,2025-08-11
F000480,reconstructible partiel,arrivés restés,3,False,True,False,False,2024-02-04,2026-05-15
F000481,reconstructible partiel,arrivés restés,3,False,False,False,False,2024-05-01,2025-09-02
F000482,reconstructible partiel,arrivés restés,2,False,True,False,False,2024-05-12,2025-08-02
F000484,reconstructible partiel,arrivés restés,2,False,True,False,False,2024-12-29,2025-08-13
F000485,reconstructible partiel,arrivés restés,3,False,True,False,False,2020-04-14,2026-05-19
G000061,reconstructible partiel,cycle complet,7,True,False,False,False,2019-07-29,2025-01-08
G000289,reconstructible partiel,déjà-là partis,5,True,False,False,False,2015-05-15,2019-01-23
G000377,reconstructible partiel,déjà-là partis,10,False,False,False,False,2015-07-27,2024-08-08
G000410,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2019-01-30
G000535,reconstructible partiel,déjà-là partis,5,True,False,False,False,2015-08-13,2019-05-03
G000546,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-13,2026-05-14
G000548,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-14,2017-02-08
G000549,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-01-21,2015-01-21
G000550,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-02-09,2015-02-09
G000551,reconstructible partiel,déjà-là partis,10,True,False,False,False,2015-07-13,2024-08-12
G000552,reconstructible partiel,déjà-là partis,4,False,False,False,False,2019-05-15,2022-05-13
G000553,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-15
G000556,reconstructible partiel,déjà-là partis,10,True,False,False,False,2015-08-19,2022-07-24
G000558,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-14
G000559,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-05-06,2025-08-01
G000560,reconstructible partiel,déjà-là partis,7,True,False,False,False,2015-05-15,2020-12-24
G000563,reconstructible partiel,déjà-là partis,10,True,False,False,False,2015-05-10,2023-01-25
G000564,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-01,2017-02-10
G000565,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-09-03,2026-04-29
G000566,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-13,2019-02-06
G000567,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-05-06,2015-05-06
G000568,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-05,2026-05-15
G000569,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-01-14,2018-05-13
G000571,reconstructible partiel,déjà-là partis,7,False,False,False,False,2015-08-18,2021-05-03
G000572,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-12,2016-06-13
G000573,reconstructible partiel,déjà-là partis,3,False,False,False,False,2014-05-13,2016-05-15
G000580,reconstructible partiel,cycle complet,3,False,False,False,False,2016-03-22,2019-03-04
G000581,reconstructible partiel,arrivés restés,16,True,False,False,False,2016-03-24,2025-08-12
G000582,reconstructible partiel,cycle complet,1,False,False,False,False,2023-08-13,2023-08-13
G000583,reconstructible partiel,arrivés restés,12,True,False,False,False,2015-08-19,2025-08-11
G000584,reconstructible partiel,cycle complet,6,True,False,False,False,2017-03-17,2021-05-13
G000585,reconstructible partiel,arrivés restés,11,False,False,False,False,2017-01-05,2025-08-13
G000586,reconstructible partiel,arrivés restés,7,False,False,False,False,2018-02-16,2026-05-18
G000587,reconstructible partiel,arrivés restés,14,False,False,False,False,2015-11-25,2026-05-11
G000589,reconstructible partiel,arrivés restés,9,True,False,False,False,2018-02-02,2025-08-13
G000590,reconstructible partiel,cycle complet,9,True,False,False,False,2018-02-10,2025-08-12
G000591,reconstructible partiel,arrivés restés,8,True,False,False,False,2018-05-23,2025-08-08
G000592,reconstructible partiel,arrivés restés,9,False,False,False,False,2017-10-25,2025-08-13
G000593,reconstructible partiel,arrivés restés,6,False,True,False,False,2020-06-15,2025-08-13
G000594,reconstructible partiel,cycle complet,9,False,False,False,False,2016-01-12,2026-05-16
G000595,reconstructible partiel,cycle complet,5,False,False,False,False,2021-08-10,2025-04-28
G000598,reconstructible partiel,arrivés restés,6,False,True,False,False,2022-01-21,2025-08-08
G000600,reconstructible partiel,arrivés restés,5,False,True,False,False,2022-06-15,2026-05-15
G000601,reconstructible partiel,arrivés restés,3,False,True,False,False,2023-12-30,2025-08-13
G000602,reconstructible partiel,arrivés restés,4,False,True,False,False,2022-07-23,2025-08-13
G000604,reconstructible partiel,arrivés restés,3,False,True,False,False,2024-08-12,2026-05-15
G000605,reconstructible partiel,arrivés restés,4,False,True,False,False,2022-05-09,2025-08-13
G000606,reconstructible partiel,arrivés restés,1,False,True,False,False,2025-05-15,2025-05-15
G000607,reconstructible partiel,arrivés restés,2,False,False,False,False,2019-06-21,2026-05-05
H000067,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-04-29,2015-04-29
H000324,reconstructible partiel,déjà-là partis,6,False,False,False,False,2015-05-13,2020-08-06
H000329,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-02-04,2015-02-04
H000636,reconstructible partiel,déjà-là partis,3,True,False,False,False,2015-08-12,2017-05-01
H000874,reconstructible partiel,déjà-là restés,11,False,False,False,False,2015-05-14,2025-05-28
H001032,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-02-01,2015-02-01
H001034,reconstructible partiel,déjà-là partis,2,False,False,False,False,2015-05-14,2016-05-16
H001036,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-14,2019-02-12
H001038,reconstructible partiel,déjà-là partis,10,True,False,False,False,2015-04-15,2024-04-05
H001045,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-08-11,2019-02-12
H001047,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-06-15,2026-07-01
H001050,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-02-01,2019-02-04
H001051,reconstructible partiel,déjà-là partis,3,True,False,False,False,2015-08-13,2017-02-01
H001052,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-14,2026-05-14
H001053,reconstructible partiel,déjà-là partis,9,False,False,False,False,2015-06-24,2023-01-25
H001055,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-13,2017-01-07
H001056,reconstructible partiel,déjà-là partis,9,False,False,False,False,2015-05-15,2023-01-24
H001057,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-13,2017-02-09
H001058,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-09-12,2025-06-30
H001059,reconstructible partiel,déjà-là partis,4,False,False,False,False,2015-05-15,2018-05-15
H001060,reconstructible partiel,déjà-là partis,4,True,False,False,False,2015-05-15,2022-04-06
H001063,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-15,2017-02-16
H001064,reconstructible partiel,déjà-là partis,7,True,False,False,False,2015-06-12,2021-01-28
H001065,reconstructible partiel,déjà-là partis,7,True,False,False,False,2015-05-15,2021-06-29
H001066,reconstructible partiel,déjà-là restés,8,False,True,False,False,2018-05-14,2025-07-14
H001067,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-14,2026-06-29
H001068,reconstructible partiel,déjà-là restés,13,False,False,False,False,2015-05-20,2026-04-15
H001070,reconstructible partiel,cycle complet,5,False,False,False,False,2014-09-13,2022-05-26
H001071,reconstructible partiel,cycle complet,10,False,True,False,False,2014-05-30,2023-04-17
H001072,reconstructible partiel,arrivés restés,12,True,False,False,False,2014-05-15,2025-05-15
H001073,reconstructible partiel,cycle complet,8,False,False,False,False,2014-09-02,2021-02-09
H001074,reconstructible partiel,cycle complet,9,True,False,False,False,2016-02-18,2023-05-05
H001080,reconstructible partiel,cycle complet,2,False,True,False,False,2017-10-06,2018-05-15
H001081,reconstructible partiel,arrivés restés,9,False,True,False,False,2018-07-09,2026-05-11
H001083,reconstructible partiel,cycle complet,5,False,True,False,False,2017-08-29,2021-02-01
H001084,reconstructible partiel,cycle complet,9,False,False,False,False,2017-09-01,2024-05-15
H001085,reconstructible partiel,arrivés restés,10,False,True,False,False,2017-08-14,2026-05-14
H001087,reconstructible partiel,cycle complet,4,False,False,False,False,2017-06-20,2020-03-03
H001088,reconstructible partiel,cycle complet,5,True,False,False,False,2017-05-19,2021-08-25
H001090,reconstructible partiel,arrivés restés,10,False,True,False,False,2017-09-07,2026-05-13
H001093,reconstructible partiel,arrivés restés,6,False,True,False,False,2015-08-17,2026-05-01
H001095,reconstructible partiel,arrivés restés,8,False,True,False,False,2019-05-15,2026-05-02
H001096,reconstructible partiel,arrivés restés,5,False,True,False,False,2021-11-08,2025-08-10
H001098,reconstructible partiel,arrivés restés,3,False,False,False,False,2024-02-15,2025-08-07
H001099,reconstructible partiel,arrivés restés,2,False,True,False,False,2024-07-02,2025-08-13
H001100,reconstructible partiel,arrivés restés,4,False,True,False,False,2023-12-14,2026-05-12
H001101,reconstructible partiel,arrivés restés,3,False,True,False,False,2023-12-28,2025-08-13
H001102,reconstructible partiel,arrivés restés,7,False,True,False,False,2016-05-04,2026-05-14
H001103,reconstructible partiel,arrivés restés,3,False,True,False,False,2023-08-13,2025-05-15
I000056,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-07-09,2025-08-07
I000057,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-13,2017-01-31
I000058,reconstructible partiel,arrivés restés,7,False,True,False,False,2015-05-15,2025-08-11
J000032,reconstructible partiel,déjà-là partis,9,False,False,False,False,2015-08-20,2023-10-04
J000126,reconstructible partiel,déjà-là partis,8,False,False,False,False,2015-05-14,2022-05-10
J000174,reconstructible partiel,déjà-là partis,6,False,False,False,False,2015-04-28,2019-02-06
J000255,reconstructible partiel,déjà-là partis,4,False,False,False,False,2015-04-30,2018-05-11
J000288,reconstructible partiel,déjà-là restés,13,False,False,False,False,2014-07-08,2026-05-15
J000289,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-07,2026-05-11
J000290,reconstructible partiel,déjà-là partis,6,False,False,False,False,2015-05-11,2026-05-23
J000292,reconstructible partiel,déjà-là partis,10,True,False,False,False,2015-05-14,2024-04-16
J000294,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-12,2026-05-15
J000295,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-07-14,2025-08-13
J000296,reconstructible partiel,cycle complet,4,True,False,False,False,2014-05-15,2017-02-02
J000297,reconstructible partiel,cycle complet,6,False,False,False,False,2014-05-22,2019-02-11
J000299,reconstructible partiel,arrivés restés,6,False,True,False,False,2016-06-21,2021-08-13
J000301,reconstructible partiel,arrivés restés,11,False,True,False,False,2016-12-18,2025-07-22
J000302,reconstructible partiel,arrivés restés,8,False,True,False,False,2018-04-15,2025-06-16
J000303,reconstructible partiel,cycle complet,4,False,False,False,False,2018-08-01,2020-05-15
J000304,reconstructible partiel,arrivés restés,7,False,True,False,False,2020-02-02,2025-08-08
J000306,reconstructible partiel,cycle complet,5,False,False,False,False,2022-05-16,2026-02-13
J000307,reconstructible partiel,arrivés restés,4,True,False,False,False,2022-07-25,2025-08-13
J000311,reconstructible partiel,arrivés restés,2,False,True,False,False,2024-10-02,2025-08-13
K000009,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-14
K000188,reconstructible partiel,déjà-là partis,9,False,False,False,False,2015-05-04,2023-01-27
K000210,reconstructible partiel,déjà-là partis,8,False,False,False,False,2015-05-15,2021-06-02
K000220,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-02-02,2026-05-14
K000362,reconstructible partiel,déjà-là partis,7,False,False,False,False,2015-05-15,2021-02-03
K000363,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-13,2017-01-05
K000368,reconstructible partiel,déjà-là partis,10,False,False,False,False,2015-05-10,2023-01-15
K000375,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-05-05,2025-05-15
K000376,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-08-12,2025-08-09
K000378,reconstructible partiel,déjà-là partis,8,True,False,False,False,2015-05-15,2022-05-12
K000379,reconstructible partiel,déjà-là partis,7,True,False,False,False,2015-05-15,2021-04-29
K000380,reconstructible partiel,déjà-là partis,11,False,False,False,False,2015-05-01,2025-01-08
K000381,reconstructible partiel,déjà-là partis,11,True,False,False,False,2015-05-14,2025-01-27
K000382,reconstructible partiel,déjà-là partis,11,False,False,False,False,2015-05-21,2025-05-22
K000385,reconstructible partiel,déjà-là restés,14,False,False,False,False,2015-08-07,2026-07-02
K000388,reconstructible partiel,arrivés restés,12,False,False,False,False,2015-04-07,2026-04-20
K000389,reconstructible partiel,arrivés restés,10,True,False,False,False,2016-06-01,2025-08-13
K000390,reconstructible partiel,cycle complet,3,False,True,False,False,2015-07-28,2017-05-14
K000391,reconstructible partiel,arrivés restés,11,True,False,False,False,2015-08-12,2025-08-06
K000394,reconstructible partiel,cycle complet,8,False,False,False,False,2017-10-17,2024-08-13
K000395,reconstructible partiel,cycle complet,5,False,False,False,False,2019-03-20,2023-02-13
K000396,reconstructible partiel,cycle complet,5,False,False,False,False,2019-08-13,2023-01-28
K000397,reconstructible partiel,arrivés restés,9,False,False,False,False,2018-02-15,2025-07-17
K000399,reconstructible partiel,arrivés restés,5,False,False,False,False,2021-08-08,2025-08-13
K000400,reconstructible partiel,arrivés restés,2,False,False,False,False,2024-06-07,2025-06-05
K000401,reconstructible partiel,arrivés restés,4,False,False,False,False,2022-08-12,2025-08-12
K000402,reconstructible partiel,arrivés restés,4,False,True,False,False,2023-12-12,2026-05-12
K000404,reconstructible partiel,arrivés restés,1,False,False,False,False,2024-12-09,2024-12-09
L000111,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-02-20,2015-02-20
L000263,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2019-04-07
L000266,reconstructible partiel,cycle complet,7,False,False,False,False,2019-10-16,2025-05-02
L000287,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-08-13,2019-08-13
L000397,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-05-14,2025-05-09
L000480,reconstructible partiel,déjà-là partis,7,True,False,False,False,2015-05-15,2021-01-29
L000491,reconstructible partiel,déjà-là restés,11,False,False,False,False,2015-05-12,2025-07-14
L000551,reconstructible partiel,déjà-là partis,13,False,False,False,False,2015-05-15,2025-12-30
L000554,reconstructible partiel,déjà-là partis,5,True,False,False,False,2015-08-04,2019-01-18
L000557,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-14
L000559,reconstructible partiel,déjà-là partis,9,True,False,False,False,2015-05-15,2023-04-26
L000560,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-14,2026-05-13
L000562,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-15
L000563,reconstructible partiel,déjà-là partis,7,False,False,False,False,2015-05-14,2021-02-03
L000564,reconstructible partiel,déjà-là partis,11,True,False,False,False,2015-05-15,2025-02-11
L000565,reconstructible partiel,déjà-là partis,7,True,False,False,False,2015-05-12,2021-01-28
L000566,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-09,2026-05-04
L000567,reconstructible partiel,déjà-là partis,5,True,False,False,False,2015-08-10,2019-01-29
L000569,reconstructible partiel,déjà-là partis,11,True,False,False,False,2015-05-12,2025-01-16
L000570,reconstructible partiel,déjà-là partis,6,False,False,False,False,2015-05-15,2020-08-10
L000571,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-06-24,2017-03-31
L000573,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2019-01-27
L000576,reconstructible partiel,déjà-là partis,9,True,False,False,False,2015-05-14,2023-01-05
L000578,reconstructible partiel,déjà-là partis,11,False,False,False,False,2015-05-15,2025-05-14
L000579,reconstructible partiel,déjà-là partis,9,True,False,False,False,2015-05-14,2023-04-19
L000580,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2019-03-04
L000582,reconstructible partiel,arrivés restés,12,False,False,False,False,2014-03-05,2025-08-05
L000583,reconstructible partiel,arrivés restés,13,False,False,False,False,2014-04-28,2026-06-02
L000588,reconstructible partiel,cycle complet,7,False,False,False,False,2017-11-05,2023-01-20
L000592,reconstructible partiel,cycle complet,7,False,False,False,False,2018-01-26,2023-04-28
L000593,reconstructible partiel,arrivés restés,10,False,False,False,False,2017-04-30,2026-04-16
L000598,reconstructible partiel,arrivés restés,4,False,True,False,False,2022-07-19,2025-07-29
L000599,reconstructible partiel,arrivés restés,4,False,True,False,False,2022-07-15,2025-08-12
L000600,reconstructible partiel,arrivés restés,5,False,True,False,False,2022-07-06,2026-05-15
L000602,reconstructible partiel,arrivés restés,1,False,False,False,False,2023-08-13,2023-08-13
L000603,reconstructible partiel,arrivés restés,5,False,True,False,False,2021-08-24,2025-08-12
L000604,reconstructible partiel,cycle complet,2,False,False,False,False,2024-05-12,2025-02-03
L000605,reconstructible partiel,cycle complet,1,False,True,False,False,2024-09-07,2024-09-07
L000606,reconstructible partiel,arrivés restés,1,False,True,False,False,2025-09-12,2025-09-12
L000607,reconstructible partiel,arrivés restés,4,False,True,False,False,2024-01-29,2026-06-08
M000087,reconstructible partiel,déjà-là partis,9,True,False,False,False,2015-05-15,2023-02-01
M000194,reconstructible partiel,arrivés restés,7,False,False,False,False,2019-08-23,2025-08-13
M000309,reconstructible partiel,déjà-là partis,1,True,False,False,False,2015-05-01,2015-05-01
M000312,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-12
M000404,reconstructible partiel,déjà-là partis,4,True,False,False,False,2015-05-14,2017-01-30
M000485,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-01-30,2015-01-30
M000508,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-01-20,2015-01-20
M000687,reconstructible partiel,arrivés restés,7,False,True,False,False,2020-04-21,2025-08-13
M000689,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-15,2017-02-01
M000725,reconstructible partiel,déjà-là partis,1,True,False,False,False,2015-01-30,2015-01-30
M001139,reconstructible partiel,déjà-là partis,1,True,False,False,False,2015-04-29,2015-04-29
M001142,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-01-26,2015-01-26
M001143,reconstructible partiel,déjà-là restés,9,False,False,False,False,2015-05-14,2023-05-01
M001144,reconstructible partiel,déjà-là partis,6,False,False,False,False,2015-05-15,2024-06-14
M001149,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-03-16,2015-03-16
M001150,reconstructible partiel,déjà-là partis,3,True,False,False,False,2015-04-24,2017-01-01
M001151,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-06,2024-05-26
M001156,reconstructible partiel,déjà-là partis,11,True,False,False,False,2015-05-14,2025-01-31
M001157,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-09-16,2025-08-12
M001158,reconstructible partiel,déjà-là partis,7,True,False,False,False,2015-08-13,2021-04-19
M001159,reconstructible partiel,déjà-là partis,4,False,False,False,False,2015-05-15,2018-05-15
M001160,reconstructible partiel,déjà-là restés,10,False,False,False,False,2015-05-08,2026-05-12
M001163,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-14
M001165,reconstructible partiel,déjà-là partis,10,False,False,False,False,2015-05-14,2024-01-24
M001166,reconstructible partiel,déjà-là partis,9,False,False,False,False,2015-05-06,2023-01-22
M001171,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-01-27,2015-01-27
M001177,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-12,2026-05-14
M001179,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2019-02-12
M001180,reconstructible partiel,déjà-là partis,9,True,False,False,False,2015-05-13,2023-01-19
M001181,reconstructible partiel,déjà-là partis,4,False,False,False,False,2015-05-13,2018-05-09
M001182,reconstructible partiel,déjà-là partis,2,True,False,False,False,2015-05-12,2016-05-15
M001184,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-15
M001185,reconstructible partiel,déjà-là partis,9,True,False,False,False,2015-07-03,2023-05-31
M001187,reconstructible partiel,déjà-là partis,5,True,False,False,False,2015-06-23,2019-07-26
M001188,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-06-22
M001189,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2019-04-09
M001190,reconstructible partiel,déjà-là partis,8,True,False,False,False,2015-08-10,2022-08-09
M001191,reconstructible partiel,déjà-là partis,3,True,False,False,False,2015-06-03,2017-02-01
M001192,reconstructible partiel,déjà-là partis,1,False,False,False,False,2014-05-15,2014-05-15
M001194,reconstructible partiel,arrivés restés,13,False,False,False,False,2014-05-21,2026-05-14
M001195,reconstructible partiel,cycle complet,12,False,False,False,False,2014-04-14,2025-02-03
M001197,reconstructible partiel,cycle complet,5,False,True,False,False,2014-05-14,2018-08-11
M001198,reconstructible partiel,cycle complet,6,True,False,False,False,2015-05-13,2020-08-13
M001200,reconstructible partiel,cycle complet,6,True,False,False,False,2016-05-13,2022-05-15
M001208,reconstructible partiel,arrivés restés,8,False,True,False,False,2018-05-21,2025-08-12
M001210,reconstructible partiel,arrivés restés,9,True,False,False,False,2019-03-07,2026-05-11
M001211,reconstructible partiel,arrivés restés,9,False,True,False,False,2014-01-30,2025-11-07
M001212,reconstructible partiel,arrivés restés,10,True,False,False,False,2017-08-14,2026-04-29
M001214,reconstructible partiel,arrivés restés,8,False,False,False,False,2020-01-03,2026-06-14
M001215,reconstructible partiel,arrivés restés,8,False,False,False,False,2014-05-02,2026-05-10
M001216,reconstructible partiel,arrivés restés,5,False,False,False,False,2021-05-07,2025-08-13
M001218,reconstructible partiel,arrivés restés,6,True,False,False,False,2020-05-20,2025-08-13
M001219,reconstructible partiel,arrivés restés,4,False,False,False,False,2023-05-12,2026-05-14
M001224,reconstructible partiel,arrivés restés,5,False,True,False,False,2022-01-28,2025-08-13
M001225,reconstructible partiel,arrivés restés,6,False,False,False,False,2021-12-20,2026-05-14
M001226,reconstructible partiel,arrivés restés,4,False,True,False,False,2022-05-08,2025-07-14
M001228,reconstructible partiel,arrivés restés,3,False,True,False,False,2023-07-10,2025-05-22
M001229,reconstructible partiel,arrivés restés,3,False,False,False,False,2024-12-12,2026-06-18
M001230,reconstructible partiel,arrivés restés,7,False,True,False,False,2017-10-12,2025-08-13
M001231,reconstructible partiel,arrivés restés,4,False,True,False,False,2023-11-10,2026-05-13
M001233,reconstructible partiel,arrivés restés,2,False,True,False,False,2024-04-07,2025-08-13
M001235,reconstructible partiel,arrivés restés,3,False,True,False,False,2023-04-21,2025-08-13
M001237,reconstructible partiel,arrivés restés,2,False,True,False,False,2024-07-05,2025-08-06
M001238,reconstructible partiel,arrivés restés,4,False,True,False,False,2023-07-17,2026-05-14
M001240,reconstructible partiel,arrivés restés,2,False,False,False,False,2024-02-04,2024-05-13
M001246,reconstructible partiel,arrivés restés,1,False,True,False,False,2026-01-20,2026-01-20
N000002,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-15,2026-05-14
N000015,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-14,2026-05-15
N000026,reconstructible partiel,arrivés restés,8,False,False,False,False,2020-01-31,2026-02-20
N000127,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2019-01-28
N000147,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-04,2026-05-12
N000179,reconstructible partiel,déjà-là partis,11,False,False,False,False,2015-05-14,2025-03-04
N000181,reconstructible partiel,déjà-là partis,8,False,False,False,False,2015-05-14,2022-01-30
N000182,reconstructible partiel,déjà-là partis,3,True,False,False,False,2015-05-14,2017-02-17
N000184,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2019-02-08
N000185,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-14,2017-01-12
N000186,reconstructible partiel,déjà-là partis,0,True,False,False,False,,
N000187,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-03-25,2015-03-25
N000190,reconstructible partiel,arrivés restés,9,False,True,False,False,2017-04-02,2025-08-13
N000191,reconstructible partiel,arrivés restés,9,False,False,False,False,2017-10-09,2025-08-10
N000193,reconstructible partiel,arrivés restés,5,False,True,False,False,2021-08-09,2025-08-13
N000194,reconstructible partiel,cycle complet,5,False,False,False,False,2021-08-30,2025-05-02
O000019,reconstructible partiel,arrivés restés,7,False,True,False,False,2019-10-18,2025-04-16
