bioguide,categorie,quadrant,n_photos,a_flux,a_photo_entree,dans_cohorte_Ca,dans_cohorte_papier,premiere_photo,derniere_photo
L000273,reconstructible complet,arrivés restés,7,True,True,False,False,2019-09-03,2025-08-12
L000585,reconstructible complet,arrivés restés,12,True,True,False,False,2015-06-04,2026-05-15
L000589,reconstructible complet,cycle complet,8,True,True,False,False,2018-01-25,2025-01-31
L000590,reconstructible complet,arrivés restés,13,True,True,False,False,2015-09-25,2025-08-12
L000595,reconstructible complet,arrivés restés,6,True,True,False,False,2020-05-14,2025-08-13
L000597,reconstructible complet,arrivés restés,4,True,True,False,False,2022-07-18,2025-08-12
L000601,reconstructible complet,arrivés restés,5,True,True,False,False,2022-04-05,2026-04-20
M000317,reconstructible complet,arrivés restés,7,True,True,False,False,2019-05-14,2025-08-07
M000871,reconstructible complet,arrivés restés,7,True,True,False,False,2019-10-08,2025-08-01
M001136,reconstructible complet,arrivés restés,7,True,True,False,False,2020-03-06,2025-08-13
M001186,reconstructible complet,cycle complet,4,True,True,False,False,2019-10-31,2022-12-30
M001196,reconstructible complet,arrivés restés,13,True,True,False,False,2014-08-13,2026-06-25
M001199,reconstructible complet,arrivés restés,10,True,True,False,False,2016-08-17,2025-08-13
M001202,reconstructible complet,cycle complet,8,True,True,False,False,2016-09-12,2023-02-10
M001203,reconstructible complet,cycle complet,8,True,True,False,False,2017-11-24,2025-12-06
M001204,reconstructible complet,arrivés restés,9,True,True,False,False,2018-01-03,2025-08-13
M001205,reconstructible complet,arrivés restés,9,True,True,False,False,2017-12-07,2025-08-13
M001206,reconstructible complet,arrivés restés,8,True,True,False,False,2018-05-14,2025-07-25
M001213,reconstructible complet,arrivés restés,6,True,True,False,False,2020-10-31,2025-07-10
M001217,reconstructible complet,arrivés restés,4,True,True,False,False,2022-07-22,2025-08-13
M001220,reconstructible complet,arrivés restés,6,True,True,False,False,2022-01-26,2026-05-14
M001222,reconstructible complet,arrivés restés,5,True,True,False,False,2021-11-23,2025-08-08
M001223,reconstructible complet,arrivés restés,5,True,True,False,False,2022-08-13,2026-05-15
M001227,reconstructible complet,arrivés restés,4,True,True,False,False,2023-01-31,2025-08-12
M001234,reconstructible complet,arrivés restés,3,True,True,False,False,2024-03-06,2025-07-20
M001236,reconstructible complet,arrivés restés,4,True,True,False,False,2024-01-31,2026-05-14
M001239,reconstructible complet,arrivés restés,4,True,True,False,False,2019-12-04,2025-05-13
M001241,reconstructible complet,arrivés restés,4,True,True,False,False,2017-05-15,2025-08-13
M001245,reconstructible complet,arrivés restés,2,True,True,False,False,2025-08-11,2026-05-11
N000188,reconstructible complet,arrivés restés,12,True,True,False,False,2014-05-16,2025-08-13
N000189,reconstructible complet,arrivés restés,13,True,True,False,False,2014-07-09,2026-05-15
O000171,reconstructible complet,cycle complet,9,True,True,False,False,2015-10-05,2023-02-25
P000048,reconstructible complet,arrivés restés,7,True,True,False,False,2019-11-27,2025-08-13
R000305,reconstructible complet,arrivés restés,8,True,True,False,False,2020-01-01,2026-05-11
R000603,reconstructible complet,arrivés restés,12,True,True,False,False,2014-05-15,2025-08-01
R000608,reconstructible complet,cycle complet,3,True,True,False,False,2016-02-24,2018-05-10
R000609,reconstructible complet,arrivés restés,11,True,True,False,False,2016-05-16,2026-05-14
R000612,reconstructible complet,arrivés restés,9,True,True,False,False,2017-10-14,2025-09-12
R000614,reconstructible complet,arrivés restés,10,True,True,False,False,2018-01-31,2026-05-14
R000621,reconstructible complet,arrivés restés,2,True,True,False,False,2024-05-17,2025-08-11
S000168,reconstructible complet,arrivés restés,8,True,True,False,False,2018-07-27,2025-08-13
S000250,reconstructible complet,déjà-là restés,13,True,True,False,False,2015-07-30,2026-04-28
S000929,reconstructible complet,arrivés restés,7,True,True,False,False,2020-04-02,2026-05-15
S001190,reconstructible complet,déjà-là restés,12,True,True,False,False,2015-05-01,2025-08-06
S001199,reconstructible complet,arrivés restés,11,True,True,False,False,2016-02-19,2025-08-06
S001205,reconstructible complet,arrivés restés,9,True,True,False,False,2018-04-13,2026-05-07
S001211,reconstructible complet,arrivés restés,9,True,True,False,False,2017-12-06,2025-07-17
S001212,reconstructible complet,arrivés restés,9,True,True,False,False,2017-08-18,2025-07-14
S001213,reconstructible complet,arrivés restés,9,True,True,False,False,2018-05-25,2026-05-12
S001214,reconstructible complet,arrivés restés,8,True,True,False,False,2018-05-14,2025-08-11
S001216,reconstructible complet,arrivés restés,10,True,True,False,False,2017-11-28,2026-05-15
S001229,reconstructible complet,arrivés restés,2,True,True,False,False,2024-04-05,2025-06-22
T000473,reconstructible complet,cycle complet,3,True,True,False,False,2014-05-23,2016-05-16
T000482,reconstructible complet,arrivés restés,9,True,True,False,False,2018-03-26,2025-07-30
T000488,reconstructible complet,arrivés restés,4,True,True,False,False,2022-04-19,2025-08-11
T000490,reconstructible complet,arrivés restés,5,True,True,False,False,2019-09-05,2026-05-15
V000139,reconstructible complet,arrivés restés,2,True,True,False,False,2025-11-19,2026-06-15
W000823,reconstructible complet,cycle complet,7,True,True,False,False,2018-07-28,2024-08-13
W000829,reconstructible complet,arrivés restés,3,True,True,False,False,2024-07-12,2026-05-15
W000830,reconstructible complet,arrivés restés,3,True,True,False,False,2023-08-15,2025-08-13
Y000067,reconstructible complet,arrivés restés,4,True,True,False,False,2022-10-09,2025-08-13
A000055,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-05-14,2025-08-13
A000210,reconstructible partiel,déjà-là partis,1,True,False,False,False,2014-03-20,2014-03-20
A000367,reconstructible partiel,déjà-là partis,7,True,False,False,False,2015-05-15,2021-02-02
A000369,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-06-12,2026-05-01
A000370,reconstructible partiel,arrivés restés,15,False,False,False,False,2014-05-20,2026-05-12
A000371,reconstructible partiel,arrivés restés,12,False,False,False,False,2014-05-15,2025-08-06
A000372,reconstructible partiel,arrivés restés,14,True,False,False,False,2014-04-23,2025-08-11
A000374,reconstructible partiel,cycle complet,7,True,False,False,False,2015-05-20,2020-08-13
A000375,reconstructible partiel,arrivés restés,11,False,True,False,False,2016-02-13,2025-08-13
A000376,reconstructible partiel,cycle complet,9,False,False,False,False,2017-06-18,2026-02-01
A000378,reconstructible partiel,cycle complet,8,True,False,False,False,2017-07-11,2023-01-28
A000380,reconstructible partiel,arrivés restés,4,False,True,False,False,2023-05-23,2026-05-14
A000381,reconstructible partiel,arrivés restés,3,False,True,False,False,2023-10-27,2025-08-13
B000013,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-02-03,2015-02-03
B000213,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2019-02-26
B000287,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-06-15,2017-03-24
B000490,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-14,2026-05-14
B000574,reconstructible partiel,déjà-là partis,11,True,False,False,False,2015-05-15,2025-01-29
B000589,reconstructible partiel,déjà-là partis,2,True,False,False,False,2015-05-14,2015-11-19
B000755,reconstructible partiel,déjà-là partis,8,False,False,False,False,2015-10-10,2023-09-22
B000825,reconstructible partiel,arrivés restés,5,False,True,False,False,2020-01-09,2024-08-13
B000911,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-15,2018-05-15
B001223,reconstructible partiel,cycle complet,3,False,False,False,False,2019-07-02,2024-08-13
B001224,reconstructible partiel,cycle complet,1,False,False,False,False,2021-08-13,2021-08-13
B001227,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-15,2019-01-15
B001242,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-01-30,2016-05-11
B001243,reconstructible partiel,déjà-là partis,4,False,False,False,False,2015-08-12,2018-08-03
B001245,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-11,2019-02-01
B001248,reconstructible partiel,déjà-là partis,11,True,False,False,False,2015-08-07,2025-02-02
B001250,reconstructible partiel,déjà-là partis,7,False,False,False,False,2015-05-15,2021-02-04
B001251,reconstructible partiel,déjà-là partis,9,False,False,False,False,2015-05-13,2023-02-21
B001252,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-01-07,2015-01-07
B001255,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-14,2017-02-02
B001256,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-02-19,2015-02-19
B001257,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-14,2026-05-12
B001259,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-01-29,2015-01-29
B001260,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-14,2026-05-14
B001262,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-03-16,2022-05-16
B001269,reconstructible partiel,déjà-là partis,5,True,False,False,False,2015-05-15,2019-01-24
