bioguide,date,ftype,n_photo,n_confirmees,n_apparues,n_disparues
A000376,2024-05-15,O,33,19.0,14.0,12.0
A000376,2025-05-02,T,30,24.0,6.0,9.0
A000376,2026-02-01,C,34,16.0,18.0,14.0
A000377,2018-05-10,C,322,,,
A000377,2019-08-08,H,327,310.0,17.0,12.0
A000377,2020-08-13,O,445,312.0,133.0,15.0
A000377,2021-08-12,O,457,423.0,34.0,22.0
A000377,2022-08-12,O,468,438.0,30.0,19.0
A000377,2023-09-08,O,494,120.0,374.0,348.0
A000377,2024-08-12,O,531,476.0,55.0,18.0
A000377,2025-04-15,T,544,531.0,13.0,0.0
A000378,2019-05-06,H,6,,,
A000378,2020-05-12,O,54,10.0,44.0,10.0
A000378,2021-07-15,O,52,29.0,23.0,34.0
A000378,2022-05-16,O,60,25.0,35.0,31.0
A000378,2023-01-28,T,60,51.0,9.0,10.0
A000379,2021-11-26,C,9,,,
A000379,2022-06-24,C,7,2.0,5.0,7.0
A000379,2023-08-11,H,54,3.0,51.0,4.0
A000379,2024-08-12,O,61,27.0,34.0,27.0
A000379,2025-08-12,O,51,39.0,12.0,22.0
A000380,2023-05-23,C,20,,,
A000380,2024-08-13,H,10,1.0,9.0,19.0
A000380,2025-05-14,O,10,9.0,1.0,1.0
A000380,2026-05-14,O,11,10.0,1.0,0.0
A000381,2023-10-27,C,16,,,
A000381,2024-08-13,C,15,13.0,2.0,3.0
A000381,2025-08-13,H,13,10.0,3.0,5.0
B000213,2015-05-15,O,4,,,
B000213,2016-07-29,O,1,0.0,1.0,4.0
B000213,2017-08-08,O,6,1.0,5.0,0.0
B000213,2018-06-14,O,1,0.0,1.0,6.0
B000213,2019-02-26,T,1,0.0,1.0,1.0
B000287,2015-06-15,O,45,,,
B000287,2016-06-15,O,45,45.0,0.0,0.0
B000287,2017-03-24,T,27,14.0,13.0,31.0
B000490,2015-05-14,O,8,,,
B000490,2016-05-13,O,8,8.0,0.0,0.0
B000490,2017-04-28,O,7,6.0,1.0,2.0
B000490,2018-05-10,O,6,3.0,3.0,4.0
B000490,2019-05-14,O,4,4.0,0.0,2.0
B000490,2020-08-10,O,4,4.0,0.0,0.0
B000490,2021-08-09,O,4,3.0,1.0,1.0
B000490,2022-05-13,O,4,4.0,0.0,0.0
B000490,2023-05-11,O,4,4.0,0.0,0.0
B000490,2024-05-09,O,4,4.0,0.0,0.0
B000490,2025-05-14,O,5,4.0,1.0,0.0
B000490,2026-05-14,O,5,5.0,0.0,0.0
B000574,2015-05-15,O,45,,,
B000574,2016-05-11,O,43,43.0,0.0,2.0
B000574,2017-05-09,O,43,43.0,0.0,1.0
B000574,2018-05-07,O,44,7.0,37.0,71.0
B000574,2019-05-06,O,87,38.0,49.0,50.0
B000574,2020-08-10,O,99,78.0,21.0,48.0
B000574,2021-06-23,O,122,74.0,48.0,33.0
B000574,2022-05-15,O,124,101.0,23.0,37.0
B000574,2023-05-15,O,132,102.0,30.0,34.0
B000574,2024-05-13,O,140,114.0,26.0,29.0
B000574,2025-01-29,T,147,112.0,35.0,47.0
B000589,2015-05-14,O,132,,,
B000589,2015-11-19,T,123,106.0,17.0,27.0
B000668,2020-02-29,C,65,,,
B000668,2020-05-04,C,65,65.0,0.0,0.0
B000668,2021-08-09,H,54,40.0,14.0,25.0
B000668,2022-05-18,O,45,28.0,17.0,26.0
B000668,2023-05-11,O,47,16.0,31.0,30.0
B000668,2024-08-05,O,50,36.0,14.0,11.0
B000668,2025-06-27,O,92,31.0,61.0,20.0
B000668,2026-05-11,O,89,81.0,8.0,10.0
B000740,2019-08-13,C,32,,,
B000740,2020-05-30,C,26,3.0,23.0,29.0
B000740,2021-08-12,H,43,2.0,41.0,23.0
B000740,2022-08-13,O,50,24.0,26.0,19.0
B000740,2023-08-12,O,37,29.0,8.0,23.0
B000740,2024-08-10,O,27,20.0,7.0,18.0
B000740,2025-08-12,O,39,20.0,19.0,7.0
B000755,2015-10-10,O,23,,,
B000755,2016-08-14,O,23,20.0,3.0,3.0
B000755,2017-08-14,O,24,21.0,3.0,2.0
B000755,2018-09-11,O,24,3.0,21.0,21.0
B000755,2019-06-13,O,24,24.0,0.0,0.0
B000755,2020-09-12,O,22,19.0,3.0,5.0
B000755,2021-08-13,O,22,22.0,0.0,0.0
B000755,2023-09-22,T,21,19.0,2.0,3.0
B000825,2021-08-17,H,3,,,
B000825,2022-08-13,O,12,1.0,11.0,2.0
B000825,2023-05-11,O,11,11.0,0.0,1.0
B000825,2024-08-13,O,12,11.0,1.0,0.0
B000911,2015-05-15,O,2,,,
B000911,2016-05-16,O,2,2.0,0.0,0.0
B000911,2018-05-15,C,4,0.0,4.0,2.0
B001223,2019-07-02,C,2,,,
B001223,2023-08-15,O,1,0.0,1.0,2.0
B001223,2024-08-13,O,3,0.0,3.0,1.0
B001227,2015-05-15,O,7,,,
B001227,2016-05-16,O,6,4.0,2.0,3.0
B001227,2017-08-11,O,7,6.0,1.0,0.0
B001227,2018-08-08,O,7,1.0,6.0,6.0
B001227,2019-01-15,T,7,7.0,0.0,0.0
B001242,2015-01-30,T,6,,,
B001242,2016-05-11,C,6,0.0,6.0,6.0
B001243,2015-08-12,O,29,,,
B001243,2016-08-12,O,17,14.0,3.0,15.0
B001243,2017-08-03,O,12,0.0,12.0,17.0
B001243,2018-08-03,O,12,1.0,11.0,11.0
B001245,2015-05-11,O,9,,,
B001245,2016-05-11,O,7,6.0,1.0,3.0
B001245,2017-05-11,O,8,6.0,2.0,1.0
B001245,2018-05-15,O,8,1.0,7.0,7.0
B001245,2019-02-01,T,6,4.0,2.0,4.0
B001248,2015-08-07,O,61,,,
B001248,2016-08-08,O,58,57.0,1.0,4.0
B001248,2017-07-13,O,54,54.0,0.0,4.0
B001248,2018-08-06,O,55,38.0,17.0,16.0
B001248,2019-08-12,O,52,52.0,0.0,3.0
B001248,2020-08-13,O,51,49.0,2.0,3.0
B001248,2021-08-09,O,48,45.0,3.0,6.0
B001248,2022-08-12,O,51,33.0,18.0,14.0
B001248,2023-08-11,O,53,46.0,7.0,17.0
B001248,2024-08-13,O,91,41.0,50.0,18.0
B001248,2025-02-02,T,83,70.0,13.0,21.0
B001250,2015-05-15,O,3,,,
B001250,2016-05-13,O,3,3.0,0.0,0.0
B001250,2017-05-03,O,3,2.0,1.0,1.0
B001250,2018-05-11,O,3,2.0,1.0,1.0
B001250,2019-04-10,O,3,2.0,1.0,1.0
B001250,2020-07-30,O,3,2.0,1.0,1.0
B001250,2021-02-04,T,3,0.0,3.0,3.0
B001251,2015-05-13,O,28,,,
B001251,2016-04-21,O,27,25.0,2.0,3.0
B001251,2017-05-15,O,29,23.0,6.0,4.0
B001251,2018-05-10,O,24,4.0,20.0,25.0
B001251,2019-05-14,O,21,17.0,4.0,7.0
B001251,2020-08-12,O,20,17.0,3.0,4.0
B001251,2021-07-30,O,18,18.0,0.0,2.0
B001251,2022-05-12,O,18,13.0,5.0,5.0
B001251,2023-02-21,T,18,18.0,0.0,0.0
B001257,2020-08-13,O,28,,,
B001257,2021-08-09,O,23,6.0,17.0,22.0
B001257,2022-05-13,O,20,4.0,16.0,19.0
B001257,2023-05-15,O,21,4.0,17.0,16.0
B001257,2024-05-07,O,18,2.0,16.0,19.0
B001257,2025-05-14,O,21,0.0,21.0,18.0
B001257,2026-05-12,O,11,0.0,11.0,21.0
B001260,2020-08-12,O,117,,,
B001260,2021-08-09,O,96,62.0,34.0,60.0
B001260,2022-05-13,O,102,56.0,46.0,41.0
B001260,2023-05-14,O,79,49.0,30.0,53.0
B001260,2024-05-15,O,75,36.0,39.0,43.0
B001260,2025-05-15,O,74,42.0,32.0,33.0
B001260,2026-05-14,O,71,51.0,20.0,23.0
B001262,2015-03-16,T,27,,,
B001262,2016-04-22,C,27,1.0,26.0,26.0
B001262,2021-05-08,C,26,0.0,26.0,27.0
B001262,2022-05-16,C,26,25.0,1.0,1.0
B001269,2015-05-15,O,61,,,
B001269,2016-05-05,O,61,13.0,48.0,42.0
B001269,2017-05-05,O,60,34.0,26.0,26.0
B001269,2018-05-15,O,51,25.0,26.0,35.0
B001269,2019-01-24,T,42,37.0,5.0,14.0
B001270,2015-05-15,O,6,,,
B001270,2016-07-11,O,6,6.0,0.0,0.0
B001270,2017-08-04,O,4,3.0,1.0,3.0
B001270,2018-08-13,O,4,1.0,3.0,3.0
B001270,2019-08-13,O,4,1.0,3.0,3.0
B001270,2020-08-13,O,4,1.0,3.0,3.0
B001270,2021-08-13,O,4,3.0,1.0,1.0
B001270,2022-08-12,O,3,3.0,0.0,1.0
B001270,2023-04-02,T,3,3.0,0.0,0.0
B001271,2015-05-15,O,72,,,
B001271,2016-05-13,O,88,35.0,53.0,45.0
B001271,2017-03-06,T,74,47.0,27.0,41.0
B001274,2015-05-14,O,40,,,
B001274,2016-05-15,O,40,33.0,7.0,16.0
B001274,2017-05-11,O,66,33.0,33.0,17.0
B001274,2018-05-11,O,67,18.0,49.0,44.0
B001274,2019-05-12,O,59,52.0,7.0,14.0
B001274,2020-07-01,O,68,44.0,24.0,13.0
B001274,2021-07-26,O,51,43.0,8.0,23.0
B001274,2022-05-15,O,46,38.0,8.0,12.0
B001274,2023-05-02,T,47,40.0,7.0,13.0
B001275,2019-05-13,O,43,,,
B001275,2020-08-04,O,57,42.0,15.0,1.0
B001275,2021-05-07,O,57,57.0,0.0,0.0
B001275,2022-05-15,O,34,11.0,23.0,47.0
B001275,2023-05-07,O,34,18.0,16.0,16.0
B001275,2024-05-08,O,43,4.0,39.0,30.0
B001275,2025-02-28,T,46,29.0,17.0,14.0
B001278,2015-05-15,O,41,,,
B001278,2016-05-13,O,38,12.0,26.0,29.0
B001278,2017-05-12,O,36,9.0,27.0,29.0
B001278,2018-05-30,O,36,4.0,32.0,32.0
B001278,2019-06-04,O,36,20.0,16.0,16.0
B001278,2020-07-24,O,28,13.0,15.0,23.0
B001278,2021-07-07,O,29,1.0,28.0,27.0
B001278,2022-07-14,O,27,1.0,26.0,28.0
B001278,2023-07-12,O,28,5.0,23.0,22.0
B001278,2024-05-23,O,34,3.0,31.0,25.0
B001278,2025-07-21,O,37,30.0,7.0,4.0
B001278,2026-06-11,O,39,23.0,16.0,14.0
B001281,2015-05-15,O,26,,,
B001281,2016-05-17,O,31,24.0,7.0,2.0
B001281,2017-05-15,O,28,26.0,2.0,5.0
B001281,2018-05-15,O,25,13.0,12.0,15.0
B001281,2019-05-15,O,27,25.0,2.0,2.0
B001281,2020-08-09,O,25,20.0,5.0,7.0
B001281,2021-09-09,O,24,18.0,6.0,7.0
B001281,2022-05-12,O,23,23.0,0.0,1.0
B001281,2023-05-15,O,21,12.0,9.0,11.0
B001281,2024-05-14,O,20,16.0,4.0,5.0
B001281,2025-05-15,O,20,20.0,0.0,0.0
B001281,2026-05-12,O,21,20.0,1.0,0.0
B001282,2015-05-14,O,18,,,
B001282,2016-05-16,O,20,4.0,16.0,13.0
B001282,2017-05-15,O,19,6.0,13.0,14.0
B001282,2018-05-15,O,11,3.0,8.0,16.0
B001282,2019-05-15,O,12,1.0,11.0,10.0
B001282,2020-07-30,O,12,4.0,8.0,8.0
B001282,2021-08-05,O,43,1.0,42.0,11.0
B001282,2022-05-11,O,47,19.0,28.0,24.0
B001282,2023-05-09,O,53,23.0,30.0,24.0
B001282,2024-07-23,O,72,33.0,39.0,20.0
B001282,2025-08-11,O,59,45.0,14.0,27.0
B001283,2015-05-01,O,4,,,
B001283,2016-05-12,O,4,4.0,0.0,0.0
B001283,2017-05-15,O,4,4.0,0.0,0.0
B001284,2015-05-14,O,61,,,
B001284,2016-05-16,O,58,42.0,16.0,21.0
B001284,2017-05-15,O,54,36.0,18.0,23.0
B001284,2018-05-15,O,61,37.0,24.0,20.0
B001284,2019-05-15,O,49,22.0,27.0,40.0
B001284,2020-08-13,O,46,33.0,13.0,30.0
B001284,2021-05-04,T,34,15.0,19.0,31.0
B001285,2015-05-15,O,36,,,
B001285,2016-05-17,O,37,25.0,12.0,11.0
B001285,2017-07-14,O,43,28.0,15.0,9.0
B001285,2018-08-03,O,40,1.0,39.0,42.0
B001285,2019-08-05,O,37,5.0,32.0,35.0
B001285,2020-07-30,O,34,6.0,28.0,31.0
B001285,2021-08-04,O,44,24.0,20.0,10.0
B001285,2022-06-10,O,39,1.0,38.0,43.0
B001285,2023-08-11,O,37,23.0,14.0,16.0
B001285,2024-07-17,O,40,20.0,20.0,17.0
B001285,2025-07-21,O,35,9.0,26.0,31.0
B001286,2015-05-14,O,29,,,
B001286,2016-05-13,O,31,4.0,27.0,24.0
B001286,2017-05-15,O,31,16.0,15.0,12.0
B001286,2018-06-06,O,24,15.0,9.0,16.0
B001286,2019-05-03,O,24,21.0,3.0,4.0
B001286,2020-08-10,O,19,11.0,8.0,13.0
B001286,2021-08-03,O,18,5.0,13.0,14.0
B001286,2022-07-27,O,21,13.0,8.0,5.0
B001286,2023-01-24,T,22,13.0,9.0,8.0
B001287,2015-05-15,O,64,,,
B001287,2016-05-16,O,74,57.0,17.0,7.0
B001287,2017-05-15,O,74,73.0,1.0,1.0
B001287,2018-05-14,O,70,2.0,68.0,72.0
B001287,2019-05-14,O,67,58.0,9.0,12.0
B001287,2020-08-12,O,65,55.0,10.0,12.0
B001287,2021-08-04,O,55,39.0,16.0,26.0
B001287,2022-08-03,O,54,41.0,13.0,14.0
