bioguide,date,sens,cause,n
C001092,2016-04-21,disparue,nom,30
C001092,2016-04-21,disparue,residuel,2
C001092,2017-04-25,apparue,nom,49
C001092,2017-04-25,disparue,nom,40
C001092,2017-04-25,disparue,residuel,1
C001092,2018-04-17,apparue,nom,41
C001092,2018-04-17,disparue,nom,49
C001092,2018-04-17,disparue,residuel,1
C001092,2019-04-29,apparue,nom,46
C001092,2019-04-29,apparue,residuel,1
C001092,2019-04-29,disparue,nom,41
C001092,2019-10-30,apparue,nom,27
C001092,2019-10-30,disparue,nom,45
C001092,2019-10-30,disparue,type_photo,2
C001093,2016-05-16,apparue,nom,8
C001093,2016-05-16,disparue,nom,3
C001093,2017-05-15,apparue,nom,3
C001093,2017-05-15,disparue,nom,1
C001093,2018-05-15,apparue,nom,12
C001093,2018-05-15,disparue,nom,12
C001093,2019-05-13,apparue,nom,1
C001093,2019-05-13,disparue,nom,1
C001093,2020-08-12,apparue,nom,3
C001093,2020-08-12,disparue,nom,5
C001094,2018-05-08,apparue,nom,14
C001094,2018-05-08,disparue,nom,14
C001094,2019-05-07,apparue,nom,1
C001094,2019-05-07,disparue,nom,1
C001096,2016-05-11,apparue,nom,2
C001096,2016-05-11,apparue,premiere,4
C001096,2016-05-11,disparue,nom,8
C001096,2017-04-27,disparue,nom,1
C001096,2018-05-05,apparue,nom,12
C001096,2018-05-05,disparue,nom,12
C001097,2016-08-15,disparue,nom,3
C001097,2017-08-10,apparue,nom,1
C001097,2017-08-10,disparue,nom,1
C001097,2018-08-10,apparue,nom,9
C001097,2018-08-10,disparue,nom,9
C001097,2022-08-08,disparue,residuel,1
C001101,2016-08-12,apparue,nom,43
C001101,2016-08-12,apparue,residuel,16
C001101,2016-08-12,disparue,nom,77
C001101,2016-08-12,disparue,residuel,24
C001101,2017-08-07,apparue,nom,31
C001101,2017-08-07,apparue,premiere,2
C001101,2017-08-07,apparue,residuel,1
C001101,2017-08-07,disparue,nom,37
C001101,2017-08-07,disparue,residuel,25
C001101,2018-05-11,apparue,nom,53
C001101,2018-05-11,apparue,premiere,7
C001101,2018-05-11,apparue,residuel,4
C001101,2018-05-11,disparue,nom,64
C001101,2018-05-11,disparue,residuel,13
C001101,2019-07-31,apparue,nom,31
C001101,2019-07-31,apparue,premiere,5
C001101,2019-07-31,apparue,residuel,8
C001101,2019-07-31,disparue,nom,30
C001101,2019-07-31,disparue,residuel,13
C001101,2020-08-12,apparue,nom,53
C001101,2020-08-12,apparue,premiere,9
C001101,2020-08-12,apparue,residuel,5
C001101,2020-08-12,disparue,nom,39
C001101,2020-08-12,disparue,residuel,19
C001101,2021-08-11,apparue,nom,31
C001101,2021-08-11,apparue,premiere,1
C001101,2021-08-11,apparue,residuel,2
C001101,2021-08-11,disparue,nom,48
C001101,2021-08-11,disparue,residuel,36
C001101,2022-08-12,apparue,nom,13
C001101,2022-08-12,apparue,premiere,9
C001101,2022-08-12,apparue,residuel,2
C001101,2022-08-12,disparue,nom,54
C001101,2022-08-12,disparue,residuel,9
C001101,2023-06-08,apparue,nom,6
C001101,2023-06-08,apparue,premiere,3
C001101,2023-06-08,disparue,nom,9
C001101,2024-05-14,apparue,nom,14
C001101,2024-05-14,apparue,residuel,1
C001101,2024-05-14,disparue,nom,16
C001101,2024-05-14,disparue,residuel,1
C001101,2025-05-15,apparue,nom,11
C001101,2025-05-15,disparue,nom,15
C001101,2025-05-15,disparue,residuel,5
C001101,2026-05-15,apparue,nom,9
C001101,2026-05-15,apparue,premiere,2
C001101,2026-05-15,apparue,residuel,1
C001101,2026-05-15,disparue,nom,13
C001101,2026-05-15,disparue,residuel,2
C001102,2015-05-15,apparue,nom,103
C001102,2015-05-15,apparue,premiere,26
C001102,2015-05-15,disparue,nom,175
C001102,2015-05-15,disparue,type_photo,90
C001102,2016-05-16,apparue,nom,33
C001102,2016-05-16,apparue,premiere,2
C001102,2016-05-16,disparue,nom,154
C001102,2016-05-16,disparue,residuel,49
C001102,2017-01-31,apparue,nom,33
C001102,2017-01-31,disparue,nom,37
C001102,2017-01-31,disparue,type_photo,2
C001103,2014-08-08,apparue,nom,56
C001103,2014-08-08,apparue,premiere,183
C001103,2014-08-08,disparue,nom,1
C001103,2014-08-08,disparue,residuel,1
C001103,2015-07-24,apparue,nom,49
C001103,2015-07-24,apparue,premiere,2
C001103,2015-07-24,disparue,nom,56
C001103,2015-07-24,disparue,type_photo,180
C001103,2016-08-15,apparue,nom,35
C001103,2016-08-15,apparue,type_photo,2
C001103,2016-08-15,disparue,nom,36
C001103,2017-05-09,apparue,nom,7
C001103,2017-05-09,disparue,nom,7
C001103,2017-05-09,disparue,residuel,1
C001103,2018-08-02,apparue,nom,36
C001103,2018-08-02,disparue,nom,38
C001103,2018-08-02,disparue,residuel,1
C001103,2019-08-13,apparue,nom,24
C001103,2019-08-13,disparue,nom,26
C001103,2020-08-03,apparue,nom,46
C001103,2020-08-03,disparue,nom,48
C001103,2021-08-05,apparue,nom,32
C001103,2021-08-05,disparue,nom,42
C001103,2022-06-14,apparue,nom,20
C001103,2022-06-14,disparue,nom,23
C001103,2023-07-19,apparue,nom,21
C001103,2023-07-19,disparue,nom,28
C001103,2024-07-10,apparue,nom,18
C001103,2024-07-10,apparue,premiere,3
C001103,2024-07-10,disparue,nom,24
C001103,2024-07-10,disparue,residuel,1
C001103,2025-05-14,apparue,nom,10
C001103,2025-05-14,apparue,residuel,2
C001103,2025-05-14,disparue,nom,13
C001103,2026-06-18,apparue,nom,4
C001103,2026-06-18,disparue,nom,5
C001104,2021-08-13,apparue,nom,2
C001104,2021-08-13,apparue,premiere,11
C001104,2022-08-07,apparue,nom,2
C001104,2022-08-07,disparue,nom,11
C001104,2022-08-07,disparue,type_photo,11
C001105,2015-06-13,apparue,nom,1
C001105,2015-06-13,apparue,premiere,3
C001105,2015-06-13,disparue,nom,34
C001105,2015-06-13,disparue,type_photo,8
C001105,2016-06-14,apparue,nom,6
C001105,2016-06-14,apparue,premiere,3
C001105,2016-06-14,apparue,type_photo,1
C001105,2016-06-14,disparue,nom,7
C001105,2016-06-14,disparue,type_photo,4
C001105,2017-05-14,apparue,nom,20
C001105,2017-05-14,apparue,premiere,3
C001105,2017-05-14,apparue,residuel,8
C001105,2017-05-14,disparue,nom,2
C001105,2017-05-14,disparue,residuel,2
C001105,2018-07-11,apparue,nom,22
C001105,2018-07-11,apparue,premiere,1
C001105,2018-07-11,apparue,residuel,3
C001105,2018-07-11,disparue,nom,34
C001105,2018-07-11,disparue,residuel,12
C001105,2019-03-31,apparue,nom,3
C001105,2019-03-31,apparue,premiere,1
C001105,2019-03-31,apparue,type_photo,1
C001105,2019-03-31,disparue,nom,8
C001105,2019-03-31,disparue,type_photo,7
C001106,2015-05-15,apparue,nom,15
C001106,2015-05-15,disparue,nom,18
C001106,2016-05-16,apparue,nom,3
C001106,2016-05-16,apparue,premiere,1
C001106,2016-05-16,disparue,nom,5
C001106,2018-05-15,apparue,nom,13
C001106,2018-05-15,disparue,nom,13
C001106,2019-01-31,apparue,nom,9
C001106,2019-01-31,disparue,nom,13
C001106,2019-01-31,disparue,type_photo,1
C001107,2015-08-13,apparue,nom,43
C001107,2015-08-13,apparue,premiere,37
C001107,2015-08-13,disparue,nom,92
C001107,2015-08-13,disparue,type_photo,11
C001107,2016-08-13,apparue,nom,14
C001107,2016-08-13,apparue,premiere,7
C001107,2016-08-13,apparue,type_photo,3
C001107,2016-08-13,disparue,nom,16
C001107,2016-08-13,disparue,type_photo,21
C001107,2017-08-13,apparue,nom,10
C001107,2017-08-13,apparue,premiere,7
C001107,2017-08-13,apparue,residuel,14
C001107,2017-08-13,disparue,nom,12
C001107,2017-08-13,disparue,residuel,21
C001107,2018-08-13,apparue,nom,28
C001107,2018-08-13,apparue,premiere,5
C001107,2018-08-13,apparue,residuel,29
C001107,2018-08-13,disparue,nom,32
C001107,2018-08-13,disparue,residuel,33
C001107,2019-05-06,apparue,nom,4
C001107,2019-05-06,apparue,premiere,6
C001107,2019-05-06,apparue,type_photo,6
C001107,2019-05-06,disparue,nom,5
C001107,2019-05-06,disparue,type_photo,40
C001108,2016-05-15,apparue,nom,6
C001108,2016-05-15,apparue,premiere,1
C001108,2016-05-15,disparue,nom,6
C001108,2017-05-08,apparue,nom,9
C001108,2017-05-08,apparue,premiere,7
C001108,2017-05-08,disparue,nom,11
C001108,2018-05-15,apparue,nom,11
C001108,2018-05-15,disparue,nom,15
C001108,2018-05-15,disparue,residuel,4
C001108,2019-05-10,apparue,nom,1
C001108,2019-05-10,apparue,premiere,1
C001108,2019-05-10,disparue,nom,1
C001108,2020-08-13,apparue,nom,9
C001108,2020-08-13,apparue,residuel,1
C001108,2020-08-13,disparue,nom,11
C001108,2020-08-13,disparue,residuel,2
C001108,2021-08-13,apparue,premiere,1
C001108,2021-08-13,apparue,residuel,1
C001108,2021-08-13,disparue,residuel,3
C001108,2022-06-14,apparue,nom,3
C001108,2022-06-14,disparue,nom,3
C001108,2022-06-14,disparue,residuel,1
C001108,2023-08-10,apparue,nom,1
C001108,2024-08-13,apparue,residuel,1
C001108,2024-08-13,disparue,nom,1
C001108,2024-08-13,disparue,residuel,1
C001108,2025-08-12,apparue,nom,2
C001108,2025-08-12,apparue,residuel,1
C001108,2025-08-12,disparue,residuel,20
C001109,2017-08-11,apparue,nom,1
C001109,2018-08-13,apparue,nom,10
C001109,2018-08-13,apparue,premiere,4
C001109,2018-08-13,disparue,nom,7
C001109,2018-08-13,disparue,type_photo,5
C001109,2020-08-13,apparue,nom,1
C001109,2020-08-13,disparue,nom,1
C001109,2020-08-13,disparue,residuel,1
C001109,2021-08-13,disparue,nom,1
C001109,2022-08-13,apparue,nom,7
C001109,2022-08-13,disparue,nom,4
C001109,2022-08-13,disparue,residuel,4
C001110,2016-07-11,apparue,nom,1
C001110,2016-07-11,disparue,nom,1
C001110,2017-05-07,apparue,nom,26
C001110,2017-05-07,disparue,nom,25
C001110,2018-05-15,apparue,nom,35
C001110,2018-05-15,apparue,premiere,2
C001110,2018-05-15,disparue,nom,34
C001110,2021-08-06,apparue,nom,1
C001110,2021-08-06,disparue,nom,7
C001110,2022-05-16,apparue,nom,9
C001110,2022-05-16,disparue,nom,8
C001110,2022-05-16,disparue,residuel,1
C001110,2024-05-05,apparue,nom,1
C001110,2025-05-15,apparue,nom,1
C001110,2025-05-15,disparue,nom,2
C001110,2025-05-15,disparue,residuel,1
C001110,2026-05-15,apparue,nom,2
C001110,2026-05-15,disparue,nom,1
C001111,2017-05-12,apparue,nom,4
C001111,2017-05-12,apparue,premiere,2
C001111,2017-05-12,apparue,type_photo,7
C001111,2017-05-12,disparue,nom,63
C001111,2017-05-12,disparue,type_photo,35
C001111,2018-05-15,apparue,nom,1
C001111,2018-05-15,apparue,premiere,2
C001111,2018-05-15,disparue,nom,3
C001111,2018-05-15,disparue,type_photo,5
C001111,2019-05-15,apparue,nom,1
C001111,2019-05-15,disparue,residuel,8
C001111,2020-07-17,apparue,nom,1
C001111,2020-07-17,disparue,nom,1
C001111,2022-05-12,disparue,nom,1
C001111,2022-05-12,disparue,residuel,1
C001111,2022-09-27,apparue,nom,12
C001111,2022-09-27,disparue,nom,2
C001111,2022-09-27,disparue,type_photo,5
C001112,2016-05-13,apparue,nom,1
C001112,2016-05-13,disparue,nom,2
C001112,2018-05-10,apparue,nom,11
C001112,2018-05-10,apparue,premiere,1
C001112,2018-05-10,disparue,nom,2
C001112,2019-05-12,apparue,nom,2
C001112,2019-05-12,disparue,nom,9
C001112,2022-07-29,apparue,nom,3
C001112,2022-07-29,disparue,nom,1
C001112,2022-07-29,disparue,residuel,1
C001112,2024-08-05,apparue,nom,6
C001112,2024-08-05,apparue,premiere,1
C001112,2024-08-05,disparue,nom,6
C001112,2025-05-06,disparue,residuel,1
C001114,2018-08-09,apparue,nom,68
C001114,2018-08-09,apparue,premiere,6
C001114,2018-08-09,disparue,nom,113
C001114,2018-08-09,disparue,type_photo,7
C001114,2019-07-23,apparue,nom,6
C001114,2019-07-23,disparue,nom,10
C001114,2019-07-23,disparue,residuel,5
C001114,2020-08-13,apparue,nom,56
C001114,2020-08-13,apparue,premiere,2
C001114,2020-08-13,apparue,residuel,2
C001114,2020-08-13,disparue,nom,69
C001114,2020-08-13,disparue,residuel,55
C001114,2021-08-13,apparue,nom,80
C001114,2021-08-13,apparue,premiere,41
C001114,2021-08-13,apparue,residuel,2
C001114,2021-08-13,disparue,nom,67
C001114,2021-08-13,disparue,residuel,12
C001114,2022-08-13,apparue,nom,61
C001114,2022-08-13,apparue,premiere,12
C001114,2022-08-13,apparue,residuel,8
C001114,2022-08-13,disparue,nom,55
C001114,2022-08-13,disparue,residuel,15
C001114,2023-08-11,apparue,nom,32
C001114,2023-08-11,apparue,residuel,18
C001114,2023-08-11,disparue,nom,48
C001114,2023-08-11,disparue,residuel,12
C001114,2024-08-05,apparue,nom,24
C001114,2024-08-05,apparue,premiere,2
C001114,2024-08-05,apparue,residuel,10
C001114,2024-08-05,disparue,nom,35
C001114,2024-08-05,disparue,residuel,17
C001115,2019-01-10,apparue,nom,2
C001115,2019-01-10,apparue,premiere,1
C001115,2019-01-10,disparue,nom,5
C001115,2019-05-15,apparue,nom,3
C001115,2019-05-15,apparue,premiere,1
C001115,2019-05-15,disparue,nom,3
C001115,2020-08-13,apparue,nom,1
C001115,2020-08-13,disparue,nom,1
C001115,2021-08-12,apparue,nom,1
C001115,2021-08-12,disparue,nom,1
C001115,2021-08-12,disparue,residuel,1
C001115,2022-05-16,apparue,premiere,1
C001115,2022-05-16,disparue,nom,1
C001115,2023-07-14,apparue,nom,1
C001115,2023-07-14,disparue,residuel,1
C001115,2025-05-13,apparue,nom,1
C001115,2025-05-13,apparue,residuel,1
C001115,2025-05-13,disparue,nom,1
C001116,2021-08-13,apparue,nom,6
C001116,2021-08-13,disparue,nom,4
C001116,2021-08-13,disparue,type_photo,1
C001116,2022-08-11,apparue,nom,5
C001116,2022-08-11,disparue,nom,5
C001116,2023-08-14,apparue,nom,1
C001116,2023-08-14,disparue,nom,1
C001116,2025-08-13,apparue,premiere,2
C001116,2025-08-13,disparue,nom,2
C001117,2018-08-05,apparue,nom,32
C001117,2018-08-05,disparue,nom,30
C001117,2019-06-14,apparue,nom,26
C001117,2019-06-14,disparue,nom,17
C001117,2020-08-12,apparue,nom,37
C001117,2020-08-12,apparue,premiere,1
C001117,2020-08-12,disparue,nom,32
C001117,2021-08-13,apparue,nom,11
C001117,2021-08-13,disparue,nom,12
C001117,2021-08-13,disparue,residuel,4
C001117,2022-08-11,apparue,nom,20
C001117,2022-08-11,apparue,premiere,14
C001117,2022-08-11,disparue,nom,36
C001117,2023-08-12,apparue,nom,12
C001117,2023-08-12,apparue,premiere,1
C001117,2023-08-12,apparue,residuel,4
C001117,2023-08-12,disparue,nom,15
C001117,2023-08-12,disparue,residuel,11
C001117,2024-08-09,apparue,nom,15
C001117,2024-08-09,apparue,premiere,6
C001117,2024-08-09,apparue,residuel,2
C001117,2024-08-09,disparue,nom,32
C001117,2024-08-09,disparue,residuel,5
C001117,2025-08-06,apparue,nom,7
C001117,2025-08-06,apparue,premiere,1
C001117,2025-08-06,apparue,residuel,2
C001117,2025-08-06,disparue,nom,10
C001117,2025-08-06,disparue,residuel,7
C001118,2018-09-13,apparue,nom,11
C001118,2018-09-13,disparue,nom,11
C001118,2019-05-15,apparue,nom,14
C001118,2019-05-15,disparue,nom,14
C001118,2020-08-09,apparue,nom,5
C001118,2020-08-09,apparue,premiere,1
C001118,2020-08-09,disparue,nom,5
C001118,2021-08-13,apparue,nom,1
C001118,2021-08-13,disparue,nom,1
C001118,2022-05-16,apparue,nom,3
C001118,2022-05-16,disparue,nom,3
C001118,2022-05-16,disparue,residuel,1
C001118,2023-08-11,apparue,nom,11
C001118,2023-08-11,disparue,nom,10
C001118,2024-08-13,apparue,nom,7
C001118,2024-08-13,apparue,premiere,3
C001118,2024-08-13,apparue,residuel,1
C001118,2024-08-13,disparue,nom,11
C001118,2024-08-13,disparue,residuel,2
C001118,2025-08-13,disparue,nom,1
C001119,2016-05-06,apparue,nom,21
C001119,2016-05-06,apparue,premiere,1
C001119,2016-05-06,disparue,nom,29
C001119,2017-11-07,apparue,nom,54
C001119,2017-11-07,disparue,nom,52
C001119,2017-11-07,disparue,residuel,1
C001119,2018-05-08,apparue,nom,44
C001119,2018-05-08,disparue,nom,32
C001119,2019-05-15,apparue,nom,28
C001119,2019-05-15,disparue,nom,48
C001119,2019-05-15,disparue,type_photo,9
C001119,2020-08-13,apparue,nom,15
C001119,2020-08-13,disparue,nom,23
C001119,2020-08-13,disparue,residuel,1
C001119,2021-08-12,apparue,nom,51
C001119,2021-08-12,disparue,nom,47
C001119,2022-05-16,apparue,nom,48
C001119,2022-05-16,disparue,nom,51
C001119,2023-07-12,apparue,nom,36
C001119,2023-07-12,disparue,nom,39
C001119,2024-05-14,apparue,nom,12
C001119,2024-05-14,apparue,premiere,1
C001119,2024-05-14,disparue,nom,12
C001119,2025-05-14,apparue,nom,8
C001119,2025-05-14,apparue,premiere,31
C001119,2025-05-14,disparue,nom,39
C001119,2025-05-14,disparue,residuel,1
C001119,2026-05-14,apparue,nom,4
C001119,2026-05-14,apparue,premiere,5
C001119,2026-05-14,disparue,nom,14
C001119,2026-05-14,disparue,residuel,1
C001120,2018-08-12,apparue,nom,1
C001120,2018-08-12,disparue,nom,2
C001120,2020-08-13,apparue,premiere,3
C001120,2020-08-13,disparue,type_photo,2
C001120,2021-08-25,apparue,premiere,1
C001120,2021-08-25,apparue,residuel,3
C001120,2022-06-26,apparue,nom,2
C001120,2022-06-26,apparue,premiere,1
C001120,2022-06-26,apparue,residuel,4
C001120,2022-06-26,disparue,nom,1
C001120,2022-06-26,disparue,residuel,3
C001120,2023-08-08,apparue,nom,3
C001120,2023-08-08,apparue,premiere,2
C001120,2023-08-08,disparue,nom,1
C001120,2023-08-08,disparue,residuel,14
C001120,2024-08-14,apparue,nom,1
C001120,2024-08-14,apparue,premiere,3
C001120,2024-08-14,apparue,residuel,1
C001120,2025-05-10,apparue,nom,1
C001120,2025-05-10,disparue,nom,3
C001120,2025-05-10,disparue,residuel,11
C001121,2018-08-01,apparue,nom,26
C001121,2018-08-01,disparue,nom,22
C001121,2019-08-12,apparue,nom,7
C001121,2019-08-12,apparue,premiere,4
C001121,2019-08-12,disparue,nom,33
C001121,2019-08-12,disparue,type_photo,5
C001121,2020-08-13,apparue,nom,12
C001121,2020-08-13,apparue,premiere,12
C001121,2020-08-13,disparue,nom,4
C001121,2021-08-12,apparue,nom,9
C001121,2021-08-12,apparue,premiere,4
C001121,2021-08-12,disparue,nom,14
C001121,2022-08-08,apparue,nom,3
C001121,2022-08-08,apparue,premiere,1
C001121,2022-08-08,disparue,nom,8
C001121,2022-08-08,disparue,residuel,3
C001121,2023-08-11,apparue,nom,4
C001121,2023-08-11,apparue,premiere,6
C001121,2023-08-11,apparue,residuel,1
C001121,2023-08-11,disparue,nom,4
C001121,2023-08-11,disparue,residuel,7
C001121,2024-08-13,apparue,nom,13
C001121,2024-08-13,apparue,residuel,1
C001121,2024-08-13,disparue,nom,2
C001121,2024-08-13,disparue,residuel,8
C001121,2025-08-13,apparue,nom,2
C001121,2025-08-13,apparue,residuel,5
C001121,2025-08-13,disparue,nom,9
C001122,2018-12-13,apparue,nom,6
C001122,2018-12-13,disparue,nom,5
C001122,2019-05-15,apparue,nom,7
C001122,2019-05-15,disparue,nom,8
C001122,2020-08-13,apparue,nom,3
C001122,2020-08-13,apparue,premiere,2
C001122,2020-08-13,disparue,nom,7
C001122,2021-02-21,disparue,nom,1
C001123,2018-08-13,apparue,nom,171
C001123,2018-08-13,apparue,premiere,40
C001123,2018-08-13,disparue,nom,134
C001123,2018-08-13,disparue,residuel,103
C001123,2019-08-13,apparue,nom,90
C001123,2019-08-13,apparue,premiere,24
C001123,2019-08-13,apparue,type_photo,61
C001123,2019-08-13,disparue,nom,175
C001123,2019-08-13,disparue,type_photo,94
C001123,2020-08-13,apparue,nom,73
C001123,2020-08-13,apparue,premiere,12
C001123,2020-08-13,apparue,type_photo,62
C001123,2020-08-13,disparue,nom,98
C001123,2020-08-13,disparue,type_photo,177
C001123,2021-04-27,apparue,nom,56
C001123,2021-04-27,apparue,premiere,45
C001123,2021-04-27,apparue,type_photo,65
C001123,2021-04-27,disparue,nom,60
C001123,2021-04-27,disparue,type_photo,81
C001123,2023-10-31,apparue,nom,90
C001123,2023-10-31,apparue,premiere,128
C001123,2023-10-31,apparue,type_photo,45
C001123,2023-10-31,disparue,nom,71
C001123,2023-10-31,disparue,type_photo,95
C001123,2024-07-31,apparue,nom,59
C001123,2024-07-31,apparue,premiere,43
C001123,2024-07-31,apparue,residuel,25
C001123,2024-07-31,disparue,nom,60
C001123,2024-07-31,disparue,residuel,98
C001123,2025-08-13,apparue,nom,52
C001123,2025-08-13,apparue,premiere,16
C001123,2025-08-13,apparue,type_photo,53
C001123,2025-08-13,disparue,nom,79
C001123,2025-08-13,disparue,type_photo,83
C001124,2018-05-15,apparue,nom,32
C001124,2018-05-15,disparue,nom,31
C001124,2019-08-13,apparue,nom,11
C001124,2019-08-13,apparue,premiere,12
C001124,2019-08-13,disparue,nom,23
C001124,2019-08-13,disparue,type_photo,1
C001124,2020-08-13,apparue,nom,3
C001124,2020-08-13,apparue,premiere,1
C001124,2020-08-13,apparue,type_photo,2
C001124,2020-08-13,disparue,nom,9
C001124,2021-05-04,apparue,premiere,1
C001124,2021-05-04,disparue,nom,4
C001124,2021-05-04,disparue,type_photo,2
C001125,2023-05-15,apparue,nom,1
C001125,2023-05-15,apparue,premiere,1
C001125,2023-05-15,disparue,nom,3
C001125,2024-05-15,apparue,nom,6
C001125,2024-05-15,apparue,premiere,3
C001125,2024-05-15,disparue,nom,1
C001125,2024-05-15,disparue,residuel,1
C001125,2025-05-15,apparue,nom,6
C001125,2025-05-15,apparue,premiere,1
C001125,2025-05-15,apparue,residuel,1
C001125,2025-05-15,disparue,nom,6
C001125,2025-05-15,disparue,residuel,2
C001125,2026-05-14,apparue,nom,8
C001125,2026-05-14,disparue,nom,6
C001125,2026-05-14,disparue,residuel,1
C001126,2022-08-12,apparue,nom,17
C001126,2022-08-12,apparue,premiere,25
C001126,2022-08-12,disparue,nom,3
C001126,2023-08-13,apparue,nom,7
C001126,2023-08-13,apparue,premiere,6
C001126,2023-08-13,apparue,type_photo,7
C001126,2023-08-13,disparue,nom,11
C001126,2023-08-13,disparue,type_photo,11
C001126,2024-08-13,apparue,nom,15
C001126,2024-08-13,apparue,premiere,6
C001126,2024-08-13,apparue,residuel,2
C001126,2024-08-13,disparue,nom,8
C001126,2024-08-13,disparue,residuel,15
C001126,2025-08-13,apparue,nom,3
C001126,2025-08-13,apparue,premiere,7
C001126,2025-08-13,apparue,residuel,3
C001126,2025-08-13,disparue,nom,5
C001126,2025-08-13,disparue,residuel,3
C001127,2022-08-12,apparue,nom,1
C001127,2022-08-12,disparue,nom,1
C001127,2023-08-14,apparue,nom,1
C001127,2023-08-14,disparue,nom,3
C001127,2024-08-13,apparue,nom,1
C001127,2024-08-13,disparue,nom,4
C001127,2024-08-13,disparue,residuel,1
C001127,2025-08-13,apparue,nom,5
C001127,2025-08-13,disparue,nom,3
C001128,2023-03-30,apparue,nom,8
C001128,2023-03-30,disparue,nom,8
C001129,2021-09-16,apparue,nom,29
C001129,2021-09-16,disparue,nom,42
C001129,2021-09-16,disparue,residuel,2
C001129,2022-12-21,apparue,nom,19
C001129,2022-12-21,disparue,nom,25
C001129,2023-08-03,apparue,nom,22
C001129,2023-08-03,disparue,nom,10
C001129,2024-05-14,apparue,nom,22
C001129,2024-05-14,apparue,premiere,4
C001129,2024-05-14,disparue,nom,41
C001129,2025-06-15,apparue,nom,7
C001129,2025-06-15,apparue,premiere,2
C001129,2025-06-15,disparue,nom,23
C001132,2022-07-02,apparue,nom,9
C001132,2022-07-02,disparue,nom,3
C001132,2022-07-02,disparue,residuel,2
C001132,2023-05-15,apparue,nom,6
C001132,2023-05-15,apparue,premiere,1
C001132,2023-05-15,disparue,nom,12
C001132,2024-05-14,apparue,nom,2
C001132,2024-05-14,disparue,nom,4
C001132,2024-05-14,disparue,type_photo,1
C001132,2025-04-29,disparue,nom,1
C001133,2022-05-16,apparue,nom,11
C001133,2022-05-16,disparue,nom,11
C001133,2023-07-14,apparue,nom,9
C001133,2023-07-14,disparue,nom,7
C001133,2024-05-15,apparue,nom,4
C001133,2024-05-15,disparue,nom,3
C001133,2025-05-15,apparue,nom,1
C001133,2025-05-15,apparue,premiere,2
C001134,2022-05-16,apparue,nom,2
C001134,2022-05-16,disparue,nom,2
C001134,2023-08-04,apparue,nom,2
C001134,2023-08-04,apparue,premiere,1
C001134,2023-08-04,disparue,nom,4
C001134,2024-05-14,apparue,nom,4
C001134,2024-05-14,apparue,premiere,2
C001134,2024-05-14,disparue,nom,4
C001134,2024-05-14,disparue,type_photo,1
C001134,2025-05-03,apparue,nom,1
C001134,2025-05-03,apparue,premiere,2
C001134,2025-05-03,apparue,type_photo,1
C001134,2025-05-03,disparue,nom,2
C001134,2025-05-03,disparue,type_photo,1
C001134,2025-08-13,apparue,nom,1
C001134,2025-08-13,disparue,nom,2
C001134,2025-08-13,disparue,type_photo,1
C001135,2022-07-14,apparue,nom,12
C001135,2022-07-14,apparue,premiere,49
C001135,2022-07-14,disparue,nom,5
C001135,2023-08-12,apparue,nom,11
C001135,2023-08-12,apparue,premiere,7
C001135,2023-08-12,disparue,nom,47
C001135,2023-08-12,disparue,type_photo,73
C001135,2024-08-13,apparue,nom,26
C001135,2024-08-13,apparue,premiere,6
C001135,2024-08-13,disparue,nom,13
C001135,2024-08-13,disparue,type_photo,101
C001136,2025-08-13,apparue,nom,4
C001136,2025-08-13,apparue,premiere,2
C001137,2025-07-03,apparue,nom,7
C001137,2025-07-03,apparue,premiere,1
C001137,2025-07-03,disparue,nom,9
C001137,2025-07-03,disparue,type_photo,2
D000032,2021-08-13,apparue,nom,3
D000032,2021-08-13,apparue,premiere,2
D000032,2021-08-13,apparue,type_photo,5
D000032,2021-08-13,disparue,type_photo,18
D000032,2022-08-09,apparue,nom,3
D000032,2022-08-09,apparue,premiere,11
D000032,2022-08-09,apparue,type_photo,1
D000032,2022-08-09,disparue,nom,13
D000032,2022-08-09,disparue,type_photo,16
D000032,2023-08-11,apparue,nom,1
D000032,2023-08-11,apparue,premiere,1
D000032,2023-08-11,apparue,residuel,1
D000032,2023-08-11,disparue,nom,2
D000032,2023-08-11,disparue,residuel,14
D000032,2024-08-13,apparue,nom,1
D000032,2024-08-13,apparue,premiere,5
D000032,2024-08-13,apparue,residuel,2
D000032,2024-08-13,disparue,nom,1
D000032,2024-08-13,disparue,residuel,13
D000032,2025-08-13,apparue,nom,3
D000032,2025-08-13,apparue,premiere,2
D000032,2025-08-13,apparue,residuel,11
D000032,2025-08-13,disparue,nom,1
D000032,2025-08-13,disparue,residuel,28
D000096,2016-05-12,disparue,nom,1
D000096,2018-06-06,apparue,nom,9
D000096,2018-06-06,disparue,nom,10
D000096,2019-06-27,apparue,nom,3
D000096,2019-06-27,disparue,nom,5
D000096,2020-08-13,apparue,nom,3
D000096,2021-08-12,disparue,nom,2
D000096,2022-08-12,disparue,residuel,1
D000096,2024-08-13,apparue,nom,9
D000096,2024-08-13,disparue,nom,8
D000096,2024-08-13,disparue,residuel,1
D000096,2025-06-09,apparue,nom,7
D000096,2025-06-09,apparue,premiere,2
D000096,2025-06-09,apparue,residuel,2
D000096,2025-06-09,disparue,nom,9
D000191,2016-05-10,apparue,nom,7
D000191,2016-05-10,disparue,nom,2
D000191,2017-04-20,apparue,nom,2
