last,first,suffix,state_district,n_depots,types,bioguide,match_method
Chamberlin,Ryan,,FL03,1,C,,aucun_nom
Champion,Steven Douglas,II,FL15,1,W,,aucun_nom
Champion,Wendell,,TX18,2,CD,,aucun_nom
Chan,Connie,,CA11,3,CX,,aucun_nom
Chan,Michael W.,,NY10,1,D,,aucun_nom
Chan,Sea,,WA09,1,D,,aucun_nom
Chan Hodges,Shay,,HI02,1,C,,aucun_nom
Chandler,Alexandra Eleanor,,MA03,3,CX,,etat_incoherent
Chandrakumar,Roshan,,OH03,1,C,,aucun_nom
Chane,Jonathan,,FL18,3,CX,,aucun_nom
Chang,Stanley,,HI01,1,C,,aucun_nom
Chapin,Dan R.,,CO06,1,D,,aucun_nom
Chapin,Doug,,MN06,3,CX,,aucun_nom
Chaplik,Joseph,,AZ01,5,ACX,,aucun_nom
Chapman,Frank,,WY00,1,X,,aucun_nom
Chapman,Jeff,,GA01,1,C,,aucun_nom
Chapman,John,,SC06,1,C,,aucun_nom
Chappelle-Nadal,Maria,,MO01,3,CX,,aucun_nom
Chappelle-Nadal,Maria Ms,,MO01,3,CX,,aucun_nom
Charbonneau,Mary Jean,,MA06,1,C,,aucun_nom
Chase,Claire,,NM02,3,CX,,aucun_nom
Chase,Todd,,FL03,2,CX,,aucun_nom
Chastain,Christopher Neil,,SC04,1,C,,aucun_nom
Chatlos,Robert,,,1,W,,aucun_nom
Chatlos,Robert,,IN09,2,D,,aucun_nom
Chatman,Lavern,,VA08,1,C,,aucun_nom
Chatzky,Peter,,NY17,1,X,,aucun_nom
Chatzky,Peter S,,NY17,1,C,,aucun_nom
Chaudhry,Melissa,,WA09,2,CX,,aucun_nom
Chaudhry-Ahmad,Jamil O.,,OR01,2,C,,aucun_nom
Chauncey,Shelly Wilson,,PA07,1,C,,aucun_nom
Chavez,Ann E.,,NM01,1,C,,aucun_nom
Chavez,Cesar,,AZ07,1,D,,aucun_nom
Chavez,Jonathan,,GA04,2,C,,aucun_nom
Chavez,Norma Priscilla,,TX16,1,D,,aucun_nom
Chavez,Rocky,,CA49,1,C,,aucun_nom
Chavez-Deremer,Lori,,OR05,7,CHOX,C001135,exact
Cheader,Robert Neil,Jr.,CA20,2,AC,,aucun_nom
Cheek,Jamie,,UT01,3,CD,,aucun_nom
Chehade,Iymen,,IL03,1,C,,aucun_nom
Chelgren,Eric Mark,,IA02,1,C,,aucun_nom
Chen,Anita S.,,CA17,5,CDX,,aucun_nom
Chen,Jay,,CA39,5,ACDX,,aucun_nom
Chen,Jay,,CA45,1,C,,aucun_nom
Chen,Nolan,,CA10,2,CD,,aucun_nom
Cheney,Carole,,,1,W,C001109,last_unique
Cheney,Carole,,IL06,1,C,,etat_incoherent
Cheney,Elizabeth,,WY00,14,AHOTX,C001109,last_unique
Cheney,Elizabeth L,,WY00,1,C,C001109,last_unique
Cheney,Elizabeth Mrs,,WY00,4,OX,C001109,last_unique
Cheney,Jamie,,NY19,1,C,,etat_incoherent
Cheng,Austin Franklin,,NY03,2,CW,,aucun_nom
Cheng,Xiangfei Scott,,MD06,2,AC,,aucun_nom
Chenoweth,Heather Nicole,,OK68,1,C,,aucun_nom
Cherfilus-McCormick,Sheila,,FL20,14,CHOX,C001127,exact
Cherny,Andrei,,AZ01,3,CX,,aucun_nom
Cherny,Dimitri,,SC01,2,CD,,aucun_nom
Chery,Jacques,,MO06,3,DW,,aucun_nom
Chess,Steven,,FL22,2,C,,aucun_nom
Chevalier,Keli,,TX22,2,CW,,aucun_nom
Chew,Robin Leo,,CA14,1,C,,aucun_nom
Chiaradio,Michael Alexis,,MS03,2,C,,aucun_nom
Chico,Douglas Connor,,FL01,1,X,,aucun_nom
Chicon,Martin,,NY13,1,D,,aucun_nom
Childress,Earl,,MO01,1,X,,aucun_nom
Childs,Vivian Louise,,GA02,3,AC,,aucun_nom
Chillara,Sridhar,,,1,W,,aucun_nom
Chima,Harpreet Singh,,CA09,2,C,,aucun_nom
Chin,Doug,,HI01,3,CX,,aucun_nom
Ching,Eric J.,,CA31,1,C,,aucun_nom
Ching,Eric J.,,CA38,4,AC,,aucun_nom
Ching,Eric J.,,CA39,2,AC,,aucun_nom
Chinthala,Balaraju Raju,,IN05,2,CD,,aucun_nom
Chivukula,Upendra J.,,NJ12,1,C,,aucun_nom
Cho,Roy,,NJ05,1,C,,aucun_nom
Choharis,Peter Charles,,MD06,1,C,,aucun_nom
Choi,Jun,,,1,W,,aucun_nom
Choi,Jun,,NJ06,3,CD,,aucun_nom
Chong,Kirk,,FL24,2,CD,,aucun_nom
Choudhury,Mizanur  Rahman,,NY05,2,CX,,aucun_nom
Chowdhury,Mohammed Mohiuddin,,NY06,1,C,,aucun_nom
Chrin,John R.,,PA08,2,CX,,aucun_nom
Chrin,John Robert,,PA17,4,ACX,,aucun_nom
Christensen,Adam J.,,FL03,1,C,,etat_incoherent
Christensen,Donna M.,,VI00,1,T,C000380,prefixe
Christensen,Gordon,,MO04,3,CX,,etat_incoherent
Christensen,Kevin,,WY00,1,C,,etat_incoherent
Christensen,Leland G.,,WY00,3,AC,,etat_incoherent
Christensen,Trent,,UT04,1,C,,etat_incoherent
Christian,Jerrad Shane,,OH12,3,C,,aucun_nom
Christie,Jennifer,,IN05,3,CW,,aucun_nom
Christofferson,Aelea,,OR02,1,C,,aucun_nom
Christophe,Sandra,,LA05,2,C,,aucun_nom
Christopher,Warren,,MD04,1,C,,aucun_nom
Chu,Judy,,CA27,63,AOPX,C001080,exact
Chu,Judy,,CA28,8,AOPX,C001080,exact
Chu,Weiming David,,CA47,3,CDW,C001080,last_unique
Chuba,Jon,,FL05,5,AC,,aucun_nom
Chubb,Larry,,IN01,1,D,,aucun_nom
Chung,Eric,,MI10,4,CX,,aucun_nom
Church,Jason,,WI07,2,CX,,aucun_nom
Ciarcia,Gina Renee,,VA07,1,C,,aucun_nom
Ciardullo,Joseph J,,NY17,1,C,,aucun_nom
Ciarrocchi,Guy,,PA06,1,C,,aucun_nom
Cicilline,David N.,,RI01,13,AOX,C001084,prefixe
Cicotte,George Frederick,,WA04,3,ACX,,aucun_nom
Cino,Michael J.,,NJ05,1,C,,aucun_nom
Cirincione,Russell,,NJ06,1,D,,aucun_nom
Ciscomani,Juan,,AZ02,1,C,C001133,exact
Ciscomani,Juan,,AZ06,7,CHOX,C001133,exact
Cisneros,Gilbert,,CA31,25,CHPX,C001123,exact
Cisneros,Gilbert,,CA39,36,ACHOPTX,C001123,exact
Cisneros,Jessica,,TX28,3,C,,etat_incoherent
Cisneros,Laura Dr,,TX34,1,A,,etat_incoherent
Cisneros,Laura E.,,TX34,4,ACX,,etat_incoherent
Clahchischilliage,Sharon E.,,NM03,3,CX,,aucun_nom
Claitor,Daniel A.,,LA06,2,CX,,aucun_nom
Clancy,Mike,,VA10,3,C,,aucun_nom
Clancy,Mike,,VA11,2,CX,,aucun_nom
Clark,Anthony,,IL07,2,C,,etat_incoherent
Clark,Frederic,,WI07,2,C,,etat_incoherent
Clark,Gaige,,MA03,1,W,C001101,last_unique
Clark,Jasmine,,GA13,2,CX,,etat_incoherent
Clark,Jason,,CO06,1,C,,etat_incoherent
Clark,John Mario,,TN01,1,C,,etat_incoherent
Clark,Katherine M.,,MA05,96,AOPX,C001101,prefixe
Clark,Mike,,TX31,5,CD,,etat_incoherent
Clark,Norman Norm Lee,,LA06,1,C,,etat_incoherent
Clark,Robert Benjamin,III,NC04,1,C,,etat_incoherent
Clark,Wyatt Bronson,,MI09,1,C,,etat_incoherent
Clarke,Hansen,,MI14,1,C,C001085,exact
Clarke,Yvette D.,,NY09,27,AOX,C001067,prefixe
Clarkson,Gavin,,NM02,2,CX,,aucun_nom
Clarmont,Shaun Michael,,WI08,1,C,,aucun_nom
Clatterbuck,Thomas,,IL13,3,CDW,,aucun_nom
Claus,Santa,,AK00,1,D,,aucun_nom
Clausen,Cassidy Allen-Jones,,OR04,1,C,,aucun_nom
Clauss,Matthew Corey,,MI05,1,C,,aucun_nom
Clawson,Curtis J.,,FL19,25,ACOPT,C001102,prefixe
Clay,Mark Daniel,,GA14,1,C,,etat_incoherent
Clay,Nathan,,CO07,2,D,,etat_incoherent
Clay,Wm. Lacy,,MO01,11,OPTX,C001049,prefixe
Clayton,David,,NC05,1,C,,aucun_nom
Cleaver,Emanuel,,MO05,17,AOX,C001061,exact
Cleek,N Eugene,,CA03,2,C,,aucun_nom
Clegg,David J.,,NY19,3,CX,,aucun_nom
Clemens,Peter C.,,UT01,2,CX,,aucun_nom
Clements,Paul Colin,,MI06,7,CX,,aucun_nom
Clemmer,Ann V.,,AR02,1,C,,aucun_nom
Clemmer,Eli Dantzler,,NH02,3,CD,,aucun_nom
Clemmons,Christopher Kelly,,KS03,2,D,,aucun_nom
Clemmons,Mitchell,,CA38,1,D,,aucun_nom
Clemons,Stephen,,CA48,2,CX,,aucun_nom
Cleveland,Hosea N.,,SC03,2,D,,aucun_nom
Cleveland,Russell Tyler,,MT01,4,ACD,,aucun_nom
Cleveland,Scott,,ID02,1,C,,aucun_nom
Cleveland,Shenita 'Shae',,TX30,1,C,,aucun_nom
Cleveland,Shenita Lache,,TX30,3,AC,,aucun_nom
Click,Nathan,,NC14,1,C,,aucun_nom
Clifford,Bill,,KS01,3,AC,,aucun_nom
Clifford,Sianay Chase,,VT00,1,C,,aucun_nom
Climer,Wes,,SC05,1,C,,aucun_nom
Cline,Benjamin Lee,,VA06,16,ACHOX,C001118,prefixe
Cline,Natalie,,WV01,2,C,,etat_incoherent
Cloud,Michael,,TX27,14,ACOX,C001115,exact
Clyburn,James E.,,SC06,14,OX,C000537,prefixe
Clyde,Andrew,,GA09,13,ACHOX,C001116,exact
Clynch,Sean R.,,WA05,1,C,,aucun_nom
Coakley,Vince,,NC12,2,AC,,aucun_nom
Coatney,David Adam,,NC11,6,CD,,aucun_nom
Cobb,Gary Wilbert,,NJ01,1,C,,aucun_nom
Cobb,Joe,,AZ07,1,C,,aucun_nom
Cobb,Tedra,,NY21,2,C,,aucun_nom
Cobb,Tedra Lynne,,NY21,2,C,,aucun_nom
Cobert,Mitchell,,NJ11,3,CX,,aucun_nom
Coble,Howard,,NC06,8,PT,C000556,exact
Coblenz,Michael,,KY06,1,W,,aucun_nom
Cochran,Jed,,OK01,1,C,,aucun_nom
Cockburn,Leslie,,,1,W,,aucun_nom
Cockburn,Leslie,,VA05,3,CX,,aucun_nom
Cody,Kenneth J.,,NJ12,2,D,,aucun_nom
Cody,Wacey Alpha,,TX11,1,D,,aucun_nom
Coester,C. Mark,,VT00,1,C,,aucun_nom
Coffay,Matt,,NC11,2,WX,,aucun_nom
Coffman,Mike,,CO06,8,AOTX,C001077,exact
Coffman,Robert (Bob) Paul,,,1,W,C001077,last_unique
Coffman,Robert (Bob) Paul,,FL06,1,D,,etat_incoherent
Coghill,John B.,Jr.,AK00,1,C,,aucun_nom
Coghill,Morgan,,IL10,1,C,,aucun_nom
Cogliano,Vincent Anthony,Jr,MA09,2,CD,,aucun_nom
Cognetti,Paige,,PA08,3,CX,,aucun_nom
Cohen,Brad J,,NJ12,1,C,,etat_incoherent
Cohen,Edward G.,,NV02,2,CD,,etat_incoherent
Cohen,Jeff,,,1,W,C001068,last_unique
Cohen,Jeff,,IL09,2,CX,,etat_incoherent
Cohen,Lawrence,,OH12,1,D,,etat_incoherent
Cohen,Mark,,NE03,4,CX,,etat_incoherent
Cohen,Mark B.,,PA13,1,D,,etat_incoherent
Cohen,Ronald H.,,CA17,1,D,,etat_incoherent
Cohen,Seth Alan,,IL09,1,C,,etat_incoherent
Cohen,Steve,,TN09,102,AOPX,C001068,exact
Cohn,Alan,,FL15,2,CX,,aucun_nom
Cohn,Alan Michael,,FL15,3,C,,aucun_nom
Cohn,Joseph,,NJ03,2,CX,,aucun_nom
Coker,Adam Ward,,NC02,1,C,,aucun_nom
Coker,Adam Ward,,NC13,1,C,,aucun_nom
Coker,Lloyd F.,,TX10,1,C,,aucun_nom
Colangelo,Steve Anthony,,CA09,1,X,,aucun_nom
Colarusso,Caroline,,MA05,4,ACDX,,aucun_nom
Colarusso,Joseph Anthony,,MA05,1,C,,aucun_nom
Coldiron,Chip Winter,,IN03,3,ACD,,aucun_nom
Cole,Brian,,NH01,2,CX,,etat_incoherent
Cole,David Hagerty,,NJ02,2,C,,etat_incoherent
Cole,Donald Eugene,,GA02,1,C,,etat_incoherent
Cole,Erin,,,1,W,C001053,last_unique
Cole,Erin,,NY27,1,X,,etat_incoherent
Cole,Jahmal,,IL01,4,CX,,etat_incoherent
Cole,Marqus A.,,GA07,1,C,,etat_incoherent
Cole,Michael K.,Jr,TX36,1,C,,etat_incoherent
Cole,Michael Kenneth Mr,,TX14,1,C,,etat_incoherent
Cole,Tom,,OK04,29,AOPX,C001053,exact
Coleman,Andy,,OK01,2,C,,aucun_nom
Coleman,Bernard Wade,,CO02,2,CD,,aucun_nom
Coleman,Bonnie Watson,,NJ12,19,ACOX,,aucun_nom
Coleman,Calvin L.,,IL02,1,C,,aucun_nom
Coleman,Carey,,OH13,1,C,,aucun_nom
Coleman,Jeff,,AL02,4,CWX,,aucun_nom
Coleman,Kim,,UT04,2,C,,aucun_nom
Coleman,Linda,,NC02,1,D,,aucun_nom
Coleman,Lynn Carnell,,IN02,4,CX,,aucun_nom
Coleman,N/A D.,,NC02,2,C,,aucun_nom
Coleman,Octavia,,GA13,1,D,,aucun_nom
Coleman,Tayhlor,,TX10,2,X,,aucun_nom
Colin,Loren,,CA34,2,CD,,aucun_nom
Coll,Gregory Thomas,,MD08,3,CX,,aucun_nom
Collias,Gina  Rockey,,NC10,1,C,,aucun_nom
Collias,Gina Rockey,,NC10,1,C,,aucun_nom
Collica,Chip,,PA15,2,DW,,aucun_nom
Collick,John William,Jr.,VA03,3,CD,,aucun_nom
Collier,Erin,,NY19,1,C,,aucun_nom
Collier,Matt,,MI08,2,CX,,aucun_nom
Collier,Scott,,TX25,1,W,,aucun_nom
Collins,Chris,,FL19,2,CX,,candidat_etat_incoherent
Collins,Chris,,NY27,38,AOPT,C001092,exact
Collins,Doug,,GA09,8,OTX,C001093,exact
Collins,Frederick,,IL01,1,C,,ambigu
Collins,Frederick (Rick) G.,,AL01,1,C,,ambigu
Collins,Genevieve D.,,TX32,4,ACX,,ambigu
Collins,Hayden Thomas,Jr,GA11,2,C,,ambigu
Collins,Jacqueline,,IL01,1,C,,ambigu
Collins,Jay,,FL14,1,C,,ambigu
Collins,Jay,,FL15,1,C,,ambigu
Collins,Joe,,CA43,1,C,,ambigu
Collins,Joe Edward,,,1,W,,ambigu
Collins,Joshua,,WA10,1,C,,ambigu
Collins,Kellie,,GA10,1,C,C001129,last+district
Collins,Kina I.,,IL07,1,C,,ambigu
Collins,Kina Isis,,IL07,4,CX,,ambigu
Collins,Michael A.,,GA10,11,HOPX,C001129,last+district
Collins,Michael A.,Jr,GA10,17,COPX,C001129,last+district
Collins,Nancy,,MS01,1,C,,ambigu
Collins,Shawn,,CA45,4,CWX,,ambigu
Collins,Susan,,,1,W,,ambigu
Collis,Noel,,MN07,2,CX,,aucun_nom
Colombe,Michael Christopher,,CO05,1,C,,aucun_nom
Colombo,Malcolm Thomas,,MD03,1,C,,aucun_nom
Colombo,Nathan,,,1,W,,aucun_nom
Colombo,Nathan,,IL12,1,D,,aucun_nom
Colon,Henry,,FL21,1,D,,aucun_nom
Colon,Jenniffer Gonzalez,,PR00,4,ACX,,aucun_nom
Colvin,Jesse,,MD01,3,CX,,aucun_nom
Colvin,Nick,,MI03,3,ACX,,aucun_nom
Combee,Neil,,FL15,1,C,,aucun_nom
Combs,Gwendolynn Millen,,AR02,2,C,,aucun_nom
Combs,Jack Lewis,Jr.,VA05,3,CWX,,aucun_nom
Comegys,Christopher Scott,,,1,W,,aucun_nom
Comer,James,,KY01,38,ACOPX,C001108,exact
Comer,Natasha Venita,,,1,W,C001108,last_unique
Comer,Robert D.,,CO02,1,C,,etat_incoherent
Compton,William Dakota,,KY02,6,C,,aucun_nom
Comstock,Barbara J Honorable,,VA10,30,OPTX,C001105,prefixe
Comstock,Barbara J.,,VA10,10,ACHOPX,C001105,prefixe
Conaway,Herb,,NJ03,8,ACHX,C001136,prefixe
Conaway,K. Michael,,TX11,104,AOPTX,C001062,prefixe
Conaway,Robert Dean,,CA08,3,CD,,ambigu
Conaway,Robert Dean,,CA40,1,C,,ambigu
Condley,Kerri,,CA42,1,C,,aucun_nom
Conerly,Chad,,LA05,1,C,,aucun_nom
Conforti,Christine Marie,,NJ04,4,ACD,,aucun_nom
Conforti,Niki,,IL06,8,CX,,aucun_nom
Congress,Junaid,,IL08,1,C,,aucun_nom
Conley,Cait,,NY17,4,CX,,aucun_nom
Conley,Dylan,,RI02,2,CD,,aucun_nom
Conlon,Virginia,,NC13,1,C,,aucun_nom
Connelly,Chad,,SC05,2,AC,,aucun_nom
Conner,Lateefah B.,,GA14,2,AC,,aucun_nom
Conner,Phillip,,,1,W,,aucun_nom
Conner,Phillip,,LA03,1,C,,aucun_nom
Connolly,Gerald E.,,VA11,58,AOPX,C001078,prefixe
Connolly,Matt,,PA17,1,C,,etat_incoherent
Connolly,Matthew D.,,PA17,1,C,,etat_incoherent
Connolly,Matthew Donald (Matt Connoll,,PA17,1,C,,etat_incoherent
Conole,Francis,,NY22,1,C,,aucun_nom
Conole,Francis,,NY24,4,CX,,aucun_nom
Conoly,Henry,,PA01,1,C,,aucun_nom
Conover,Rodney Lee,,CA08,1,W,,aucun_nom
Conroy,Carmela,,WA05,3,C,,aucun_nom
Conroy,Eric,,OH01,3,CX,,aucun_nom
Constant,Christopher,,AK00,1,C,,aucun_nom
Constantino,Anthony Thomas,,NY21,4,CX,,aucun_nom
Contogiannis,Mary Ann,,NC06,3,CX,,aucun_nom
Contreras,Corinna,,CA48,2,C,,aucun_nom
Contreras,Louie A.,,CA46,1,D,,aucun_nom
Contreras,Maya,,NY12,1,C,,aucun_nom
Conway,Connie,,CA22,3,CTX,C001128,exact
Conway,George,,NY12,3,CX,,etat_incoherent
Conway,Mark Steven,Jr.,MD07,1,C,,etat_incoherent
Conyears-Ervin,Melissa,,IL07,4,CX,,aucun_nom
Conyers,Ian,,MI13,1,C,C000714,last_unique
Conyers,John,Jr.,MI13,9,AOTX,C000714,exact
Cook,Paul,,CA08,9,OTX,C001094,exact
Cook,Suzan Johnson,,NY13,2,C,,etat_incoherent
Cook,Tamarkus,,GA03,1,C,,etat_incoherent
Cook,Thomas Joseph,,PA03,1,C,,etat_incoherent
Cook,Vaughn R.,,UT04,1,C,,etat_incoherent
Cook,York,,NJ07,1,C,,etat_incoherent
Cooke,Alexander R.,,FL21,1,X,,aucun_nom
Cooke,Kevin,,GA14,1,C,,aucun_nom
Cooke,Rebecca,,WI03,11,ACX,,aucun_nom
Cookingham,Kevin,,CA16,2,C,,aucun_nom
Cooney,Joseph Patrick,,,1,W,,aucun_nom
Cooney,Joseph Patrick,,VA07,1,X,,aucun_nom
Cooper,Dave,,GA09,1,C,,etat_incoherent
Cooper,David Charles,,GA09,1,W,,etat_incoherent
Cooper,Earl L.,,DE00,1,C,,etat_incoherent
Cooper,James L.,III,GA08,3,D,,etat_incoherent
Cooper,Jim,,TN05,31,AGOPTX,C000754,exact
Cooper,Kelly,,AZ04,7,ACX,,etat_incoherent
Cooper,Kelly Robert,,AZ09,1,C,,etat_incoherent
Cooper,Robert David,II,FL06,4,CX,,etat_incoherent
Cooper,Scott,,NC02,2,CX,,etat_incoherent
Cooper,Stuart,,TN07,3,ACX,C000754,last_unique
Cooper,Terri Kay,,WA05,1,C,,etat_incoherent
Cooper-Sutton,Yolanda,,TN05,1,D,,aucun_nom
Coover,Don,,KS02,5,ACX,,aucun_nom
Cope,Clay,,CT05,1,C,,aucun_nom
Cope,Kenneth Clifford,Jr.,TX06,1,O,,aucun_nom
Copeland,Darden Hunter,,TN07,2,CX,,aucun_nom
Coplen,Rick,,PA10,3,CW,,aucun_nom
Coppola,Sergio,II,VA06,3,ACD,,aucun_nom
Coram,Don,,CO03,2,CX,,aucun_nom
Corbin,Michael Allen,,GA07,4,CDX,,aucun_nom
Corbin-Johnson,Shavonnia,,PA04,2,C,,aucun_nom
Corby-O'Neill,Ruby,,CT05,1,C,,aucun_nom
Corey,Gene Raymond Ill,,CA39,1,C,,aucun_nom
Corey,Matthew M Mr,,CT01,2,C,,aucun_nom
Corlew,Bob,,TN06,1,C,,aucun_nom
Corley,Jason Eric,,TX19,2,CD,,aucun_nom
Cornejo,David Neil,,HI02,1,D,,aucun_nom
Cornette,David Williams,Jr.,TX03,1,D,,aucun_nom
Cornicelli,Robert Michael Cpt,,NY01,1,C,,aucun_nom
Cornwell,Stephen,,NY22,1,C,,aucun_nom
Correa,Jose Luis (Lou) Mr,,CA46,10,ACHOX,C001110,prefixe
Correa,Lou,,CA46,9,AOX,C001110,last_unique
Corsetti,Todd Alan,,ID02,1,D,,aucun_nom
Cortes,Jose Marcos,,CA51,1,C,,aucun_nom
Cortes Barragan,Rodolfo,,CA40,2,C,,aucun_nom
Cortese,Mike,,TN05,1,C,,aucun_nom
Cortez,Joshua,,TX34,2,CX,,aucun_nom
Corvalan,Ruben,,TX23,2,CX,,aucun_nom
Corvi,Steven J.,,RI02,2,AC,,aucun_nom
Costa,James M.,,CA16,6,PX,C001059,last_unique
Costa,James M.,,CA21,5,X,C001059,last_unique
Costa,Jim M.,,CA16,9,OP,C001059,prefixe
Costa,Jim M.,,CA21,3,O,C001059,prefixe
Costello,Fredrick William,,,1,W,,ambigu
Costello,Fredrick William,,FL06,3,CX,,ambigu
Costello,Ryan A.,,PA06,12,ACHOT,C001106,prefixe
Cota,Jackie S.,,CA15,1,D,,aucun_nom
Cotham,Patricia A.,,NC12,1,C,,aucun_nom
Cotter Smasal,Missy,,VA02,3,CX,,aucun_nom
Cotton,Tom,,AR04,1,E,C001095,exact
Cottrell,Dana,,FL11,4,CD,,aucun_nom
Coughlin,Kevin,,,1,W,,aucun_nom
Coughlin,Kevin,,OH13,6,CX,,aucun_nom
Coulombe,Chris,,CA02,1,X,,aucun_nom
Council,Temperance A Lance,,CA25,2,CD,,aucun_nom
Counsil,Gordon Joe,,ID01,4,CD,,aucun_nom
Courser,Amy Ryan,,OR04,1,C,,aucun_nom
Courser,Amy Ryan,,OR05,3,CDX,,aucun_nom
Courtney,Joe,,CT02,19,OPX,C001069,exact
Courts,Theresa,,TX38,1,C,,aucun_nom
Couvillon,Sam,,GA09,3,CX,,aucun_nom
Coverdale,Michael Duane,,WA06,1,X,,aucun_nom
Coverdale,Mike Duane,,WA06,1,C,,aucun_nom
Covert,Michael,,SC01,1,C,,aucun_nom
Cowan,Daniel,,GA11,2,CX,,aucun_nom
Cowan,Dr. John,,GA11,1,C,,aucun_nom
Cowan,John,,GA14,1,C,,aucun_nom
Cowden,Anthony 'Tony',,NC04,2,CX,,aucun_nom
Cowell,Dave Allen,,MO08,1,C,,aucun_nom
Cowen,Josh,,MI07,1,C,,aucun_nom
Cowen,Martin  Lindsey,III,GA13,1,C,,aucun_nom
Cowen,Martin Lindsey,III,GA13,6,ACW,,aucun_nom
Cowen,Martin Lindsey Mr,III,GA13,1,D,,aucun_nom
Cox,Amy,,OH10,2,C,,etat_incoherent
Cox,Chris,,SC01,2,CX,,etat_incoherent
Cox,Dan,,MD08,1,C,,etat_incoherent
Cox,David,,FL06,1,C,,etat_incoherent
Cox,David Lawrence,,CO03,1,C,,etat_incoherent
Cox,Donald Raymond,,NC03,1,C,,etat_incoherent
Cox,Stephan,,CA39,1,C,C001124,last_unique
Cox,TJ John,,CA10,1,C,C001124,prefixe
Cox,TJ John (Tj),,CA10,2,A,C001124,prefixe
Cox,TJ John (Tj),,CA21,9,ACHOPT,C001124,prefixe
Cox,Terrance John (Tj),,CA21,2,X,C001124,last_unique
Cox,Terrence John (Tj),,CA10,1,X,C001124,last_unique
Cox,Terrence John (Tj),,CA21,1,X,C001124,last_unique
Cox,Thomas Phillip,,VA01,1,D,,etat_incoherent
Cozad,David Edwin,,TX06,2,AC,,aucun_nom
Cozzens,Jeff,,NH02,3,CWX,,aucun_nom
Crabb,Vincent Darrell,,TX25,1,C,,aucun_nom
Crabtree,Casey,,SD00,2,CX,,aucun_nom
Crabtree,Valleri,,FL09,2,CX,,aucun_nom
Craft,Frank S.,,FL13,2,D,,aucun_nom
Craft,Thomas Edward,,MN02,1,W,,aucun_nom
Crafts,Dale,,ME02,1,C,,aucun_nom
Craig,Andy,,WI04,1,D,,etat_incoherent
Craig,Angela Dawn,,MN02,20,ACOPX,C001119,last_unique
Craig,Rufus H.,Jr,LA06,1,C,,etat_incoherent
Craighill-Middleton,Anduin Elim,,NC06,1,X,,aucun_nom
Crain,Mark Brewer,,TN09,1,D,,aucun_nom
Cramer,Cyle,,MN08,1,X,,etat_incoherent
Cramer,Kevin,,ND00,5,EO,C001096,exact
Cramer,Robert James,,IA,1,C,,etat_incoherent
Cramer,Thomas Allen,,WA08,1,C,,etat_incoherent
Crandall,Terry Lawrence,,CA47,1,C,,aucun_nom
Crane,Elenore Casey,,NH02,1,X,,etat_incoherent
Crane,Eli,,AZ01,3,ACX,C001132,exact
Crane,Eli,,AZ02,7,ACHOX,C001132,exact
Crane,Michael Robert,,GA03,1,C,,etat_incoherent
Crane,Mike,,GA03,1,C,,etat_incoherent
Crank,Jeff,,CO05,2,CH,C001137,exact
Crank,Jeffrey,,CO05,3,GX,C001137,prefixe
Cranmer,Andrew Ira,,KS04,1,D,,aucun_nom
Crapps,Steve,,FL02,2,CX,,aucun_nom
Crary,"James ""Jim""",,,1,W,,aucun_nom
Crary,"James ""Jim""",,OR02,1,C,,aucun_nom
Crass,Steven Michael,,CA16,1,C,,aucun_nom
Craven,Michael Andrew,,KY03,1,D,,aucun_nom
Cravens,Maurice Randall,II,KY06,1,D,,aucun_nom
Crawford,Daniel H.,,OH12,1,C,,etat_incoherent
Crawford,Dennis P.,,NE01,3,C,,etat_incoherent
Crawford,"Eric A. ""Rick""",,AR01,18,AOX,C001087,prefixe
Creech,Rodney Lee,,OH43,2,DW,,aucun_nom
Crenshaw,Ander,,FL04,6,AOPT,C001045,exact
Crenshaw,Daniel,,TX02,30,ACHOPX,C001120,prefixe
Cresitello,Donald,,NJ11,1,C,,aucun_nom
Creviere,JM,,MI02,1,C,,aucun_nom
Creviere,Jean-Michel,,MI02,1,D,,aucun_nom
Crichton,Oreta Tufaga-Mapu,,AS00,1,C,,aucun_nom
Crider,Michael R.,,,1,W,,aucun_nom
Crider,Michael R.,,IN06,1,C,,aucun_nom
Cripe,Mark,,CA25,1,C,,aucun_nom
Crisco,Keith,,NC02,1,C,,aucun_nom
Crispi,Michael,,NJ04,1,C,,aucun_nom
Crist,Charlie,,FL13,7,OTX,C001111,exact
Crist,Charlie Joseph,,FL13,10,ACHOPX,C001111,prefixe
Crist,Terry Vincent,,OH09,1,C,,etat_incoherent
Criswell,Jefferson Edward,,GA06,1,C,,aucun_nom
Criswell,Jefferson Edward,,GA14,1,C,,aucun_nom
Crnkovich,Karen,,KS03,2,C,,aucun_nom
Crochetiere,Bruce,,NH01,1,C,,aucun_nom
Crockett,Douglas,,VA09,2,CX,,etat_incoherent
Crockett,Jasmine,,TX30,11,ACHOX,C001130,exact
Croft,Cammie L.,,NJ11,1,C,,aucun_nom
Croisant,John Thomas,,OK01,3,ACD,,aucun_nom
Croley,Mike,,TN06,2,CD,,aucun_nom
Croom,George,,MD02,1,C,,aucun_nom
Croom,George,,MD03,1,D,,aucun_nom
Crosby,Peter,,UT01,1,D,,aucun_nom
Crosby,Peter,,UT02,1,C,,aucun_nom
Cross,Jennifer,,MD05,1,C,,aucun_nom
Cross,Robert N.,,ME02,2,CX,,aucun_nom
