last,first,suffix,state_district,n_depots,types,bioguide,match_method
Al-Abdrabbuh,Sami,,OR04,1,C,,aucun_nom
Al-Aqidi,Dalia,,MN05,1,X,,aucun_nom
Alam,Mohammed Jahangir,,NY26,1,X,,aucun_nom
Alao,Samuel,,MO05,1,D,,aucun_nom
Alarcon,Richard Anthony,,CA29,1,C,,aucun_nom
Alas,Arturo E.,III,CA32,2,CD,,aucun_nom
Albarran,Charlene M.,,UT02,3,CX,,aucun_nom
Albers,Troy,,FL03,2,C,,aucun_nom
Albertson,Ed,,OH12,4,CD,,aucun_nom
Albertson-Corkery,Sarah Elaine,,IA02,5,ACX,,aucun_nom
Albors,Juan Carlos,,PR00,1,W,,aucun_nom
Albright,Joe,,IL16,2,CX,,aucun_nom
Albritton,Gregory,,AL02,2,CX,,aucun_nom
Albro,Catherine,,MI03,4,CDX,,aucun_nom
Alcantara,Christopher Manuel,,FL11,1,C,,aucun_nom
Alcorn,Peter David,,AL01,1,C,,aucun_nom
Aleman,Katherine,,,1,W,,aucun_nom
Aleman,Katherine,,CA41,1,X,,aucun_nom
Alemayhu,Ted Mesfin,,CA37,2,DX,,aucun_nom
Aleong,Kevin,,NY27,2,D,,aucun_nom
Alexander,Myrtle Patricia,,DC00,1,D,,etat_incoherent
Alexander,Sam,,MO07,1,C,,etat_incoherent
Alexander,Sherrill Kenneth,,TX35,2,CX,,etat_incoherent
Alexander,Timothy C.,,NJ02,4,C,,etat_incoherent
Alfonso,Michael,,WI07,1,C,,aucun_nom
Alford,Mark,,MO04,13,ACHOPX,A000379,exact
Ali,Addul Rahman El,,NC12,1,D,,aucun_nom
Ali,Mussab,,NJ08,1,C,,aucun_nom
Allam,Nida,,NC04,2,AC,,aucun_nom
Allam,Nida,,NC06,1,C,,aucun_nom
Allan,Seth,,OR05,2,AC,,aucun_nom
Allcorn,Tyler,,CO08,1,X,,aucun_nom
Allen,Anders Pope,,AL06,1,D,,etat_incoherent
Allen,Bill,,IN07,1,C,,etat_incoherent
Allen,Brad Dr,,CA24,1,C,,etat_incoherent
Allen,Brian,,PA10,2,CD,,etat_incoherent
Allen,Edward Charles,,,1,W,A000372,last_unique
Allen,Edward Charles,,TX24,2,CD,,etat_incoherent
Allen,Jason Edward,,MI01,1,C,,etat_incoherent
Allen,Jay Thomas,,ME01,2,CD,,etat_incoherent
Allen,Kathleen,,GA07,3,CD,A000372,last_unique
Allen,Kathryn,,UT03,1,C,,etat_incoherent
Allen,Keith,,TX34,1,C,,etat_incoherent
Allen,Mary Theresa,,IN08,3,CX,,etat_incoherent
Allen,Michael,,TX18,1,C,,etat_incoherent
Allen,Richard W.,,GA12,73,ACHOPX,A000372,last_unique
Allen,Samuel,,FL11,3,ACX,,etat_incoherent
Allen-Lott,Robert S.,,GA08,1,C,,aucun_nom
Aller,Gregory Benjamin,,,1,W,,aucun_nom
Aller,Gregory Benjamin,,OR03,1,D,,aucun_nom
Alley,Josh,,TN06,1,C,,aucun_nom
Alliegro,Mark C.,,MA09,2,C,,aucun_nom
Allman,Michael,,CA52,3,CX,,aucun_nom
Allocco,Patrick S.,,NJ11,1,C,,aucun_nom
Allred,Colin,,TX32,17,ACHOTX,A000376,exact
Allred,Colin,,TX33,2,CX,A000376,exact
Allvord,Terry Reagan,,CA52,1,C,,aucun_nom
Alm,Vance,,NV02,1,D,,aucun_nom
