bioguide,doc_id,type_photo,filing_date,n_tickers,delta_jours_mandat,garde_fous_ok
R000103,10036246,C,2020-05-30,2,218.0,True
R000305,10042259,H,2021-08-12,12,,True
R000602,10002573,C,2014-05-15,1,236.0,True
R000603,10006487,H,2015-05-14,6,,True
R000604,10008185,H,2015-07-10,1,,True
R000608,10015309,H,2017-05-08,78,,True
R000609,10015693,H,2017-05-15,2,,True
R000611,10028510,H,2019-06-14,1,,True
R000612,10027981,H,2019-09-12,10,,True
R000614,10027112,H,2019-07-29,8,,True
R000616,10026233,H,2019-08-13,4,,True
R000621,10066553,H,2025-08-11,22,,True
R000622,10068019,H,2025-08-13,20,,True
S000168,10042392,H,2021-08-13,6,,True
S000250,10043422,H,2021-08-15,77,,True
S000929,10042951,H,2021-08-12,1,,True
S001135,10041510,H,2021-08-06,2,,True
S001159,10042473,H,2021-08-13,20,,True
S001190,10015444,H,2017-08-12,79,,True
S001199,10015273,H,2017-05-15,5,,True
S001200,10017132,H,2017-05-19,5,,True
S001201,10015668,H,2017-08-08,19,,True
S001204,10028053,H,2019-07-17,4,,True
S001205,10026890,H,2019-07-31,25,,True
S001206,10026155,H,2019-05-14,260,,True
S001207,10025922,H,2019-05-15,159,,True
S001210,10027229,H,2019-05-15,1,,True
S001211,10025910,H,2019-05-07,4,,True
S001212,10025655,H,2019-05-15,2,,True
S001213,10026370,H,2019-05-15,9,,True
S001214,10026488,H,2019-08-13,14,,True
S001216,10026432,H,2019-05-07,3,,True
S001218,10039549,C,2021-02-19,1,115.0,True
S001220,10052045,H,2023-08-11,1,,True
S001221,10054404,H,2023-08-13,2,,True
S001225,10052093,H,2023-08-11,1,,True
S001226,10051948,H,2023-05-15,15,,True
S001228,10066814,H,2025-08-13,42,,True
S001229,10067311,H,2025-06-22,173,,True
S001230,10066635,H,2025-05-12,7,,True
S001231,10068046,H,2025-08-13,8,,True
T000165,10029632,C,2019-10-09,1,223.0,True
T000473,10005955,H,2015-05-15,8,,True
T000478,10042689,H,2021-08-11,3,,True
T000479,10025797,H,2019-08-13,248,,True
T000482,10025746,H,2019-05-15,1,,True
T000483,10025809,H,2019-05-13,13,,True
T000487,10052670,H,2023-08-13,30,,True
T000488,10054244,H,2023-09-27,51,,True
T000490,10068099,H,2025-05-15,43,,True
T000491,10066135,H,2025-08-10,26,,True
V000134,10041645,H,2021-08-07,1,,True
V000136,10044354,C,2022-01-13,1,355.0,True
V000138,10066129,H,2025-07-31,7,,True
V000139,10079856,H,2026-06-15,106,,True
W000823,10027091,H,2019-08-12,10,,True
W000824,10026420,H,2019-05-15,10,,True
W000825,10026904,H,2019-07-28,2,,True
W000826,10029041,H,2019-08-13,1,,True
W000829,10066607,H,2025-05-14,36,,True
W000830,10071852,H,2025-08-13,66,,True
W000831,10070306,C,2025-08-08,6,33.0,True
Y000067,10052905,H,2023-08-13,15,,True
Z000017,10006911,H,2015-05-14,1,,True
Z000018,10007525,H,2015-05-18,1,,True
