champ,n_manquant,taux_manquant_%
declarant_name,0,0.0
chamber,0,0.0
party,0,0.0
transaction_date,0,0.0
disclosure_date,0,0.0
ticker,0,0.0
operation_type,0,0.0
amount_usd,12,0.0
asset_type,68282,60.1
state,113673,100.0
