bioguide_id,last_name,first_name,official_full,nickname,party,chamber,state,district,declarant_name,name_variants,committee_membership,committees_key_flag
P000553,Proxmire,William,,,Democrat,senate,WI,,William Proxmire,"[""William Proxmire""]",[],False
R000067,Ratchford,William,,,Democrat,house,CT,5.0,William Ratchford,"[""William Ratchford""]",[],False
R000337,Robinson,James,,,Republican,house,VA,7.0,James Robinson,"[""James Robinson""]",[],False
R000442,Rosenthal,Benjamin,,,Democrat,house,NY,7.0,Benjamin Rosenthal,"[""Benjamin Rosenthal""]",[],False
S000087,Sawyer,Harold,,,Republican,house,MI,5.0,Harold Sawyer,"[""Harold Sawyer""]",[],False
S000286,Shannon,James,,,Democrat,house,MA,5.0,James Shannon,"[""James Shannon""]",[],False
S000776,Stafford,Robert,,,Republican,senate,VT,,Robert Stafford,"[""Robert Stafford""]",[],False
S000852,Stennis,John,,,Democrat,senate,MS,,John Stennis,"[""John Stennis""]",[],False
T000367,Trible,Paul,,,Republican,senate,VA,,Paul Trible,"[""Paul Trible""]",[],False
V000026,Vandergriff,Tommy,,,Democrat,house,TX,26.0,Tommy Vandergriff,"[""Tommy Vandergriff""]",[],False
W000180,Washington,Harold,,,Democrat,house,IL,1.0,Harold Washington,"[""Harold Washington""]",[],False
W000253,Weicker,Lowell,,,Republican,senate,CT,,Lowell Weicker,"[""Lowell Weicker""]",[],False
W000528,Williams,Lyle,,,Republican,house,OH,17.0,Lyle Williams,"[""Lyle Williams""]",[],False
W000636,Winn,Edward,,Larry,Republican,house,KS,3.0,Edward Winn,"[""Edward Winn"", ""Larry Winn""]",[],False
W000686,Won Pat,Antonio,,,Democrat,house,GU,0.0,Antonio Won Pat,"[""Antonio Won Pat""]",[],False
Z000001,Zablocki,Clement,,,Democrat,house,WI,4.0,Clement Zablocki,"[""Clement Zablocki""]",[],False
Z000013,Zorinsky,Edward,,,Democrat,senate,NE,,Edward Zorinsky,"[""Edward Zorinsky""]",[],False
A000052,Addabbo,Joseph,,,Democrat,house,NY,6.0,Joseph Addabbo,"[""Joseph Addabbo""]",[],False
A000219,Armstrong,William,,,Republican,senate,CO,,William Armstrong,"[""William Armstrong""]",[],False
B000160,Barnes,Michael,,,Democrat,house,MD,8.0,Michael Barnes,"[""Michael Barnes""]",[],False
B000298,Bedell,Berkley,,,Democrat,house,IA,6.0,Berkley Bedell,"[""Berkley Bedell""]",[],False
B000647,Boschwitz,Rudolph,,Rudy,Republican,senate,MN,,Rudolph Boschwitz,"[""Rudolph Boschwitz"", ""Rudy Boschwitz""]",[],False
C000079,Campbell,Carroll,,,Republican,house,SC,4.0,Carroll Campbell,"[""Carroll Campbell""]",[],False
C000165,Carney,William,,,Republican,house,NY,1.0,William Carney,"[""William Carney""]",[],False
C000322,Chappie,Eugene,,,Republican,house,CA,2.0,Eugene Chappie,"[""Eugene Chappie""]",[],False
C000555,Cobey,William,,,Republican,house,NC,4.0,William Cobey,"[""William Cobey""]",[],False
E000033,Eckert,Fred,,,Republican,house,NY,30.0,Fred Eckert,"[""Fred Eckert""]",[],False
E000043,Edgar,Robert,,,Democrat,house,PA,7.0,Robert Edgar,"[""Robert Edgar""]",[],False
E000259,Evans,Thomas,,,Republican,house,IA,3.0,Thomas Evans,"[""Thomas Evans""]",[],False
F000102,Fiedler,Bobbi,,,Republican,house,CA,21.0,Bobbi Fiedler,"[""Bobbi Fiedler""]",[],False
F000347,Franklin,William,,,Republican,house,MS,2.0,William Franklin,"[""William Franklin""]",[],False
F000430,Fuqua,Don,,,Democrat,house,FL,2.0,Don Fuqua,"[""Don Fuqua""]",[],False
G000499,Grotberg,John,,,Republican,house,IL,14.0,John Grotberg,"[""John Grotberg""]",[],False
H000070,Hall,Sam,,,Democrat,house,TX,1.0,Sam Hall,"[""Sam Hall""]",[],False
H000302,Hartnett,Thomas,,,Republican,house,SC,1.0,Thomas Hartnett,"[""Thomas Hartnett""]",[],False
H000449,Heftel,Cecil,,,Democrat,house,HI,1.0,Cecil Heftel,"[""Cecil Heftel""]",[],False
H000490,Hendon,William,,,Republican,house,NC,11.0,William Hendon,"[""William Hendon""]",[],False
H000624,Hillis,Elwood,,,Republican,house,IN,5.0,Elwood Hillis,"[""Elwood Hillis""]",[],False
H000747,Holt,Marjorie,,,Republican,house,MD,4.0,Marjorie Holt,"[""Marjorie Holt""]",[],False
H000951,Humphrey,Gordon,,,Republican,senate,NH,,Gordon Humphrey,"[""Gordon Humphrey""]",[],False
J000232,Jones,James,,,Democrat,house,OK,1.0,James Jones,"[""James Jones""]",[],False
K000190,Kindness,Thomas,,,Republican,house,OH,8.0,Thomas Kindness,"[""Thomas Kindness""]",[],False
K000322,Kramer,Kenneth,,,Republican,house,CO,5.0,Kenneth Kramer,"[""Kenneth Kramer""]",[],False
L000396,Loeffler,Thomas,,,Republican,house,TX,21.0,Thomas Loeffler,"[""Thomas Loeffler""]",[],False
L000411,Long,Catherine,,,Democrat,house,LA,8.0,Catherine Long,"[""Catherine Long""]",[],False
L000417,Long,Gillis,,,Democrat,house,LA,8.0,Gillis Long,"[""Gillis Long""]",[],False
L000516,Lundine,Stanley,,,Democrat,house,NY,34.0,Stanley Lundine,"[""Stanley Lundine""]",[],False
M000346,McClure,James,,,Republican,senate,ID,,James McClure,"[""James McClure""]",[],False
M000512,McKernan,John,,,Republican,house,ME,1.0,John McKernan,"[""John McKernan""]",[],False
M000826,Mitchell,Parren,,,Democrat,house,MD,7.0,Parren Mitchell,"[""Parren Mitchell""]",[],False
M000860,Monson,David,,,Republican,house,UT,2.0,David Monson,"[""David Monson""]",[],False
M000923,Moore,William,,,Republican,house,LA,6.0,William Moore,"[""William Moore""]",[],False
O000010,O’Brien,George,,,Republican,house,IL,4.0,George O’Brien,"[""George O\u2019Brien""]",[],False
O000098,O’Neill,Thomas,,Tip,Democrat,house,MA,8.0,Thomas O’Neill,"[""Thomas O\u2019Neill"", ""Tip O\u2019Neill""]",[],False
R000495,Rudd,Eldon,,,Republican,house,AZ,4.0,Eldon Rudd,"[""Eldon Rudd""]",[],False
S000230,Seiberling,John,,,Democrat,house,OH,14.0,John Seiberling,"[""John Seiberling""]",[],False
S000409,Siljander,Mark,,,Republican,house,MI,4.0,Mark Siljander,"[""Mark Siljander""]",[],False
S000669,Snyder,Marion,,,Republican,house,KY,4.0,Marion Snyder,"[""Marion Snyder""]",[],False
S000991,Strang,Michael,,,Republican,house,CO,3.0,Michael Strang,"[""Michael Strang""]",[],False
W000038,Waldon,Alton,,,Democrat,house,NY,6.0,Alton Waldon,"[""Alton Waldon""]",[],False
W000227,Weaver,James,,,Democrat,house,OR,4.0,James Weaver,"[""James Weaver""]",[],False
W000406,Whitehurst,George,,,Republican,house,VA,2.0,George Whitehurst,"[""George Whitehurst""]",[],False
W000419,Whitley,Charles,,,Democrat,house,NC,3.0,Charles Whitley,"[""Charles Whitley""]",[],False
Y000051,Young,Robert,,,Democrat,house,MO,2.0,Robert Young,"[""Robert Young""]",[],False
Z000014,Zschau,Edwin,,,Republican,house,CA,12.0,Edwin Zschau,"[""Edwin Zschau""]",[],False
S000055,Sanford,James,,,Democrat,senate,NC,,James Sanford,"[""James Sanford""]",[],False
B000966,Broyhill,James,,,Republican,senate,NC,,James Broyhill,"[""James Broyhill""]",[],False
A000031,Adams,Brockman,,Brock,Democrat,senate,WA,,Brockman Adams,"[""Brock Adams"", ""Brockman Adams""]",[],False
B000024,Badham,Robert,,,Republican,house,CA,40.0,Robert Badham,"[""Robert Badham""]",[],False
B000432,Biaggi,Mario,,,Democrat,house,NY,19.0,Mario Biaggi,"[""Mario Biaggi""]",[],False
B000600,Boland,Edward,,,Democrat,house,MA,2.0,Edward Boland,"[""Edward Boland""]",[],False
B000615,Boner,William,,,Democrat,house,TN,5.0,William Boner,"[""William Boner""]",[],False
B000620,Bonker,Don,,,Democrat,house,WA,3.0,Don Bonker,"[""Don Bonker""]",[],False
B000666,Boulter,Eldon,,,Republican,house,TX,13.0,Eldon Boulter,"[""Eldon Boulter""]",[],False
B001158,Burton,Sala,,,Democrat,house,CA,5.0,Sala Burton,"[""Sala Burton""]",[],False
