bioguide,name,nous,quiver,delta,no_ticker,ocr,verdict
C000174,Thomas R Carper,320,94,226,43,0,nous_plus
P000612,"David A Perdue , Jr",271,0,271,4,0,quiver_sans_donnee
T000278,Thomas H Tuberville,266,243,23,23,0,nous_plus
W000779,Ron L Wyden,44,30,14,14,0,nous_plus
C001047,Shelley M Capito,35,33,2,2,0,nous_plus
H000273,John W Hickenlooper,21,21,0,0,0,concordant
H000601,"William F Hagerty, IV",17,10,7,7,0,nous_plus
R000307,Pat Roberts,16,1,15,6,0,nous_plus
S001217,Rick Scott,15,0,15,15,0,quiver_sans_donnee
T000461,Patrick J Toomey,14,10,4,4,0,nous_plus
P000595,Gary C Peters,12,9,3,2,0,nous_plus
C001035,Susan M Collins,11,1,10,10,0,nous_plus
W000802,Sheldon Whitehouse,10,4,6,5,0,nous_plus
M000934,"Jerry Moran,",8,3,5,0,0,nous_plus
W000805,Mark R Warner,8,1,7,7,0,nous_plus
C001088,Christopher A Coons,6,0,6,6,0,quiver_sans_donnee
M000355,"A. Mitchell McConnell, Jr.",4,3,1,1,0,nous_plus
K000383,"Angus S King, Jr.",3,2,1,1,0,nous_plus
D000622,Ladda Tammy Duckworth,3,3,0,0,0,concordant
L000571,Cynthia M Lummis,2,2,0,0,0,concordant
B000575,Roy Blunt,2,1,1,0,0,nous_plus
K000377,Mark E Kelly,1,0,1,1,0,quiver_sans_donnee
P000603,Rand Paul,1,0,1,0,0,quiver_sans_donnee
R000605,Mike Rounds,1,0,1,1,0,quiver_sans_donnee
I000024,James M Inhofe,1,1,0,0,0,concordant
H001061,John Hoeven,1,0,1,1,0,quiver_sans_donnee
B001267,Michael F Bennet,1,0,1,1,0,quiver_sans_donnee
M001198,Roger W Marshall,1,3,-2,1,0,quiver_plus_a_verifier
S001203,Tina Smith,1,0,1,1,0,quiver_sans_donnee
R000608,Jacklyn S Rosen,1,1,0,0,0,concordant
S001198,Daniel S Sullivan,1,1,0,0,0,concordant
C001114,John Curtis,0,57,-57,0,0,quiver_seul
W000800,Peter Welch,0,17,-17,0,0,quiver_seul
B001299,James E Hon Banks,0,26,-26,0,0,quiver_seul
S001150,Adam B. Schiff,0,2,-2,0,0,quiver_seul
