field,agreement_pct,n_pairs,note
sense,84.4,823,désaccords = artefact merge option-vs-action même jour (cf. AUDIT_SENAT.md)
date_traded,98.0,406,appariement sur Quiver Traded = vraie date de trade
date_filed,0.0,406,Filed ≠ date de trade → ne pas apparier dessus
amount_bucket,82.5,823,Quiver Trade_Size_USD = borne basse exacte de la fourchette
