bioguide_id,nous,quiver,delta
A000148,3,2,1
A000372,23,23,0
A000379,9,6,3
B000668,1,1,0
B001291,12,12,0
B001292,8,0,8
B001323,1,0,1
B001325,62,4,58
B001327,4,0,4
C001055,9,9,0
C001068,14,6,8
C001103,1,0,1
C001123,684,665,19
C001129,2,0,2
D000032,33,18,15
D000399,12,12,0
D000617,23,0,23
D000624,5,3,2
D000626,1,1,0
D000628,2,0,2
E000296,6,5,1
F000110,22,20,2
F000450,5,5,0
F000468,11,11,0
F000472,3,1,2
F000483,3,2,1
G000583,94,91,3
G000591,4,4,0
H001072,4,4,0
H001082,25,20,5
H001094,1,1,0
J000289,1,1,0
J000298,1,1,0
J000305,2,2,0
J000309,40,38,2
J000310,63,63,0
K000375,16,0,16
K000376,12,2,10
K000398,34,30,4
L000397,2,0,2
L000560,17,17,0
L000566,3,3,0
L000590,1,1,0
L000595,255,228,27
M001136,4,2,2
M001204,5,5,0
M001217,63,36,27
M001218,20,13,7
M001222,13,8,5
M001227,1,1,0
M001232,175,175,0
M001234,40,5,35
M001236,31,31,0
M001239,9,9,0
M001245,7,4,3
N000189,19,18,1
P000048,11,11,0
P000197,17,20,-3
P000608,90,0,90
R000603,2,1,1
R000614,3,2,1
S000168,50,34,16
S000250,1,1,0
S001156,1,1,0
S001185,2,2,0
S001189,2,2,0
S001199,8,7,1
S001201,10,4,6
S001211,1,1,0
S001214,2,2,0
S001229,10,0,10
T000482,10,0,10
T000490,118,100,18
V000139,13,13,0
W000798,15,15,0
W000806,1,1,0
W000812,7,0,7
W000816,4,4,0
Y000067,1,1,0
