scope,metric,value
digital,common_members,71.0
digital,quiver_amendment_dups,1399.0
digital,ours_tickerizable,3651.0
digital,quiver,3656.0
digital,matched,3633.0
digital,only_quiver,23.0
digital,only_ours,18.0
digital,coverage_pct,99.4
ocr,common_members,2.0
ocr,quiver_amendment_dups,1399.0
ocr,ours_tickerizable,3687.0
ocr,quiver,4016.0
ocr,matched,2767.0
ocr,only_quiver,1249.0
ocr,only_ours,920.0
ocr,coverage_pct,68.9
both,common_members,73.0
both,quiver_amendment_dups,1399.0
both,ours_tickerizable,7338.0
both,quiver,7672.0
both,matched,6400.0
both,only_quiver,1272.0
both,only_ours,938.0
both,coverage_pct,83.4
