asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),426,11,151,670,1258,74.3
AB,10,0,0,8,18,100.0
CS,0,0,0,224,224,
Corporate Bond,0,0,0,12,12,
ET,1,0,0,0,1,100.0
Gov Security,0,0,6,274,280,0.0
HN,1,0,0,27,28,100.0
Mutual Fund,41,4,69,100,214,39.5
OL,0,0,0,5,5,
Option,107,0,5,0,112,95.5
Other,0,0,8,148,156,0.0
Other Investment,0,0,0,13,13,
PS,0,0,0,33,33,
Stock,7028,493,1668,425,9614,81.8
VA,0,0,0,20,20,
