bioguide_id,nous,quiver,delta
A000148,2,2,0
A000372,22,14,8
B000574,66,29,37
B000668,1,0,1
B000740,2,2,0
B001248,38,33,5
B001292,19,0,19
B001299,1,0,1
B001300,5,0,5
C001066,2,2,0
C001068,4,3,1
C001078,8,8,0
C001080,2,2,0
C001101,6,1,5
C001103,6,3,3
C001117,12,0,12
C001129,18,0,18
D000399,24,24,0
D000615,2,2,0
D000617,37,2,35
D000624,7,2,5
D000628,13,0,13
E000296,3,3,0
F000450,58,58,0
F000462,1,0,1
F000472,79,63,16
G000061,2,0,2
G000574,2,0,2
G000576,3,0,3
G000577,1,1,0
G000583,560,543,17
G000589,3,3,0
G000590,19,19,0
G000591,4,4,0
G000596,156,132,24
H001072,2,2,0
H001082,80,57,23
I000056,19,0,19
J000295,13,11,2
J000307,265,266,-1
J000309,41,41,0
K000375,51,20,31
K000376,29,10,19
K000398,35,24,11
L000560,10,10,0
L000562,9,2,7
L000566,5,5,0
L000585,1,1,0
L000590,1,1,0
L000597,10,9,1
L000601,113,108,5
M000871,1,0,1
M001135,199,81,118
M001163,2,0,2
M001199,3,2,1
M001204,7,1,6
M001205,11,6,5
M001212,1,0,1
M001213,39,17,22
M001217,238,169,69
M001220,20,16,4
M001222,16,11,5
M001223,1,0,1
N000147,7,0,7
N000189,31,29,2
P000197,10,8,2
P000597,7,0,7
P000607,2,0,2
P000608,52,0,52
P000616,3,0,3
R000305,1,1,0
R000606,1,1,0
R000614,8,8,0
S000168,13,8,5
S000250,21,15,6
S000929,5,3,2
S001172,1,0,1
S001201,9,9,0
S001207,2,2,0
S001209,2,1,1
S001214,2,2,0
T000483,28,1,27
T000488,25,12,13
W000797,9,9,0
W000806,1,0,1
W000816,17,16,1
W000828,3,0,3
Y000067,13,11,2
