cluster,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
A_tape_droit,351,26,63,200,640,85.7
B_tape_tourne,3237,866,527,976,5606,88.6
C_manuscrit,0,0,20,11,31,0.0
