field,agreement_pct,n_pairs,note
sense,95.7,1550,désaccords = artefact merge option-vs-action même jour (cf. AUDIT_SENAT.md)
date_traded,99.4,1259,appariement sur Quiver Traded = vraie date de trade
date_filed,0.5,1259,Filed ≠ date de trade → ne pas apparier dessus
amount_bucket,93.2,1550,Quiver Trade_Size_USD = borne basse exacte de la fourchette
