bioguide_id,nous,quiver,delta
A000055,1,1,0
A000148,4,4,0
A000372,28,15,13
B000668,2,2,0
B001292,12,0,12
B001325,195,78,117
B001327,638,570,68
C001055,1,1,0
C001068,6,2,4
C001078,5,5,0
C001080,2,2,0
C001101,6,1,5
C001103,4,0,4
C001108,41,35,6
C001123,694,655,39
C001129,18,0,18
D000032,118,63,55
D000399,17,17,0
D000616,2,2,0
D000617,81,0,81
D000624,12,8,4
D000628,4,0,4
E000296,23,23,0
F000110,201,139,62
F000450,36,35,1
F000472,85,63,22
F000483,3,3,0
G000583,434,423,11
G000590,14,6,8
G000591,1,1,0
G000596,282,241,41
G000597,1,1,0
G000599,1,1,0
G000603,23,3,20
H001072,15,14,1
H001082,32,21,11
H001094,388,388,0
I000056,1,0,1
J000295,1,0,1
J000309,68,67,1
J000310,440,437,3
K000375,22,11,11
K000376,18,3,15
K000398,60,59,1
K000403,1,1,0
K000405,3,3,0
L000560,16,16,0
L000566,5,5,0
L000590,18,17,1
L000597,6,4,2
L000601,56,49,7
M001135,10,0,10
M001196,1,0,1
M001204,11,11,0
M001205,14,14,0
M001217,104,57,47
M001218,62,63,-1
M001222,20,16,4
M001232,142,141,1
M001234,78,23,55
M001236,199,168,31
M001239,5,5,0
M001241,2,2,0
N000147,2,0,2
N000188,1,1,0
N000189,69,64,5
P000048,6,5,1
P000197,12,11,1
P000597,8,0,8
P000608,55,0,55
R000579,1,0,1
R000610,6,6,0
R000612,12,12,0
R000621,11,11,0
S000250,5,2,3
S000510,18,7,11
S000929,2,2,0
S001185,2,2,0
S001189,17,17,0
S001190,3,0,3
S001201,14,5,9
S001207,1,1,0
S001212,1,1,0
S001214,2,2,0
S001229,622,558,64
T000486,156,123,33
T000488,1,1,0
T000490,75,58,17
W000797,12,11,1
W000816,1,0,1
W000821,208,208,0
W000823,2,0,2
W000830,35,35,0
Y000067,4,4,0
