asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),199,13,44,452,708,82.8
AB,4,0,0,0,4,100.0
CS,0,0,0,59,59,
CT,4,0,0,28,32,100.0
Corporate Bond,0,0,0,3,3,
ET,5,0,0,0,5,100.0
Gov Security,0,0,4,483,487,0.0
HN,4,0,0,37,41,100.0
Mutual Fund,21,4,109,92,226,18.7
OL,0,0,0,2,2,
Option,27,0,0,0,27,100.0
Other,47,14,5,189,255,92.4
Other Investment,0,0,0,21,21,
PS,0,0,0,10,10,
RS,0,0,0,1,1,
Stock,10511,571,394,285,11761,96.6
VA,0,0,0,2,2,
