bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2018-12-20,2018-12-30,FB,"Facebook, Inc. - Class A",Stock,Sale,$659,659.0,False,SP,20010913,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010913.pdf,96022c73a66230fde99673799bf15bd3d0a63d84270d037f0b81c6c18fe656d2,0
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2018-12-14,2018-12-30,CI,Cigna Corporation,Stock,Purchase,"$1,001 - $15,000",8000.5,False,SP,20010912,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010912.pdf,c05d667594db911482ef3f0a28f2723735027cdcd2c36789ab13de9236053b26,0
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2018-12-04,2018-12-30,APD,"Air Products and Chemicals, Inc.",Stock,Purchase,"$1,001 - $15,000",8000.5,False,SP,20010911,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010911.pdf,af6dd43c16112dff425602de8c17dfbf876d16515ca4c633868d554c1cc14082,0
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2018-12-20,2018-12-30,ZAYO,"Zayo group Holdings, Inc.",Stock,Sale,"$1,001 - $15,000",8000.5,False,SP,20010911,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010911.pdf,37481ab4372c8d953a839e003ae564e13ec0b19cb7f4f08d855155ffa359ff4c,0
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-11-30,2018-12-29,BL,"BlackLine, Inc.",Stock,Purchase,"$100,001",100001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,f2f1f9f84b2e8e80fc85e1e6199c53f06d401029369bda3706480b835d78c65a,0
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-12-12,2018-12-29,BBAVY,"BBA Aviation Plc Unsponsored AdR   $50,000",Stock,Sale,"$15,001",15001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,6d3f10df187b429dea66d68eb6be1fa0d9fdf7c645c884235e1ea5e198cf26b0,0
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-11-30,2018-12-29,TWOU,"2U, Inc.",Stock,Purchase,"$500,001",500001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,4770107886c5c0541b0bd4faf74a3eb130b099601f613e0a74bb3bf650a885d1,0
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-12-07,2018-12-29,AIQUY,"L'Air Liquide Ord American depositary Shares   $250,000",Stock,Sale (Partial),"$100,001",100001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,caee638d81756bd72b3af93675b2eec7f36dee63a7764fb961c277b5b19636f0,0
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-11-29,2018-12-29,,"Lewis and Clark County M B/E B/Q  $1,000,000",Gov Security,Purchase,"$500,001",500001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,dca814def288a2dd4fe795db6132775a62f19e08d4b5e5924ac024c179a45886,0
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-11-29,2018-12-29,,"Lewis and Clark County M B/E B/Q  $1,000,000",Gov Security,Purchase,"$500,001",500001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,dca814def288a2dd4fe795db6132775a62f19e08d4b5e5924ac024c179a45886,1
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-11-29,2018-12-29,,"Lewis and Clark County M B/E B/Q  $500,000",Gov Security,Purchase,"$250,001",250001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,ec1b3dce85931c9c5a5f239ba77620200300aef6241c7d6c7d69464250a08d9f,0
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-12-07,2018-12-29,LIN,"Linde plc Ordinary Share   $250,000",Stock,Purchase,"$100,001",100001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,8dbeed30888bc0c6be049696072cc1264411ae0bf3a1b975fdc39f1ac8faca7d,0
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-12-11,2018-12-29,WTW,"Weight Watchers International Inc   $250,000",Stock,Purchase,"$100,001",100001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,909ce885d236e88a5242e0e6fbb59af904b512670713c8d034fcfd500c670467,0
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-12-07,2018-12-29,CSLLY,"Csl Ltd SPONSOREd AdR   $250,000",Stock,Sale,"$100,001",100001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,d215de0a8f0072d1c0f2899945f50903a1d6be3aae539e2de3cbb44db9d1df3a,0
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-12-07,2018-12-29,FMX,"Fomento Economico Mexicano S.A.B. de C.V.   $250,000",Stock,Purchase,"$100,001",100001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,2790ac90a43fe2efad6bd1dc27a252dcb96f7486ca58611837d8375988754d2d,0
B001260,Vern Buchanan,house,Republican,FL16,HSWM02; HSWM04; House Committee on Ways and Means; Joint Committee on Taxation,False,2018-11-15,2018-12-28,,"Washington DC Met area 5.0% 7/01/24  $250,000",Gov Security,Purchase,"$100,001",100001.0,False,SELF,20010905,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010905.pdf,c5f945d1671ab5481f264bac87f3ef6b0a2b4366bf1a95c8a32fbd00271465c5,0
