scope,field,agreement_pct,n_pairs
digital,sense,99.5,2816
digital,date_traded,99.7,2572
digital,date_filed,1.1,2572
digital,amount_bucket,94.5,2816
ocr,sense,94.4,5416
ocr,date_traded,69.4,5668
ocr,date_filed,0.7,5668
ocr,amount_bucket,95.2,5416
both,sense,96.1,8232
both,date_traded,81.6,7955
both,date_filed,0.9,7955
both,amount_bucket,95.0,8232
