bioguide_id,name,docs,n_ocr,n_quiver,delta,verdict
K000389,Rohit Khanna,11,4070,2970,1100,ocr>=quiver
M001157,Michael T. McCaul,11,1938,1328,610,ocr>=quiver
D000032,Byron Donalds,1,192,142,50,ocr>=quiver
F000459,"Charles J. ""Chuck"" Fleischmann",4,51,19,32,ocr>=quiver
L000564,Doug Lamborn,7,27,2,25,ocr>=quiver
R000395,Harold Dallas Rogers,2,7,1,6,ocr>=quiver
W000829,Tony Wied,1,2,0,2,quiver_sans_donnee
L000596,Anna Paulina Luna,1,1,0,1,quiver_sans_donnee
