scope,field,agreement_pct,n_pairs
digital,sense,95.2,7154
digital,date_traded,99.2,6534
digital,date_filed,1.6,6534
digital,amount_bucket,98.6,7154
ocr,sense,91.5,4386
ocr,date_traded,61.2,5631
ocr,date_filed,1.1,5631
ocr,amount_bucket,98.5,4386
both,sense,93.8,11540
both,date_traded,91.3,10773
both,date_filed,1.5,10773
both,amount_bucket,98.6,11540
