asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),3020,57,653,2096,5826,82.5
Corporate Bond,0,0,1,18,19,0.0
Gov Security,0,0,0,39,39,
Mutual Fund,2,0,97,73,172,2.0
Stock,165,375,2711,305,3556,16.6
