scope,metric,value
digital,common_members,59.0
digital,quiver_amendment_dups,896.0
digital,ours_tickerizable,2646.0
digital,quiver,2633.0
digital,matched,2610.0
digital,only_quiver,23.0
digital,only_ours,36.0
digital,coverage_pct,99.1
ocr,common_members,7.0
ocr,quiver_amendment_dups,896.0
ocr,ours_tickerizable,667.0
ocr,quiver,1104.0
ocr,matched,109.0
ocr,only_quiver,995.0
ocr,only_ours,558.0
ocr,coverage_pct,9.9
both,common_members,60.0
both,quiver_amendment_dups,896.0
both,ours_tickerizable,3310.0
both,quiver,3667.0
both,matched,2716.0
both,only_quiver,951.0
both,only_ours,594.0
both,coverage_pct,74.1
