scope,field,agreement_pct,n_pairs
digital,sense,99.7,2996
digital,date_traded,99.1,2633
digital,date_filed,1.5,2633
digital,amount_bucket,95.5,2996
ocr,sense,88.5,226
ocr,date_traded,9.9,1104
ocr,date_filed,0.3,1104
ocr,amount_bucket,76.1,226
both,sense,98.9,3222
both,date_traded,74.1,3667
both,date_filed,1.1,3667
both,amount_bucket,94.1,3222
