BioGuideID,Name,ticker,traded,Transaction
Y000062,John A. Yarmuth,ACN,2016-07-31,Purchase
B001269,Lou Barletta,TDIV,2015-12-28,Sale
B001269,Lou Barletta,RDIV,2015-12-28,Sale
B001269,Lou Barletta,DIA,2015-12-28,Purchase
D000617,Suzan K. Delbene,MIXT,2015-11-25,Sale
M001193,Thomas Macarthur,AXL,2015-11-25,Purchase
W000413,Ed Whitfield,MSG,2015-11-24,Sale
D000617,Suzan K. Delbene,MIXT,2015-11-24,Sale
W000413,Ed Whitfield,MSG,2015-11-24,Purchase
G000563,Bob Gibbs,BUD,2015-11-23,Purchase
M001193,Thomas Macarthur,ACN,2015-11-20,Purchase
M001193,Thomas Macarthur,ACN,2015-11-20,Purchase
M001193,Thomas Macarthur,ACN,2015-11-20,Purchase
C001062,K. Michael Conaway,VZ,2015-11-20,Sale
C001062,K. Michael Conaway,CVS,2015-11-19,Sale
T000475,David A. Trott,VLP,2015-11-19,Purchase
M001193,Thomas Macarthur,TOO,2015-11-18,Sale
M001193,Thomas Macarthur,SMLP,2015-11-18,Sale
C001101,Katherine M. Clark,PKG,2015-11-18,Sale
C001101,Katherine M. Clark,MRK,2015-11-18,Sale
M001193,Thomas Macarthur,PAGP,2015-11-18,Purchase
D000617,Suzan K. Delbene,MIXT,2015-11-17,Sale
S000583,Lamar Smith,PRGO,2015-11-17,Purchase
S000583,Lamar Smith,PRGO,2015-11-17,Purchase
D000617,Suzan K. Delbene,B1WSP14,2015-11-17,Purchase
C001062,K. Michael Conaway,RDS.A,2015-11-13,Purchase
C001062,K. Michael Conaway,IBM,2015-11-13,Purchase
C001062,K. Michael Conaway,AAPL,2015-11-13,Sale
L000579,Alan S. Lowenthal,BIDU,2015-11-12,Purchase
T000475,David A. Trott,AM,2015-11-11,Purchase
F000462,Lois Frankel,CVS,2015-11-11,Sale
D000617,Suzan K. Delbene,MIXT,2015-11-11,Sale
M001193,Thomas Macarthur,AEL,2015-11-10,Purchase
