asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),2128,136,1123,2147,5534,66.8
Corporate Bond,0,0,0,21,21,
Gov Security,0,0,1,35,36,0.0
Mutual Fund,2,4,107,117,230,5.3
Stock,645,902,3106,623,5276,33.2
