scope,field,agreement_pct,n_pairs
digital,sense,99.8,2016
digital,date_traded,65.8,2631
digital,date_filed,1.0,2631
digital,amount_bucket,94.9,2016
ocr,sense,88.2,865
ocr,date_traded,35.6,1108
ocr,date_filed,0.9,1108
ocr,amount_bucket,79.9,865
both,sense,96.3,2881
both,date_traded,58.0,3665
both,date_filed,1.0,3665
both,amount_bucket,90.4,2881
