bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
C001035,Susan M Collins,179,178,178,1,0,
W000802,Sheldon Whitehouse,88,78,78,10,0,
C000174,Thomas R Carper,27,10,10,17,0,
R000307,Pat Roberts,14,14,14,0,0,
R000122,John F Reed,25,16,16,9,0,
H001061,John Hoeven,21,19,19,2,0,
T000461,Patrick J Toomey,17,17,17,0,0,
B001288,Cory A Booker,10,10,10,0,0,
C000141,Benjamin L Cardin,3,3,3,0,0,
K000383,"Angus S King, Jr.",5,5,5,0,0,
C000127,Maria Cantwell,1,1,1,0,0,
C001098,Rafael E Cruz,2,2,2,0,0,
B000575,Roy Blunt,1,1,1,0,0,
