asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),517,28,51,126,722,91.4
Corporate Bond,0,0,0,2,2,
Other,0,0,1,39,40,0.0
Stock,0,17,86,25,128,16.5
