scope,metric,value
digital,common_senators,13.0
digital,quiver_amendment_dups,128.0
digital,ours_tickerizable,496.0
digital,quiver,496.0
digital,matched,496.0
digital,only_quiver,0.0
digital,only_ours,0.0
digital,coverage_pct,100.0
ocr,common_senators,7.0
ocr,quiver_amendment_dups,128.0
ocr,ours_tickerizable,19.0
ocr,quiver,450.0
ocr,matched,0.0
ocr,only_quiver,450.0
ocr,only_ours,19.0
ocr,coverage_pct,0.0
both,common_senators,13.0
both,quiver_amendment_dups,128.0
both,ours_tickerizable,610.0
both,quiver,496.0
both,matched,496.0
both,only_quiver,0.0
both,only_ours,114.0
both,coverage_pct,100.0
