asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),18,18,140,15,191,20.5
Corporate Bond,0,0,8,45,53,0.0
Municipal Security,0,0,0,50,50,
Non-Public Stock,0,0,0,6,6,
Other,1,0,3,61,65,25.0
Stock,649,141,430,13,1233,64.8
