BioGuideID,Name,ticker,traded,Transaction
P000197,Nancy Pelosi,INTC,2026-05-29,Purchase
P000197,Nancy Pelosi,UBER,2026-05-29,Purchase
A000372,Richard W. Allen,91282CNG2,2026-05-19,Purchase
M001222,Max Miller,GLAS FUNDS,2026-05-15,Purchase
A000372,Richard W. Allen,91282CJR3,2026-04-16,Sale
A000372,Richard W. Allen,91282CJP7,2026-04-16,Sale
G000583,Josh Gottheimer,IFNNY,2026-04-13,Purchase
M001222,Max Miller,GLA,2026-04-10,Purchase
S001214,Greg Steube,571903BM4,2026-04-08,Purchase
Y000067,Rudy C. Yakym Iii,"3.MONTH, MATURE",2026-04-06,Purchase
M001222,Max Miller,"GLAS FUNDS, LP",2026-04-02,Purchase
L000560,Rick Larsen,WIDELY HELD,2026-03-31,Exchange
A000372,Richard W. Allen,91282CGJ4,2026-03-24,Purchase
M001222,Max Miller,GLAS FUNDS,2026-03-13,Purchase
M001222,Max Miller,GLAS FUNDS,2026-03-13,Purchase
M001222,Max Miller,GLA,2026-03-03,Purchase
M001222,Max Miller,GLA,2026-03-03,Purchase
M001222,Max Miller,GLAS FUNDS LP,2026-02-27,Purchase
M001222,Max Miller,"GLAS FUNDS, LP",2026-02-27,Sale
M001245,Christian D. Menefee,RSUS,2026-02-23,Sale
A000372,Richard W. Allen,91282CLC3,2026-02-18,Purchase
M001234,Kelly Louise Morrison,DBA AXIOM MATH,2026-02-11,Purchase
A000372,Richard W. Allen,91282CGH8,2026-01-26,Purchase
P000197,Nancy Pelosi,TEM,2026-01-16,Purchase
D000032,Byron Donalds,CRYPTO:BTC,2026-01-08,Purchase
M001222,Max Miller,GLAS FUNDS,2026-01-07,Purchase
B001325,Sheri Biggs,ICAPITAL,2025-12-26,Purchase
