bioguide,ticker,date,sense
A000372,91282CGH8,2026-01-26,Purchase
A000372,91282CGJ4,2026-03-24,Purchase
A000372,91282CJP7,2026-04-16,Sale
A000372,91282CJR3,2026-04-16,Sale
A000372,91282CLC3,2026-02-18,Purchase
A000372,91282CNG2,2026-05-19,Purchase
B001325,ICAPITAL,2025-12-26,Purchase
D000032,CRYPTO:BTC,2026-01-08,Purchase
G000583,IFNNY,2026-04-13,Purchase
L000560,WIDELY HELD,2026-03-31,Exchange
M001222,GLA,2026-03-03,Purchase
M001222,GLA,2026-04-10,Purchase
M001222,GLAS FUNDS,2026-01-07,Purchase
M001222,GLAS FUNDS,2026-03-13,Purchase
M001222,GLAS FUNDS,2026-05-15,Purchase
M001222,GLAS FUNDS LP,2026-02-27,Purchase
M001222,"GLAS FUNDS, LP",2026-02-27,Sale
M001222,"GLAS FUNDS, LP",2026-04-02,Purchase
M001234,DBA AXIOM MATH,2026-02-11,Purchase
M001245,RSUS,2026-02-23,Sale
P000197,INTC,2026-05-29,Purchase
P000197,TEM,2026-01-16,Purchase
P000197,UBER,2026-05-29,Purchase
S001214,571903BM4,2026-04-08,Purchase
Y000067,"3_MONTH, MATURE",2026-04-06,Purchase
