asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),75,7,18,208,308,82.0
AB,1,0,0,0,1,100.0
CS,0,0,0,35,35,
CT,1,0,0,4,5,100.0
Gov Security,0,0,0,289,289,
HN,0,0,0,18,18,
Mutual Fund,13,0,47,44,104,21.7
OL,0,0,0,2,2,
Option,10,0,0,0,10,100.0
Other,5,0,1,53,59,83.3
Other Investment,1,0,0,30,31,100.0
PS,2,0,0,5,7,100.0
RS,1,1,0,0,2,100.0
Stock,4315,380,323,195,5213,93.6
VA,0,0,0,6,6,
