scope,metric,value
digital,common_members,66.0
digital,quiver_amendment_dups,253.0
digital,ours_tickerizable,1822.0
digital,quiver,1841.0
digital,matched,1816.0
digital,only_quiver,25.0
digital,only_ours,6.0
digital,coverage_pct,98.6
ocr,common_members,5.0
ocr,quiver_amendment_dups,253.0
ocr,ours_tickerizable,3161.0
ocr,quiver,2833.0
ocr,matched,2417.0
ocr,only_quiver,416.0
ocr,only_ours,744.0
ocr,coverage_pct,85.3
both,common_members,71.0
both,quiver_amendment_dups,253.0
both,ours_tickerizable,4983.0
both,quiver,4674.0
both,matched,4233.0
both,only_quiver,441.0
both,only_ours,750.0
both,coverage_pct,90.6
