bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,ticker_source,provenance
B001257,Gus M. Bilirakis,house,Republican,FL12,HSIF14; HSIF16; HSIF17; House Committee on Energy and Commerce; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,False,2020-12-08,2020-12-09,,DC General Electric,,Sale,"$1,001 - $15,000",8000.0,False,Dependent Child,8217762,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217762.pdf,46bde16cd31ca27f03e7c0e25bc5d5374d602598cfee41fc179df807098fa590,none,house-pdf-ocr
B001257,Gus M. Bilirakis,house,Republican,FL12,HSIF14; HSIF16; HSIF17; House Committee on Energy and Commerce; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,False,2020-02-06,2020-08-20,,FORD,,Sale,"$1,001 - $15,000",8000.0,False,SELF,8217571,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217571.pdf,09404076762d7059e1d435e6f228367337848a313db693ebf1bdebceda42f393,none,house-pdf-ocr
B001257,Gus M. Bilirakis,house,Republican,FL12,HSIF14; HSIF16; HSIF17; House Committee on Energy and Commerce; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,False,2020-07-24,2020-08-20,RF,REGIONS FINANCIAL CORP,Stock,Sale,"$1,001 - $15,000",8000.0,False,SELF,8217571,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217571.pdf,839d4e6abd495951e781c05f87b1481f9537655a8af060ad5991347b96cf6752,elec_dict,house-pdf-ocr
B001257,Gus M. Bilirakis,house,Republican,FL12,HSIF14; HSIF16; HSIF17; House Committee on Energy and Commerce; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,False,2020-07-24,2020-08-20,RF,REGIONS FINANCIAL CORP,Stock,Sale,"$15,001 - $50,000",32500.0,False,SELF,8217571,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217571.pdf,fb1ac8971a6f5dcd14f5efe83fb93d6664c8462fc8270859386fbcb6db622ccb,elec_dict,house-pdf-ocr
C001049,Wm. Lacy Clay,house,Democrat,MO01,,False,2020-02-21,2020-08-10,,Conoco Phillips,,Sale,"$1,001 - $15,000",8000.0,False,SELF,8217474,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217474.pdf,ba4bb27170be786008625c20aeb822e4f1921fd4d9432b584a8c5d23c88c03fe,none,house-pdf-ocr
C001049,Wm. Lacy Clay,house,Democrat,MO01,,False,2020-02-21,2020-08-10,,Phillip Morris Intl,,Sale,"$15,001 - $50,000",32500.0,False,SELF,8217474,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217474.pdf,0af25cfc2363ddf2553bcbe2b187736ac5436afd1da9eb31b533576361d3bd75,none,house-pdf-ocr
C001108,James Comer,house,Republican,KY01,HSED02; HSED10; House Committee on Education and Workforce; House Committee on Oversight and Government Reform,False,2020-01-14,2020-02-05,,Stock Technologies,,Purchase,"$1,001 - $15,000",8000.0,False,SELF,8216957,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8216957.pdf,d7010f28f58edfd4c543e4dccb8b16c0b7157d6dca0d243362bb0089da7082db,none,house-pdf-ocr
C001108,James Comer,house,Republican,KY01,HSED02; HSED10; House Committee on Education and Workforce; House Committee on Oversight and Government Reform,False,2020-04-09,2020-02-05,BAC,Bank of America,,Sale,"$15,001 - $50,000",32500.0,False,SELF,8216957,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8216957.pdf,00171f23f1f7689f185a46fff785d15bac82d26200ca5dfd325e54e09616c123,elec_dict,house-pdf-ocr
C001108,James Comer,house,Republican,KY01,HSED02; HSED10; House Committee on Education and Workforce; House Committee on Oversight and Government Reform,False,2020-02-21,2020-03-25,,Bancorp Inc,Stock,Purchase,"$1,001 - $15,000",8000.0,False,SELF,8217113,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217113.pdf,600c93086040f0c90a2f7f5f76dcadcd2a6208ece260094effe40481d1d6a396,none,house-pdf-ocr
C001108,James Comer,house,Republican,KY01,HSED02; HSED10; House Committee on Education and Workforce; House Committee on Oversight and Government Reform,False,2020-02-21,2020-03-25,,Community Trust,Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,SELF,8217113,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217113.pdf,76201561ea0228b8212f936f286e7afd40b38389f6bbed428c61f76611e83974,none,house-pdf-ocr
C001108,James Comer,house,Republican,KY01,HSED02; HSED10; House Committee on Education and Workforce; House Committee on Oversight and Government Reform,False,2020-02-21,2020-03-25,WLK,Westlake Chemical Corporation,Stock,Purchase,"$1,001 - $15,000",8000.0,False,SELF,8217113,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217113.pdf,3b905da9fdbf56fcbd7f749b8d7a4a5e970fc2a3a724ebba48b7c80a6492be49,elec_dict,house-pdf-ocr
C001108,James Comer,house,Republican,KY01,HSED02; HSED10; House Committee on Education and Workforce; House Committee on Oversight and Government Reform,False,2020-02-24,2020-03-25,AAPL,Apple,,Purchase,"$15,001 - $50,000",32500.0,False,SELF,8217113,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217113.pdf,d9533e447ff96b1714031f5f76d302bf006cfa5e27f4edf9a4d587a41f71092b,elec_dict,house-pdf-ocr
C001108,James Comer,house,Republican,KY01,HSED02; HSED10; House Committee on Education and Workforce; House Committee on Oversight and Government Reform,False,2020-02-25,2020-03-25,BAC,Bank of America,,Purchase,"$1,001 - $15,000",8000.0,False,SELF,8217113,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217113.pdf,70401c9eb267aae41351cb48c6053c89c6a239905faef9784a2782742f436c78,elec_dict,house-pdf-ocr
C001108,James Comer,house,Republican,KY01,HSED02; HSED10; House Committee on Education and Workforce; House Committee on Oversight and Government Reform,False,2020-02-25,2020-03-25,RBCAA,Republic Bancorp Inc.,Stock,Purchase,"$1,001 - $15,000",8000.0,False,SELF,8217113,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217113.pdf,47f737081a2aabb1e90ed08ad4213b5ca4ce3349d7e393372604d045ec1bf7be,elec_dict,house-pdf-ocr
C001108,James Comer,house,Republican,KY01,HSED02; HSED10; House Committee on Education and Workforce; House Committee on Oversight and Government Reform,False,2020-03-18,2020-03-25,AAPL,Apple,,Purchase,"$1,001 - $15,000",8000.0,False,SELF,8217113,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217113.pdf,b4f8600bd63b7530b7797bb329f16a3cf18537293f300e56011f50922b6e6b2c,elec_dict,house-pdf-ocr
