asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),1935,4,377,1835,4151,83.7
Corporate Bond,0,0,0,20,20,
Gov Security,0,1,8,31,40,11.1
Mutual Fund,0,0,71,73,144,0.0
Stock,156,16,1329,116,1617,11.5
