bioguide_id,name,docs,n_ocr,n_quiver,delta,verdict
M001157,Michael T. McCaul,11,3435,3361,74,ocr>=quiver
R000586,James B. Renacci,23,906,0,906,quiver_sans_donnee
S001180,Kurt Schrader,11,287,0,287,quiver_sans_donnee
M001158,Kenny Marchant,12,194,0,194,quiver_sans_donnee
D000620,John K. Delaney,23,178,0,178,quiver_sans_donnee
K000376,Mike Kelly,9,143,0,143,quiver_sans_donnee
R000582,David P. Roe,10,128,0,128,quiver_sans_donnee
P000591,Tom Price,5,108,0,108,quiver_sans_donnee
L000576,Billy Long,6,105,0,105,quiver_sans_donnee
P000598,Jared Polis,12,99,0,99,quiver_sans_donnee
S001189,Austin Scott,5,93,0,93,quiver_sans_donnee
W000800,Peter Welch,10,70,0,70,quiver_sans_donnee
C001080,Judy Chu,3,66,0,66,quiver_sans_donnee
B001273,Diane Black,10,58,0,58,quiver_sans_donnee
R000395,Harold Dallas Rogers,11,51,0,51,quiver_sans_donnee
L000564,Doug Lamborn,8,46,0,46,quiver_sans_donnee
F000459,"Charles J. ""Chuck"" Fleischmann",9,41,0,41,quiver_sans_donnee
S001150,Adam B. Schiff,9,34,0,34,quiver_sans_donnee
B001271,Dan Benishek,1,31,0,31,quiver_sans_donnee
U000031,Fred Upton,9,29,0,29,quiver_sans_donnee
L000557,John B. Larson,12,28,0,28,quiver_sans_donnee
F000372,Rodney P. Frelinghuysen,14,22,0,22,quiver_sans_donnee
C001102,Curtis J. Clawson,10,22,0,22,quiver_sans_donnee
S000250,Pete Sessions,4,17,66,-49,ocr_souscompte
K000379,Joseph P. Kennedy,6,14,0,14,quiver_sans_donnee
B001291,Brian Babin,1,9,3,6,ocr>=quiver
T000468,Dina Titus,4,8,0,8,quiver_sans_donnee
H001065,George Holding,3,8,0,8,quiver_sans_donnee
C001092,Chris Collins,8,8,0,8,quiver_sans_donnee
S001187,Steve Stivers,3,7,0,7,quiver_sans_donnee
W000812,Ann Wagner,5,7,0,7,quiver_sans_donnee
G000556,Alan Grayson,2,6,0,6,quiver_sans_donnee
V000128,Chris Van Hollen,2,6,0,6,quiver_sans_donnee
J000295,David P. Joyce,2,4,0,4,quiver_sans_donnee
M001187,Mark R Meadows,2,3,2,1,ocr>=quiver
D000613,Robert James Dold,2,3,0,3,quiver_sans_donnee
D000604,Charles W. Dent,2,3,0,3,quiver_sans_donnee
T000473,Kyle Mark Takai,1,2,0,2,quiver_sans_donnee
B001257,Gus M. Bilirakis,2,2,0,2,quiver_sans_donnee
D000533,John J. Duncan,2,2,0,2,quiver_sans_donnee
L000567,Leonard Lance,1,2,0,2,quiver_sans_donnee
S000244,F. James Sensenbrenner,1,1,0,1,quiver_sans_donnee
M000404,Jim McDermott,1,1,4,-3,concordant
J000296,David W. Jolly,1,1,0,1,quiver_sans_donnee
T000470,Scott R. Tipton,1,1,0,1,quiver_sans_donnee
G000560,John Thomas Graves,1,1,3,-2,concordant
G000289,Bob Goodlatte,1,1,0,1,quiver_sans_donnee
C001045,Ander Crenshaw,1,1,0,1,quiver_sans_donnee
