BioGuideID,Name,ticker,traded,Transaction
F000462,Lois Frankel,FIS,2016-12-14,Purchase
F000462,Lois Frankel,CTSH,2016-12-14,Sale
B001274,Mo Brooks,ISDR,2016-12-14,Sale
B001274,Mo Brooks,ISDR,2016-12-13,Sale
W000797,Debbie Wasserman Schultz,FTR,2016-12-12,Purchase
C001105,Barbara J. Comstock,IXYS,2016-12-12,Sale
C001105,Barbara J. Comstock,NWS,2016-12-12,Sale
C001105,Barbara J. Comstock,SIRI,2016-12-12,Sale
C001105,Barbara J. Comstock,AAPL,2016-12-12,Sale
W000797,Debbie Wasserman Schultz,MPW,2016-12-12,Purchase
W000797,Debbie Wasserman Schultz,CMTL,2016-12-08,Sale
F000462,Lois Frankel,VZ,2016-12-07,Sale
F000462,Lois Frankel,DLPH,2016-12-07,Purchase
C001107,Carlos Curbelo,CSCO,2016-12-06,Sale
D000624,Debbie Dingell,UNH,2016-12-05,Purchase
D000624,Debbie Dingell,GOOG,2016-12-05,Purchase
R000589,E. Scott Rigell,XLF,2016-11-30,Purchase
F000461,Bill Flores,MA,2016-11-29,Sale
F000461,Bill Flores,MMM,2016-11-29,Sale
F000461,Bill Flores,XOM,2016-11-29,Sale
F000461,Bill Flores,COF,2016-11-29,Sale
F000461,Bill Flores,COH,2016-11-29,Sale
F000461,Bill Flores,MO,2016-11-29,Sale
F000461,Bill Flores,UPS,2016-11-29,Sale
M001193,Thomas Macarthur,XLP,2016-11-29,Purchase
F000461,Bill Flores,JNJ,2016-11-29,Sale
F000461,Bill Flores,LMT,2016-11-29,Sale
F000461,Bill Flores,MCD,2016-11-29,Sale
P000523,David E. Price,ETP,2016-11-29,Sale
F000461,Bill Flores,LYB,2016-11-29,Sale
F000461,Bill Flores,STX,2016-11-29,Sale
M001193,Thomas Macarthur,XLP,2016-11-29,Purchase
F000461,Bill Flores,EMR,2016-11-29,Sale
F000461,Bill Flores,CL,2016-11-29,Sale
F000461,Bill Flores,ADP,2016-11-29,Sale
F000461,Bill Flores,T,2016-11-29,Sale
F000461,Bill Flores,ACN,2016-11-29,Sale
F000461,Bill Flores,AAPL,2016-11-29,Sale
F000461,Bill Flores,PM,2016-11-29,Sale
F000461,Bill Flores,INTC,2016-11-29,Sale
F000461,Bill Flores,GIS,2016-11-29,Sale
F000461,Bill Flores,GILD,2016-11-29,Sale
F000461,Bill Flores,IBM,2016-11-29,Sale
F000461,Bill Flores,IYH,2016-11-29,Sale
F000461,Bill Flores,TJX,2016-11-29,Sale
F000461,Bill Flores,LLY,2016-11-29,Sale
F000461,Bill Flores,PEP,2016-11-29,Sale
M001193,Thomas Macarthur,XLP,2016-11-29,Purchase
M001193,Thomas Macarthur,LQD,2016-11-28,Sale
T000475,David A. Trott,CASH,2016-11-28,Purchase
F000450,Virginia Foxx,ARLP,2016-11-25,Purchase
R000589,E. Scott Rigell,GDXJ,2016-11-23,Sale
F000450,Virginia Foxx,SCHF,2016-11-23,Sale
F000462,Lois Frankel,NOC,2016-11-23,Sale
M001193,Thomas Macarthur,INFO,2016-11-21,Sale
F000461,Bill Flores,ETE,2016-11-18,Purchase
F000461,Bill Flores,TEGP,2016-11-18,Purchase
F000461,Bill Flores,ENLC,2016-11-18,Sale
F000461,Bill Flores,TRGP,2016-11-18,Sale
F000461,Bill Flores,WGP,2016-11-18,Sale
L000581,Brenda Lulenar Lawrence,MRO,2016-11-17,Sale
W000797,Debbie Wasserman Schultz,FTR,2016-11-17,Purchase
L000581,Brenda Lulenar Lawrence,JCP,2016-11-17,Sale
F000462,Lois Frankel,SYF,2016-11-16,Sale
F000462,Lois Frankel,TGT,2016-11-16,Sale
F000462,Lois Frankel,JPM,2016-11-16,Sale
F000462,Lois Frankel,NSRGY,2016-11-16,Purchase
M001193,Thomas Macarthur,ACN,2016-11-15,Purchase
D000624,Debbie Dingell,JCI,2016-11-14,Purchase
D000624,Debbie Dingell,GOOG,2016-11-14,Purchase
C001107,Carlos Curbelo,AN,2016-11-11,Sale
F000450,Virginia Foxx,ABT,2016-11-10,Sale
C001107,Carlos Curbelo,AN,2016-11-10,Sale
M001193,Thomas Macarthur,CRRFY,2016-11-09,Sale
M001193,Thomas Macarthur,CRRFY,2016-11-08,Sale
F000461,Bill Flores,LYB,2016-11-08,Purchase
F000450,Virginia Foxx,SPH,2016-11-08,Sale
F000461,Bill Flores,COF,2016-11-08,Purchase
