bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,sector_gics,etf_proxy,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index,provenance,date_confidence,ticker_source,sector_source,years_in_office
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2018-12-21,2018-12-30,RUN,Sunrun Inc.,Stock,Information Technology,XLK,Purchase,"$1,001 - $15,000",8000.5,False,SP,20010911,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010911.pdf,9cff6cf7f0b45cbe2dcaa474b9693f33711761c20082955a66878bcf569b2e27,0,house-pdf-electronic,,,yfinance,5
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2018-12-04,2018-12-30,APD,"Air Products and Chemicals, Inc.",Stock,Materials,XLB,Purchase,"$1,001 - $15,000",8000.5,False,SP,20010911,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010911.pdf,af6dd43c16112dff425602de8c17dfbf876d16515ca4c633868d554c1cc14082,0,house-pdf-electronic,,,yfinance,5
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2018-11-30,2018-12-30,NVS,2000045073 SP Novartis Ag,Stock,Health Care,XLV,Purchase,$909,909.0,False,SELF,20010910,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010910.pdf,9d553d3336d719faf781ed8a8307fca8c5816822766eb3b8aba6829a03140b4b,0,house-pdf-electronic,,,yfinance,5
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2018-12-20,2018-12-30,ZAYO,"Zayo group Holdings, Inc.",Stock,Communication Services,XLC,Sale,"$1,001 - $15,000",8000.5,False,SP,20010911,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010911.pdf,37481ab4372c8d953a839e003ae564e13ec0b19cb7f4f08d855155ffa359ff4c,0,house-pdf-electronic,,,llm,5
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2018-12-21,2018-12-30,RUN,Sunrun Inc.,Stock,Information Technology,XLK,Purchase,$149,149.0,False,SP,20010913,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010913.pdf,cecb105ba5a70f4daac6beaade83078c40746215a388402f11bacd6fb5ed5213,0,house-pdf-electronic,,,yfinance,5
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-12-11,2018-12-29,WTW,"Weight Watchers International Inc   $250,000",Stock,Financials,XLF,Purchase,"$100,001",100001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,909ce885d236e88a5242e0e6fbb59af904b512670713c8d034fcfd500c670467,0,house-pdf-electronic,,,yfinance,1
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-11-29,2018-12-29,,"Lewis and Clark County M B/E B/Q  $1,000,000",Gov Security,,,Purchase,"$500,001",500001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,dca814def288a2dd4fe795db6132775a62f19e08d4b5e5924ac024c179a45886,0,house-pdf-electronic,,,none,1
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-12-07,2018-12-29,AIQUY,"L'Air Liquide Ord American depositary Shares   $250,000",Stock,Materials,XLB,Sale (Partial),"$100,001",100001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,caee638d81756bd72b3af93675b2eec7f36dee63a7764fb961c277b5b19636f0,0,house-pdf-electronic,,,yfinance,1
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-12-07,2018-12-29,FMX,"Fomento Economico Mexicano S.A.B. de C.V.   $250,000",Stock,Consumer Staples,XLP,Purchase,"$100,001",100001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,2790ac90a43fe2efad6bd1dc27a252dcb96f7486ca58611837d8375988754d2d,0,house-pdf-electronic,,,yfinance,1
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-12-07,2018-12-29,LIN,"Linde plc Ordinary Share   $250,000",Stock,Materials,XLB,Purchase,"$100,001",100001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,8dbeed30888bc0c6be049696072cc1264411ae0bf3a1b975fdc39f1ac8faca7d,0,house-pdf-electronic,,,yfinance,1
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-11-29,2018-12-29,,"Lewis and Clark County M B/E B/Q  $500,000",Gov Security,,,Purchase,"$250,001",250001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,ec1b3dce85931c9c5a5f239ba77620200300aef6241c7d6c7d69464250a08d9f,0,house-pdf-electronic,,,none,1
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-11-29,2018-12-29,,"Lewis and Clark County M B/E B/Q  $1,000,000",Gov Security,,,Purchase,"$500,001",500001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,dca814def288a2dd4fe795db6132775a62f19e08d4b5e5924ac024c179a45886,1,house-pdf-electronic,,,none,1
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-12-07,2018-12-29,CSLLY,"Csl Ltd SPONSOREd AdR   $250,000",Stock,Health Care,XLV,Sale,"$100,001",100001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,d215de0a8f0072d1c0f2899945f50903a1d6be3aae539e2de3cbb44db9d1df3a,0,house-pdf-electronic,,,yfinance,1
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-11-30,2018-12-29,BL,"BlackLine, Inc.",Stock,Information Technology,XLK,Purchase,"$100,001",100001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,f2f1f9f84b2e8e80fc85e1e6199c53f06d401029369bda3706480b835d78c65a,0,house-pdf-electronic,,,yfinance,1
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-12-12,2018-12-29,BBAVY,"BBA Aviation Plc Unsponsored AdR   $50,000",Stock,Financials,XLF,Sale,"$15,001",15001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,6d3f10df187b429dea66d68eb6be1fa0d9fdf7c645c884235e1ea5e198cf26b0,0,house-pdf-electronic,,,llm,1
G000584,Greg Gianforte,house,Republican,MT00,,False,2018-11-30,2018-12-29,TWOU,"2U, Inc.",Stock,Consumer Discretionary,XLY,Purchase,"$500,001",500001.0,False,JT,20010839,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010839.pdf,4770107886c5c0541b0bd4faf74a3eb130b099601f613e0a74bb3bf650a885d1,0,house-pdf-electronic,,,llm,1
