asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),1083,41,604,1106,2834,65.0
CS,1,0,0,244,245,100.0
Corporate Bond,0,0,2,28,30,0.0
Gov Security,0,0,82,281,363,0.0
HN,0,0,0,8,8,
Mutual Fund,82,3,116,102,303,42.3
OL,0,0,0,3,3,
Option,18,0,0,0,18,100.0
Other,4,0,30,115,149,11.8
Other Investment,0,0,0,1,1,
PS,0,0,0,5,5,
Stock,6534,312,2615,487,9948,72.4
VA,0,0,0,1,1,
