scope,field,agreement_pct,n_pairs
digital,sense,99.5,2623
digital,date_traded,92.7,2572
digital,date_filed,1.0,2572
digital,amount_bucket,94.3,2623
ocr,sense,94.4,5416
ocr,date_traded,69.4,5668
ocr,date_filed,0.5,5668
ocr,amount_bucket,95.2,5416
both,sense,96.1,8039
both,date_traded,79.4,7955
both,date_filed,0.7,7955
both,amount_bucket,94.9,8039
