scope,metric,value
digital,common_members,77.0
digital,quiver_amendment_dups,1812.0
digital,ours_tickerizable,2904.0
digital,quiver,2746.0
digital,matched,2697.0
digital,only_quiver,49.0
digital,only_ours,207.0
digital,coverage_pct,98.2
ocr,common_members,10.0
ocr,quiver_amendment_dups,1812.0
ocr,ours_tickerizable,7190.0
ocr,quiver,4931.0
ocr,matched,3378.0
ocr,only_quiver,1553.0
ocr,only_ours,3812.0
ocr,coverage_pct,68.5
both,common_members,84.0
both,quiver_amendment_dups,1812.0
both,ours_tickerizable,10094.0
both,quiver,7513.0
both,matched,6075.0
both,only_quiver,1438.0
both,only_ours,4019.0
both,coverage_pct,80.9
