scope,field,agreement_pct,n_pairs
digital,sense,97.4,2937
digital,date_traded,98.2,2746
digital,date_filed,0.8,2746
digital,amount_bucket,97.3,2937
ocr,sense,84.2,5495
ocr,date_traded,68.5,4931
ocr,date_filed,1.7,4931
ocr,amount_bucket,84.7,5495
both,sense,88.8,8432
both,date_traded,80.9,7513
both,date_filed,1.4,7513
both,amount_bucket,89.1,8432
