BioGuideID,Name,ticker,traded,Transaction
S000344,Brad Sherman,TREASURY INFLATIO,2022-11-28,Sale
Y000067,Rudy Yakym Iii,6.MONTH,2022-11-25,Purchase
F000462,Lois Frankel,FANG,2022-10-07,Sale
F000450,Virginia Foxx,AAM$A,2022-09-23,Purchase
F000450,Virginia Foxx,DUK$A,2022-09-19,Purchase
F000450,Virginia Foxx,AAM$A,2022-09-16,Purchase
F000450,Virginia Foxx,T$A,2022-08-19,Purchase
F000450,Virginia Foxx,SJT,2022-08-19,Purchase
C001068,Steve Cohen,MS$P,2022-08-10,Purchase
M001135,Kathy Manning,TMO,2022-07-15,Purchase
F000450,Virginia Foxx,DUK$A,2022-06-17,Purchase
F000450,Virginia Foxx,AAM$A,2022-06-13,Purchase
F000450,Virginia Foxx,U 3%25CD,2022-06-03,Purchase
F000450,Virginia Foxx,NEE$Q,2022-04-25,Purchase
F000450,Virginia Foxx,AAM$A,2022-04-22,Purchase
F000450,Virginia Foxx,NEE$Q,2022-04-22,Purchase
F000450,Virginia Foxx,NEE$Q,2022-04-21,Purchase
F000450,Virginia Foxx,AAM$A,2022-04-19,Purchase
F000450,Virginia Foxx,NEE$Q,2022-04-18,Purchase
F000450,Virginia Foxx,T+A,2022-04-11,Purchase
F000450,Virginia Foxx,T+A,2022-04-08,Purchase
F000450,Virginia Foxx,T+A,2022-04-06,Purchase
F000450,Virginia Foxx,AAIC$B,2022-04-06,Purchase
F000450,Virginia Foxx,AAIC$B,2022-04-01,Purchase
S000250,Pete Sessions,CARR,2022-01-19,Sale
M001135,Kathy Manning,FUND 2,2022-01-12,Purchase
M001135,Kathy Manning,FUND 2 LTH,2022-01-12,Purchase
L000397,Zoe Lofgren,CORPORAT,2021-12-14,Sale
F000450,Virginia Foxx,AAIC$B,2021-03-31,Purchase
