bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
P000612,"David A Perdue , Jr",92,58,58,34,0,
W000802,Sheldon Whitehouse,83,54,54,29,0,
I000024,James M Inhofe,83,32,32,51,0,
C001035,Susan M Collins,107,16,16,91,0,
C000174,Thomas R Carper,40,15,15,25,0,
T000476,Thomas R Tillis,93,93,93,0,0,
T000461,Patrick J Toomey,30,16,16,14,0,
R000307,Pat Roberts,22,20,20,2,0,
P000595,Gary C Peters,21,15,15,6,0,
H001061,John Hoeven,21,12,12,9,0,
R000122,John F Reed,17,17,17,0,0,
C001075,William Cassidy,4,9,4,0,5,"CVX,F,INTC,PSX,XOM"
C001047,Shelley M Capito,4,1,1,3,0,
C001098,Rafael E Cruz,2,1,1,1,0,
C001056,John Cornyn,1,1,1,0,0,
