scope,metric,value
digital,common_senators,15.0
digital,quiver_amendment_dups,61.0
digital,ours_tickerizable,924.0
digital,quiver,615.0
digital,matched,610.0
digital,only_quiver,5.0
digital,only_ours,314.0
digital,coverage_pct,99.2
ocr,common_senators,1.0
ocr,quiver_amendment_dups,61.0
ocr,ours_tickerizable,0.0
ocr,quiver,38.0
ocr,matched,0.0
ocr,only_quiver,38.0
ocr,only_ours,0.0
ocr,coverage_pct,0.0
both,common_senators,15.0
both,quiver_amendment_dups,61.0
both,ours_tickerizable,1219.0
both,quiver,615.0
both,matched,610.0
both,only_quiver,5.0
both,only_ours,609.0
both,coverage_pct,99.2
