asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),0,0,60,9,69,0.0
Corporate Bond,3,0,26,41,70,10.3
Municipal Security,0,0,2,122,124,0.0
Non-Public Stock,0,0,1,15,16,0.0
Other,9,0,86,73,168,9.5
Stock,887,35,551,21,1494,62.6
Stock Option,2,0,0,0,2,100.0
