cluster,poids_census,n_docs,n_gt,stab_jaccard,stab_dates,prec_ticker,prec_ticker_date,recall_td
A_tape_droit,0.135,5,5,,,0.928,0.748,0.073
B_tape_tourne,0.589,19,13,0.528,0.584,0.886,0.537,0.023
C_manuscrit,0.276,14,1,0.316,0.749,,,
