bioguide,name,nous,quiver,delta,no_ticker,ocr,verdict
P000612,"David A Perdue , Jr",677,267,410,26,0,nous_plus
W000802,Sheldon Whitehouse,192,130,62,3,0,nous_plus
C000174,Thomas R Carper,79,8,71,70,0,nous_plus
C001035,Susan M Collins,63,14,49,35,0,nous_plus
R000122,John F Reed,58,32,26,8,0,nous_plus
C001075,William Cassidy,56,53,3,3,0,nous_plus
H001061,John Hoeven,43,38,5,3,0,nous_plus
I000024,James M Inhofe,35,32,3,0,0,nous_plus
P000595,Gary C Peters,26,7,19,19,0,nous_plus
R000307,Pat Roberts,26,21,5,4,0,nous_plus
C001047,Shelley M Capito,23,23,0,0,0,concordant
T000461,Patrick J Toomey,21,12,9,4,0,nous_plus
A000360,Lamar Alexander,12,0,12,12,0,quiver_sans_donnee
K000383,"Angus S King, Jr.",12,5,7,7,0,nous_plus
S001198,Daniel S Sullivan,8,7,1,1,0,nous_plus
S001141,"Jefferson B Sessions, III",7,0,7,7,0,quiver_sans_donnee
M001183,"Joseph Manchin, III",5,0,5,5,0,quiver_sans_donnee
R000605,Mike Rounds,4,0,4,4,0,quiver_sans_donnee
B000575,Roy Blunt,3,0,3,1,0,quiver_sans_donnee
C001098,Rafael E Cruz,3,3,0,0,0,concordant
C001088,Christopher A Coons,2,0,2,2,0,quiver_sans_donnee
K000384,Timothy M Kaine,2,1,1,1,0,nous_plus
C000127,Maria Cantwell,1,1,0,0,0,concordant
E000285,Michael  B Enzi,1,1,0,0,0,concordant
S001181,Jeanne Shaheen,1,0,1,1,0,quiver_sans_donnee
C000567,Thad Cochran,0,136,-136,0,0,quiver_seul
C001071,Robert P Corker Jr,0,2,-2,0,0,quiver_seul
D000622,Tammy Duckworth,0,1,-1,0,0,quiver_seul
F000444,Jeffry Flake,0,2,-2,0,0,quiver_seul
