scope,metric,value
digital,common_senators,18.0
digital,quiver_amendment_dups,96.0
digital,ours_tickerizable,994.0
digital,quiver,651.0
digital,matched,651.0
digital,only_quiver,0.0
digital,only_ours,343.0
digital,coverage_pct,100.0
ocr,common_senators,0.0
ocr,quiver_amendment_dups,96.0
ocr,ours_tickerizable,0.0
ocr,quiver,0.0
ocr,matched,0.0
ocr,only_quiver,0.0
ocr,only_ours,0.0
ocr,coverage_pct,
both,common_senators,18.0
both,quiver_amendment_dups,96.0
both,ours_tickerizable,1102.0
both,quiver,651.0
both,matched,651.0
both,only_quiver,0.0
both,only_ours,451.0
both,coverage_pct,100.0
