doc_id,http_status,bytes
20034201,200,81513
20033751,200,85888
20033945,200,89851
20034133,200,89708
20034315,200,65469
20034473,200,91898
20034740,200,69611
20034024,200,63674
20034622,200,66530
20034522,200,75703
20020055,200,61452
20034524,200,64460
20033714,200,69498
20033903,200,70590
20034085,200,67452
20034891,cache,67489
20033800,200,104507
20033927,200,112291
20034013,200,84866
20034195,200,93946
20034346,200,88127
20034496,200,88791
20034044,200,71254
20034202,200,68431
20034502,200,64541
20034176,200,62881
20034221,200,68593
20034668,200,62676
20033762,200,198134
20033983,200,230760
20034144,200,164233
20034285,200,212637
20034500,200,170102
20034713,200,180353
20034906,cache,150048
20033754,200,70364
20033813,200,65931
20033889,200,64254
20034119,200,64995
20034167,200,64970
20034368,200,66152
20034452,200,64828
20034589,200,64807
20034796,200,64977
20033840,200,62567
20034223,200,63283
20033737,200,75518
20033921,200,74695
20034159,200,99860
20034299,200,83753
20034487,200,83187
20034718,200,105705
20033766,200,62569
20033835,200,76572
20034155,200,62562
20034400,200,63979
20034466,200,62551
20034615,200,63541
20034727,200,63305
20033744,200,66295
20034035,200,66047
20034416,200,69521
20034702,200,66136
20033713,200,68203
20034132,200,64257
20034292,200,67500
20034486,200,63382
20034712,200,64254
20033747,200,69242
20033780,200,61982
20033981,200,67936
20034134,200,71669
20034297,200,69246
20034478,200,72214
20034114,200,67896
20034815,cache,71967
20034379,200,64604
20034556,200,68943
20034851,cache,64934
20033732,200,69348
20033858,200,69716
20034018,200,69391
20034179,200,65601
20034295,200,64752
20034357,200,64442
20034591,200,64221
20034800,cache,67851
8221321,cache,45954
9115704,cache,44149
9115821,cache,46134
20034413,200,80369
20033734,200,62173
20033947,200,63438
20034095,200,62617
20034670,200,62515
20034050,200,66779
20034355,200,66098
20034563,200,68677
20033756,200,74385
20033930,200,69957
20034130,200,81078
20034305,200,83640
20034585,200,91994
20034693,200,86248
20033944,200,71181
9115809,cache,33021
9115811,cache,24960
9115812,cache,54233
9115813,cache,49946
9115814,cache,50158
9115815,cache,53255
9115901,cache,35859
20033829,200,66304
20034012,200,65889
20034128,200,66179
20034262,200,82684
20034461,200,65845
20034695,200,71319
20033661,200,69397
20034581,200,65862
20033739,200,70488
20033929,200,75487
20034113,200,78333
20034301,200,69455
20034519,200,70619
20034688,200,65153
20034498,200,85122
20034160,200,65547
20033789,200,125332
20034706,200,66324
20033803,200,62147
20033821,200,71339
20034025,200,71258
20034190,200,72261
20034327,200,74035
20034616,200,70448
20034783,200,70117
20033946,200,66932
20034068,200,67331
20034177,200,68596
20034307,200,66128
20034417,200,75035
20033763,200,65038
20033991,200,66673
20034168,200,67839
20034302,200,66963
20034607,200,64732
20034767,200,67372
8221322,cache,1534853
8221358,cache,1048665
9115726,cache,1012319
9115822,cache,628531
9116142,cache,1107423
20033814,200,72181
20034351,200,79236
20033857,200,63386
20034401,200,63384
20034726,200,63593
20034552,200,64179
20030977,200,266047
20034106,200,95968
20033738,200,66038
20033695,cache,64271
8221326,cache,69116
8221359,cache,148571
9115728,cache,140676
9115820,cache,112518
9116141,cache,168027
20033736,200,63077
20033964,200,63114
20034105,200,83799
20034311,200,65694
20033648,200,84681
20034542,200,64423
20033956,200,67990
20034521,200,66906
20034748,200,65809
20034099,200,72921
20034016,200,66035
20034158,200,65090
20034359,200,65090
20034547,200,65264
20034774,cache,66947
20033881,200,66737
20034247,200,72017
20034419,200,68503
20034651,200,66801
20034869,cache,67787
20033746,200,64014
20033856,200,64690
20034034,200,71383
20034217,200,70505
20034424,200,64608
20034587,200,64377
20034721,200,63127
20033830,200,69760
20033928,200,70067
20033989,200,65239
20034056,200,66534
20034082,200,66221
20034102,200,64750
20034123,200,65231
20034156,200,73338
20034213,200,74395
20034300,200,73373
20034520,200,65342
20033760,200,72536
20034129,200,68165
20034274,200,112286
20034749,200,68972
20033654,200,83209
20033725,200,83364
20034836,cache,64588
20033815,200,67766
20034010,200,71165
20034178,200,68655
20034342,200,72220
20034579,200,96316
20034784,200,92888
20033804,200,66381
20033920,200,65600
20034054,200,64561
20034348,200,70200
8221332,cache,23500
9115711,cache,22804
9115762,cache,23772
9115808,cache,25619
9116146,cache,23030
20033758,200,64438
20033759,200,65181
20034375,200,64032
20034528,200,63892
20034762,200,62385
20033993,200,88148
20034479,200,76010
20034709,200,77229
20033755,200,62262
20032279,200,67985
9116197,cache,55695
20033500,200,63220
20034384,200,62987
20033705,200,67813
20033709,200,65856
20034084,200,71386
20034653,200,66660
20019182,200,73157
20034499,200,64636
20034717,cache,63393
20034345,200,67685
20034188,200,70961
20034503,200,68322
20034747,200,65976
20033845,200,93481
20033916,200,114702
20033918,200,90111
20034036,200,92552
20034138,200,111659
20034207,200,94275
20034280,200,84304
20034489,200,94166
20034650,200,94918
20034780,200,91544
20034897,cache,85112
20034414,200,74385
20034807,200,79960
20033718,200,68538
20034462,200,68717
20034915,cache,66679
20034660,200,78281
20034562,200,64964
8221360,cache,124574
9115816,cache,26772
20033783,200,69119
20034298,200,65318
