asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),0,0,70,14,84,0.0
Corporate Bond,1,0,16,29,46,5.9
Municipal Security,0,0,0,41,41,
Non-Public Stock,0,0,1,9,10,0.0
Option,0,0,1,0,1,0.0
Other,2,0,102,105,209,1.9
Stock,966,81,613,31,1691,63.1
