year,doc_id,local_path,n_pages,text_chars_first_pages,contains_periodic_transaction_report,contains_filer_information,contains_transactions,contains_amount,text_extractable_flag,quality_status,error_message
2025,20032062,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032062.pdf,1,925,True,False,True,True,True,ok_text,
2025,20026537,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026537.pdf,2,1640,True,False,True,True,True,ok_text,
2025,20026727,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026727.pdf,2,1668,True,False,True,True,True,ok_text,
2025,20027927,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027927.pdf,1,1015,True,False,True,True,True,ok_text,
2025,20030316,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030316.pdf,2,1848,True,False,True,True,True,ok_text,
2025,20030502,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030502.pdf,2,1506,True,False,True,True,True,ok_text,
2025,20030608,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030608.pdf,1,1044,True,False,True,True,True,ok_text,
2025,20030850,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030850.pdf,2,1424,True,False,True,True,True,ok_text,
2025,20032052,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032052.pdf,2,1504,True,False,True,True,True,ok_text,
2025,20032204,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032204.pdf,1,1006,True,False,True,True,True,ok_text,
2025,20033415,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033415.pdf,1,1161,True,False,True,True,True,ok_text,
2025,20033589,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033589.pdf,1,994,True,False,True,True,True,ok_text,
2025,20027810,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027810.pdf,1,958,True,False,True,True,True,ok_text,
2025,20030397,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030397.pdf,1,968,True,False,True,True,True,ok_text,
2025,20030976,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030976.pdf,1,968,True,False,True,True,True,ok_text,
2025,20033492,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033492.pdf,1,969,True,False,True,True,True,ok_text,
2025,20030646,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030646.pdf,1,1102,True,False,True,True,True,ok_text,
2025,20026517,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026517.pdf,2,1793,True,False,True,True,True,ok_text,
2025,20027932,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027932.pdf,1,1134,True,False,True,True,True,ok_text,
2025,20030262,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030262.pdf,1,1154,True,False,True,True,True,ok_text,
2025,20030746,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030746.pdf,1,1117,True,False,True,True,True,ok_text,
2025,20032200,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032200.pdf,1,1113,True,False,True,True,True,ok_text,
2025,20033325,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033325.pdf,2,1755,True,False,True,True,True,ok_text,
2025,20032149,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032149.pdf,26,3236,False,False,False,True,True,ok_text,
2025,20033379,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033379.pdf,2,1503,True,False,True,True,True,ok_text,
2025,20033579,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033579.pdf,2,1503,True,False,True,True,True,ok_text,
2025,20033694,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033694.pdf,2,2020,True,False,True,True,True,ok_text,
2025,8220747,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8220747.pdf,2,1,False,False,False,False,False,no_text,
2025,20024346,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20024346.pdf,16,2701,False,False,False,True,True,ok_text,
2025,20027923,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027923.pdf,3,2593,False,False,False,True,True,ok_text,
2025,20027940,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027940.pdf,2,2243,True,False,True,True,True,ok_text,
2025,20029034,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20029034.pdf,14,2709,False,False,False,True,True,ok_text,
2025,20029055,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20029055.pdf,3,2767,False,False,False,True,True,ok_text,
2025,20030212,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030212.pdf,4,2701,False,False,False,True,True,ok_text,
