field,agreement_pct,n_pairs,note
sense,100.0,303,désaccords = artefact merge option-vs-action même jour (cf. AUDIT_SENAT.md)
date_traded,100.0,279,appariement sur Quiver Traded = vraie date de trade
date_filed,3.6,279,Filed ≠ date de trade → ne pas apparier dessus
amount_bucket,99.3,303,Quiver Trade_Size_USD = borne basse exacte de la fourchette
