asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),411,49,277,679,1416,62.4
AB,6,0,0,3,9,100.0
CS,1,0,0,204,205,100.0
Corporate Bond,0,0,0,7,7,
ET,2,0,0,0,2,100.0
Gov Security,0,0,2,202,204,0.0
HN,0,0,0,2,2,
Mutual Fund,18,11,136,93,258,17.6
OL,0,0,0,1,1,
Option,102,0,0,0,102,100.0
Other,5,0,0,156,161,100.0
Other Investment,0,0,0,2,2,
PS,3,0,0,20,23,100.0
SA,0,0,0,1,1,
Stock,7949,1963,2627,715,13254,79.0
VA,0,0,0,30,30,
