scope,metric,value
digital,common_members,80.0
digital,quiver_amendment_dups,2000.0
digital,ours_tickerizable,5177.0
digital,quiver,5187.0
digital,matched,5171.0
digital,only_quiver,16.0
digital,only_ours,6.0
digital,coverage_pct,99.7
ocr,common_members,2.0
ocr,quiver_amendment_dups,2000.0
ocr,ours_tickerizable,4313.0
ocr,quiver,3172.0
ocr,matched,1944.0
ocr,only_quiver,1228.0
ocr,only_ours,2369.0
ocr,coverage_pct,61.3
both,common_members,82.0
both,quiver_amendment_dups,2000.0
both,ours_tickerizable,9490.0
both,quiver,8359.0
both,matched,7115.0
both,only_quiver,1244.0
both,only_ours,2375.0
both,coverage_pct,85.1
