cluster,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
A_tape_droit,132,4,4,38,178,97.1
B_tape_tourne,2727,2017,2277,1426,8447,67.6
C_manuscrit,0,0,136,30,166,0.0
