bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index
G000588,Anthony E. Gonzalez,house,Republican,OH16,,False,2021-03-25,2021-04-23,NKE,"Nike, Inc.",Stock,Sale,"$15,001",15001.0,False,SELF,20018548,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018548.pdf,a80ace079eeb2691cf0647abb50506b468c0e8ffdade251a167fd55fbe6982ff,0
F000462,Lois Frankel,house,Democrat,FL21,HSAP04; HSAP07; House Committee on Appropriations,False,2021-04-07,2021-04-23,CL,Colgate-Palmolive Company,Stock,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20018606,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018606.pdf,bf00d6cd37cbad58ca7e8eeebc7301a35d371b78f37fec626d103446d853e24e,0
G000588,Anthony E. Gonzalez,house,Republican,OH16,,False,2021-03-25,2021-04-23,GDRX,"GoodRx Holdings, Inc. - Class A   $250,000",Stock,Purchase,"$100,001",100001.0,False,SELF,20018548,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018548.pdf,b03fd94dea0d0579bf043f3aeb42f3e4cd09e1803e4cdbdfe3e8b3a938392506,0
F000462,Lois Frankel,house,Democrat,FL21,HSAP04; HSAP07; House Committee on Appropriations,False,2021-04-14,2021-04-23,GS,"Goldman Sachs Group, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,SELF,20018606,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018606.pdf,5a11ea12cbed8db5b48729c77c97cff76cf210a68fc6e3f2d164ac2762e43530,0
F000462,Lois Frankel,house,Democrat,FL21,HSAP04; HSAP07; House Committee on Appropriations,False,2021-03-16,2021-04-23,HES,Hess Corporation,Stock,Sale,"$1,001 - $15,000",8000.5,False,SELF,20018606,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018606.pdf,73b367d45a69f13856a79a7b18dc9db99baf67fb3af945d167f214bf0f8f10cd,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-12,2021-04-21,W,Wayfair Inc. Class A,Stock,Purchase,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,a0f6e619133bdfae0ce53f38ccd724280967c5a08da5386ab7725036222c5f60,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-12,2021-04-21,Z,"Zillow Group, Inc. - Class C Capital Stock",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,1b8f71601b3595f8ee54d2cfe71c1aabb38e9ca2f52fef0168f7607c42687ae2,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-16,2021-04-21,DE,deere & Company,Stock,Purchase,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,20a8f67c65765751a167595c272eb4cd1886a6759e05b3cd3e2575364e046433,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-31,2021-04-21,CACI,"CACI International, Inc. Class A",Stock,Sale,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,f81e3933e63751a5de89c234395805c17fdd014de14e67cc633ce0eeae417e26,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-04,2021-04-21,VEEV,Veeva Systems Inc. Class A,Stock,Sale,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,25a9c22d3fc537416295569534e9035f516a7c574e0276ef84befef63f8dfc37,0
