scope,metric,value
digital,common_members,79.0
digital,quiver_amendment_dups,1834.0
digital,ours_tickerizable,6519.0
digital,quiver,6534.0
digital,matched,6479.0
digital,only_quiver,55.0
digital,only_ours,40.0
digital,coverage_pct,99.2
ocr,common_members,5.0
ocr,quiver_amendment_dups,1834.0
ocr,ours_tickerizable,4406.0
ocr,quiver,5631.0
ocr,matched,3444.0
ocr,only_quiver,2187.0
ocr,only_ours,962.0
ocr,coverage_pct,61.2
both,common_members,83.0
both,quiver_amendment_dups,1834.0
both,ours_tickerizable,10838.0
both,quiver,10773.0
both,matched,9836.0
both,only_quiver,937.0
both,only_ours,1002.0
both,coverage_pct,91.3
