bioguide_id,name,docs,n_ocr,n_quiver,delta
K000389,Rohit Khanna,11,4070,2970,1100
M001157,Michael T. McCaul,11,1923,1328,595
D000032,Byron Donalds,1,192,142,50
F000459,"Charles J. ""Chuck"" Fleischmann",4,51,19,32
L000564,Doug Lamborn,7,27,2,25
R000395,Harold Dallas Rogers,2,7,1,6
M000317,Nicole Malliotakis,2,4,0,4
W000829,Tony Wied,1,2,0,2
L000596,Anna Paulina Luna,1,1,0,1
